variable,relative_importance,scaled_importance,percentage
VD_minor,37.4973411560059,1,0.202210922331272
ER_major,34.1584434509277,0.910956414451179,0.184205336769761
MST_medium,29.7195682525635,0.792578015836287,0.160267931601745
VD_medium,28.1639270782471,0.751091309676396,0.151878866484667
VD_major,27.6457939147949,0.737273445596474,0.149084743444418
MST_major,8.85526657104492,0.236157186030951,0.0477535624024764
MST_minor,8.02044773101807,0.213893771765027,0.0432516568695206
ER_medium,5.92762851715088,0.158081302151245,0.0319657659113317
clade2,5.44835758209229,0.145299837645146,0.0293812141848089
ER_minor,0,0,0
