.feature,.interaction
clade2:VD_major,0.08225625823494781
VD_minor:VD_major,0.06897405291649623
VD_medium:VD_major,0.026801528686200445
ER_minor:VD_major,0.11339472219852889
ER_medium:VD_major,0.026303810758967105
ER_major:VD_major,0.04093427221689164
MST_minor:VD_major,0.1591840731962129
MST_medium:VD_major,0.22559635047460935
MST_major:VD_major,0.05697268718132846
clade2:MST_minor,0.027181857696742723
VD_minor:MST_minor,0.12777645954799213
VD_medium:MST_minor,0.2432498884539549
VD_major:MST_minor,0.16490664340931144
ER_minor:MST_minor,0.08911969061447984
ER_medium:MST_minor,0.14515267166410256
ER_major:MST_minor,0.1883727983002668
MST_medium:MST_minor,0.19412608784335553
MST_major:MST_minor,0.32662954340321665
clade2:VD_minor,0.09515963820754664
VD_medium:VD_minor,0.07684321696961058
VD_major:VD_minor,0.048211332971751446
ER_minor:VD_minor,0.039526294351371345
ER_medium:VD_minor,0.11126508956968123
ER_major:VD_minor,0.10913804895308934
MST_minor:VD_minor,0.21070196301059918
MST_medium:VD_minor,0.07584417640690097
MST_major:VD_minor,0.10061630686965095
