"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0704	0.0744	0.0799	0.0663	0.0802	0.0865	0.2994	0.0744	0.0758	0.081	0.0988	0.126	0.0814	0.0804
0.0764	0.0749	0.0798	0.0692	0.0718	0.2921	0.0966	0.0717	0.0759	0.0706	0.0839	0.0812	0.0866	0.0823
0.0812	0.0744	0.0839	0.093	0.0795	0.0847	0.0944	0.0788	0.0796	0.0853	0.0875	0.0856	0.0862	0.5258
0.0803	0.0807	0.0775	0.0817	0.081	0.0866	0.4583	0.0837	0.1482	0.0793	0.4732	0.4026	0.0817	0.0897
0.0768	0.0662	0.0803	0.0639	0.0753	0.1796	0.0927	0.0673	0.0701	0.0779	0.0848	0.0735	0.0836	0.0792
0.0875	0.0758	0.082	0.0757	0.0803	0.0805	0.296	0.0848	0.1391	0.0799	0.5614	0.4602	0.079	0.0815
0.0829	0.073	0.2373	0.0782	0.0775	0.081	0.3477	0.0801	0.0804	0.0773	0.3476	0.2939	0.081	0.0889
0.0812	0.0752	0.2221	0.0782	0.0806	0.0838	0.4082	0.0772	0.0802	0.0851	0.3741	0.3099	0.0776	0.0885
0.0811	0.0736	0.2631	0.0815	0.0805	0.0849	0.0976	0.0853	0.0791	0.0864	0.4506	0.3702	0.0826	0.0859
0.0791	0.0764	0.0799	0.0774	0.079	0.0828	0.0912	0.0789	0.0766	0.2582	0.0962	0.089	0.0827	0.0914
0.1524	0.0888	0.0806	0.0773	0.0798	0.0914	0.0916	0.0785	0.0722	0.0781	0.363	0.2967	0.0779	0.0817
0.08	0.4897	0.0798	0.0844	0.0822	1.263	0.0961	0.0795	0.0838	0.0809	0.5622	0.4652	0.0805	0.0862
0.0808	0.0842	0.0843	0.084	0.0838	0.0853	0.6281	0.0871	0.082	0.5378	1.0986	0.8896	0.0774	0.0916
0.072	0.0838	0.0773	0.0877	0.0784	0.086	0.0925	0.0694	0.0769	0.0772	0.4049	0.3435	0.0804	0.0893
0.0792	0.2832	0.0804	0.0745	0.0801	0.0841	0.959	0.0744	0.0726	0.0828	0.0879	0.0831	0.086	0.7569
0.0832	0.0679	0.0775	0.0793	0.0786	0.0805	0.0913	0.069	0.0719	0.0877	0.5011	0.4334	0.083	0.5952
0.0773	0.0616	0.0732	0.0691	0.0692	0.0775	0.0918	0.0697	0.0751	0.077	0.0953	0.1324	0.0757	0.0863
0.0761	0.0723	0.0764	0.0615	0.0835	0.0825	0.0871	0.0679	0.078	0.0767	0.0829	0.0684	0.0779	0.5482
0.0844	0.0754	0.1759	0.0787	0.0779	0.0836	0.3155	0.0747	0.076	0.085	0.3534	0.2918	0.0812	0.0882
0.0821	0.072	0.0829	0.079	0.727	1.4105	0.6367	0.0723	0.0781	0.0754	1.2548	1.0103	0.0768	0.0858
0.2109	0.0654	0.0832	0.0799	0.0808	0.0813	0.0898	0.0822	0.0841	0.0888	0.4803	0.3991	0.0799	0.0795
0.0859	0.6242	0.0833	0.083	0.0849	0.0882	2.0333	0.0798	0.0814	0.0839	0.9094	0.7918	0.0932	1.0217
0.0798	0.0898	0.106	0.5626	0.0814	0.0853	0.3533	0.0728	0.0793	0.1138	2.0942	1.9547	0.0825	0.0899
0.079	0.0876	0.0996	0.5181	0.0847	0.0942	0.4463	0.0801	0.0823	0.0937	1.8228	1.7156	0.091	0.0836
0.0795	0.0644	0.0801	0.0666	0.0788	0.082	0.089	0.1025	0.079	0.0721	0.0834	0.0777	0.0819	0.0835
0.0753	0.0663	0.075	0.0753	0.074	0.198	0.0972	0.0684	0.0769	0.0813	0.309	0.2773	0.0768	0.0829
0.0816	0.0769	0.0797	0.0798	0.1411	0.0764	0.0947	0.069	0.0725	0.0803	0.395	0.3189	0.0778	0.0825
0.0791	0.0755	0.0852	0.5686	0.0841	0.0811	0.3239	0.0771	0.0783	0.0838	2.0194	1.7622	0.0767	0.0899
0.0816	0.0827	0.0887	0.7629	0.0849	0.0853	0.1001	0.0814	0.0839	0.0874	2.7175	2.6167	0.0921	0.0865
0.0767	0.0803	0.0765	0.0799	0.0759	0.0771	0.0909	0.071	0.0713	0.0786	0.3567	0.3024	0.0822	0.0806
0.0772	0.0767	0.0777	0.0764	0.0769	0.0877	0.3107	0.0765	0.0748	0.3359	0.7284	0.5988	0.0796	0.0875
0.073	0.2817	0.0812	0.08	0.0787	0.0824	0.8656	0.0725	0.0791	0.0755	0.0893	0.077	0.0759	0.087
0.0804	0.0755	0.0823	0.0854	0.077	1.2192	1.3965	0.1744	0.0884	0.0816	0.7939	0.6982	0.08	0.0788
0.0819	0.5646	0.0842	0.0847	0.0855	0.0814	1.6685	0.0834	0.0812	0.092	0.7836	0.6327	0.0827	0.0857
0.0778	0.0727	0.0819	0.069	0.0772	0.3066	0.0926	0.0692	0.0749	0.0743	0.0869	0.0858	0.0777	0.0809
0.0776	0.066	0.0762	0.0779	0.078	0.0801	0.0937	0.0696	0.0727	0.0846	0.4093	0.3423	0.0751	0.4341
0.0775	0.0793	0.2056	0.0772	0.0781	0.0793	0.3847	0.0845	0.0861	0.079	0.3717	0.2988	0.0806	0.0861
0.081	0.0751	0.0825	0.0782	0.0744	0.0963	0.3379	0.1441	0.0817	0.0802	0.4422	0.3689	0.0808	0.0799
