"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0824	0.0757	0.0739	0.0713	0.0723	0.0823	0.1147	0.0853	0.0733	0.086	0.0927	0.0911	0.2017	0.0809
0.0732	0.0828	0.0701	0.0763	0.0681	0.0813	0.0729	0.0749	0.0742	0.0766	0.2549	0.0892	0.0812	0.0837
0.0736	0.0783	0.0703	0.0673	0.0667	0.0774	0.0733	0.0716	0.0696	0.1938	0.0846	0.0881	0.0809	0.0769
0.0838	0.0817	0.1512	0.0777	0.0828	0.0891	0.2254	0.0839	0.0751	0.0874	0.5329	0.5061	0.0777	0.0797
0.0756	0.0778	0.0739	0.0779	0.0692	0.0806	0.0806	0.0763	0.0703	0.1935	0.0951	0.0921	0.0768	0.0833
0.0798	0.0842	0.0824	0.079	0.0828	0.0822	0.2135	0.0824	0.2315	0.0868	1.0098	0.928	0.0892	0.0865
0.0744	0.0776	0.1334	0.0785	0.0787	0.085	0.1555	0.0822	0.0744	0.0829	0.5683	0.4486	0.0813	0.0813
0.0742	0.2847	0.0766	0.0764	0.077	0.093	0.1562	0.0788	0.0742	0.0809	0.4786	0.4242	0.0822	0.0798
0.0765	0.0855	0.0737	0.0788	0.0761	0.0817	0.0821	0.1617	0.0779	0.0798	0.4055	0.3026	0.0766	0.0836
0.0808	0.0914	0.0824	0.0799	0.081	0.0826	0.0935	0.0877	0.2133	0.088	0.0993	0.0981	0.0846	0.0897
0.0861	0.7135	0.084	0.0878	0.086	0.0878	0.0859	0.3319	0.0888	0.0792	0.7795	0.5817	0.0821	0.081
0.0791	0.3016	0.0783	0.0817	0.0737	0.2533	0.0859	0.0868	0.0822	0.0829	1.0529	0.8425	0.0797	0.0849
0.0787	0.0863	0.0883	0.0787	0.0821	0.0832	0.1847	0.0844	0.0776	0.0774	0.6717	0.6435	0.0809	0.3484
0.0748	0.0795	0.0691	0.0757	0.0675	0.0839	0.0759	0.1417	0.08	0.0812	0.3425	0.2522	0.0814	0.0794
0.076	0.2119	0.0849	0.0747	0.1254	0.0828	0.1338	0.0769	0.0788	0.0832	0.0937	0.0928	0.079	0.0805
