"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0742	0.0678	0.0753	0.0825	0.0721	0.0704	0.2229	0.0825	0.0785	0.0823	0.1794	0.0929	0.0856	0.0807
0.0768	0.0645	0.0728	0.0792	0.0653	0.07	0.2429	0.0755	0.078	0.0799	0.0824	0.0786	0.0809	0.0841
0.081	0.0767	0.0745	0.0845	0.1159	0.0676	0.0837	0.074	0.0759	0.0822	0.0843	0.0804	0.0811	0.0883
1.3297	0.0794	0.0881	0.0869	0.0803	0.0798	0.2899	0.0841	0.0836	0.0852	0.8871	0.8244	0.0858	0.0839
0.1803	0.0651	0.0688	0.0741	0.0681	0.0711	0.0898	0.0795	0.0827	0.079	0.085	0.0844	0.0811	0.084
0.5877	0.0757	0.078	0.0875	0.0714	0.0745	0.3614	0.0815	0.0832	0.0828	0.4974	0.4502	0.0808	0.084
0.6456	0.0714	0.082	0.0829	0.0676	0.0761	0.2433	0.0792	0.081	0.087	0.3523	0.3308	0.0811	0.0812
0.4641	0.073	0.0795	0.0845	0.0705	0.0693	0.2288	0.0749	0.0749	0.0802	0.3632	0.336	0.078	0.0931
0.0775	0.0745	0.0684	0.0839	0.1715	0.0724	0.0843	0.0698	0.0813	0.0867	0.4093	0.3601	0.081	0.0894
0.0836	0.0773	0.0731	0.0839	0.078	0.0785	0.0853	0.0813	0.0841	0.0815	0.0896	0.0906	0.4305	0.0842
0.0742	0.3626	0.0762	0.0825	0.2309	0.073	0.09	0.0831	0.0808	0.0815	0.6716	0.7549	0.0773	0.0831
0.0745	0.3635	0.0758	0.0816	0.0837	0.0844	0.0895	0.0782	0.0804	0.0819	1.3727	1.2411	0.0841	1.7818
0.0936	0.0929	0.0915	0.1014	0.0899	0.0946	0.4672	0.0992	0.0901	0.0907	1.9352	1.8866	0.0917	2.4072
0.0718	0.0705	0.0729	0.0805	0.0775	0.0701	0.0828	0.0747	0.0783	0.0805	0.3309	0.3208	0.247	0.0795
0.0751	0.1363	0.0793	0.0874	0.0741	0.0741	0.199	0.084	0.0752	0.0795	0.1731	0.0906	0.086	0.0824
0.0809	0.0843	0.0837	0.0866	0.1873	0.0804	0.083	0.0764	0.0837	0.0807	0.8867	0.7623	0.0796	0.086
0.8813	0.0774	0.0729	0.0805	0.0736	0.0725	0.0881	0.083	0.0853	0.0806	0.0907	0.0905	0.0794	0.083
0.0779	0.0696	0.0782	0.0849	0.0766	0.0694	0.0856	0.0743	0.083	0.078	0.0855	0.0887	0.0807	0.5458
0.0789	0.1407	0.0751	0.0789	0.0737	0.0765	0.1977	0.0862	0.0789	0.0802	0.5	0.4876	0.0817	0.079
0.0769	0.0815	0.0778	0.6973	0.0745	0.4535	0.4011	0.0844	0.0872	0.0783	0.447	0.3828	0.0773	0.0835
0.0821	0.0787	0.0781	0.3117	0.0831	0.084	0.0893	0.081	0.0825	0.0805	0.5196	0.4199	0.0842	0.0826
0.0775	0.6804	0.08	0.0815	0.6081	0.0859	0.4349	0.082	0.0791	0.0814	0.9896	1.1814	0.0791	0.0852
0.0781	0.067	0.0819	0.0902	0.0727	0.0704	0.25	0.0862	0.1697	0.0861	0.3641	0.3796	0.0843	0.0906
0.0834	0.0828	0.0843	0.0925	0.0787	0.096	0.2325	0.1979	0.0869	0.0967	0.5619	0.5325	0.0827	0.0823
0.0815	0.081	0.0885	0.0879	0.0885	0.0798	0.0978	0.0855	0.0874	0.6552	0.1029	0.0988	0.087	0.0916
0.0754	0.0745	0.0736	0.0822	0.0739	0.0713	0.0907	0.0795	0.0841	0.0817	0.703	0.6762	0.0834	0.6414
0.0752	0.0799	0.0779	0.0885	0.079	0.0746	0.0838	0.0754	0.0813	0.5375	0.4004	0.3794	0.0798	0.0859
0.4489	0.0756	0.0867	0.0831	0.0738	0.0764	0.2919	0.0832	0.085	0.0814	0.4079	0.3839	0.0802	0.0853
0.0795	0.0787	0.0705	0.0845	0.0768	0.0725	0.0918	0.0827	0.0821	0.0802	0.4443	0.3958	0.2276	0.0809
