"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.2678	0.0754	0.0736	0.0711	0.0747	0.0768	0.4981	0.0713	0.0775	0.0857	0.087	0.093	0.0838	0.083
0.0858	0.0979	0.0815	0.0749	0.0635	0.0794	0.088	0.0719	0.081	0.0798	0.1828	0.0817	0.0865	0.0855
0.0799	0.0732	0.0823	0.0673	0.0784	0.0724	0.0889	0.0892	0.0911	0.0802	0.0899	0.1361	0.0823	0.0844
0.0798	0.0793	0.3972	0.0861	0.0789	0.0849	0.5705	0.079	0.0827	0.0781	0.4946	0.4103	0.0862	0.0829
0.083	0.0736	0.084	0.0669	0.0726	0.0829	0.0897	0.1457	0.0881	0.0807	0.0815	0.0867	0.091	0.091
0.0839	0.0799	0.081	0.0762	0.0769	0.077	1.1398	0.0801	0.3318	0.0877	0.3226	0.3414	0.0855	0.093
0.0872	0.7276	0.0798	0.0787	0.0756	0.0842	0.8701	0.0817	0.084	0.0813	0.5917	0.3852	0.0787	0.0946
0.086	0.078	0.0796	0.0747	0.0715	0.0731	0.7005	0.1845	0.0809	0.0805	0.2365	0.3249	0.0806	0.0872
0.0863	0.0774	0.0876	0.4548	0.0959	0.0857	0.0972	0.0813	0.0773	0.0843	0.9543	1.0378	0.0885	0.0902
0.0886	0.0873	0.1062	0.085	0.1105	0.0969	0.0952	0.0862	0.0903	1.3626	0.0876	0.0899	0.0933	0.0902
0.0847	0.4831	0.0877	0.0787	0.1327	0.0779	0.0974	0.1041	0.0924	0.0821	0.4457	0.3377	0.0829	0.085
0.0809	0.6162	0.0817	0.4182	0.0744	0.0853	0.0942	0.0838	0.0761	0.0809	0.6379	0.6129	0.0844	0.0803
0.0896	0.0796	0.1709	0.0746	0.0798	0.0756	0.4421	0.0802	0.0781	0.0804	0.3399	0.2891	0.0898	0.082
0.0836	0.0751	0.157	0.0755	0.0755	0.0793	0.0915	0.0783	0.0733	0.0798	0.3114	0.2653	0.0852	0.0793
0.0813	0.3269	0.1702	0.067	0.0737	0.0757	0.3563	0.0728	0.0801	0.0753	0.0839	0.0857	0.0834	0.0819
0.085	0.0913	0.094	0.0807	0.0839	0.0831	0.0959	0.3054	0.082	0.0795	0.4802	0.3657	0.0919	0.0891
0.0838	0.07	0.0752	0.0676	0.0668	0.0715	0.0926	0.0797	0.0778	0.0815	0.088	0.1072	0.0796	0.0827
0.0812	0.0773	0.0786	0.0598	0.0723	0.0719	0.0985	0.074	0.0746	0.0788	0.0758	0.0687	0.0812	0.6698
0.0849	0.0754	0.14	0.0758	0.0756	0.0825	0.4437	0.0761	0.0815	0.0804	0.219	0.1989	0.0772	0.0839
0.0809	0.0776	0.083	0.07	0.0739	0.5141	0.7426	0.0865	0.3859	0.0816	0.5087	0.4255	0.0777	0.079
0.0838	0.0815	0.0756	0.0788	0.0695	0.0762	0.0921	0.0823	0.0819	0.0835	0.2575	0.2265	0.0879	0.5502
0.0829	0.6255	0.0792	0.0794	0.0797	0.0757	1.0698	0.0792	0.0826	0.0779	0.6419	0.4686	0.4106	0.0909
0.0859	0.0803	0.0773	0.0811	0.0663	0.0822	0.3567	0.0823	0.0948	0.0965	0.2102	0.1812	0.0862	0.3192
0.0811	0.0783	0.0853	0.0843	0.0705	0.078	0.3542	0.0738	0.0775	0.0819	0.2218	0.2187	0.2733	0.0908
0.3704	0.0755	0.0811	0.0818	0.0864	0.0786	0.0907	0.072	0.0731	0.0806	0.0869	0.088	0.0786	0.0846
0.0879	0.0769	0.0762	0.0711	0.0677	0.0755	0.0859	0.1534	0.0796	0.0836	0.36	0.3347	0.0834	0.0781
0.0785	0.0774	0.0803	0.0687	0.0679	0.0808	0.0897	0.0814	0.2417	0.0791	0.3627	0.2453	0.0809	0.0802
0.0868	0.0725	0.0827	0.0785	0.0759	0.0784	0.3728	0.088	0.2316	0.083	0.5236	0.3778	0.0875	0.0815
0.084	0.0924	0.078	0.0833	0.0712	0.0754	0.7662	0.0842	0.0827	0.0844	0.2686	0.2562	0.0852	0.0807
0.0819	0.078	0.0751	0.0744	0.0625	0.0734	0.091	0.204	0.0799	0.0763	0.4126	0.3492	0.0826	0.0846
0.0846	0.0803	0.0894	0.0814	0.0822	0.0818	2.4568	0.0918	0.0905	2.266	0.6997	0.2778	0.0908	0.0865
0.0839	0.0693	0.0768	0.0661	0.0646	0.0749	0.3426	0.0727	0.0789	0.0795	0.082	0.0777	0.1858	0.0873
0.0841	0.0761	0.0831	0.0804	0.0809	0.8185	1.0489	0.0817	0.4312	0.0851	0.8715	0.6313	0.0817	0.0864
0.6718	0.078	0.0848	0.0799	0.0753	0.0756	0.7554	0.0744	0.0778	0.0829	0.4404	0.4348	0.0833	0.0842
0.0904	0.0717	0.071	0.0562	0.0645	0.076	0.0884	0.064	0.0733	0.0807	0.1392	0.0816	0.0809	0.0865
0.0889	0.0719	0.0826	0.0739	0.1966	0.0753	0.0889	0.0745	0.0769	0.0826	0.2155	0.1824	0.0852	0.0845
0.0793	0.0778	0.076	0.0764	0.0814	0.0713	0.9516	0.0781	0.0798	0.6173	0.2601	0.2686	0.0812	0.08
0.0805	0.4921	0.0801	0.0805	0.0783	0.0857	0.4237	0.078	0.0813	0.0815	0.5451	0.4329	0.0848	0.0885
0.0827	0.0757	0.0887	0.0727	0.0832	0.0904	0.3884	0.0735	0.0734	0.415	0.0875	0.0839	0.084	0.0872
0.0884	0.0822	0.0855	0.3109	0.2455	0.0815	1.1989	0.0878	0.0826	0.0818	0.7273	0.7494	0.0872	0.0857
0.0856	0.0809	0.0795	0.076	0.0755	0.3953	0.6238	0.0785	0.0838	0.0801	0.3562	0.2708	0.0864	0.089
0.0796	0.0683	0.0795	0.0589	0.0743	0.0764	0.3265	0.0727	0.075	0.084	0.0683	0.0712	0.078	0.0833
0.0875	0.0758	0.1821	0.0711	0.0865	0.0715	0.3395	0.0742	0.0779	0.0815	0.2487	0.2334	0.0835	0.0823
0.0856	0.0779	0.2486	0.0613	0.0735	0.078	0.1005	0.0819	0.0802	0.079	0.0854	0.08	0.0823	0.0848
0.0836	0.0779	0.0724	0.0693	0.1222	0.0705	1.0037	0.0717	0.0826	0.0856	0.0929	0.0869	0.088	0.0812
0.082	0.077	0.1885	0.0737	0.0695	0.0761	0.0895	0.0708	0.0772	0.0786	0.2259	0.196	0.0866	0.0829
0.086	0.0797	0.0795	0.0779	0.0772	0.0895	0.8209	0.0816	0.1542	0.0889	0.2263	0.214	0.0851	0.0915
0.0843	0.0745	0.0797	0.163	0.0769	0.0771	0.3889	0.079	0.0796	0.0823	0.3979	0.3895	0.0848	0.0903
0.0894	0.0791	0.0793	0.0744	0.0655	0.0734	0.412	0.0749	0.0763	0.0846	0.2524	0.2346	0.0806	0.485
0.6887	0.0749	0.0808	0.0701	0.0803	0.0747	0.7323	0.0776	0.0786	0.081	0.0948	0.089	0.0844	0.0869
0.087	0.0753	0.0777	0.0779	0.09	0.0769	0.0912	0.0738	0.0776	0.08	0.2479	0.2303	0.0869	0.0862
0.0832	0.085	0.0791	0.1156	0.0734	0.0784	0.4087	0.0746	0.0783	0.0768	0.0883	0.0891	0.0843	0.0865
0.0863	0.0758	0.082	0.0754	0.0732	0.0801	1.3286	0.079	0.0817	0.0819	0.2284	0.3276	0.3904	0.0809
0.0856	0.0778	0.0768	0.073	0.0635	0.0791	0.0905	0.0795	0.2007	0.0809	0.3919	0.3532	0.0816	0.0843
0.0834	1.0358	0.0856	0.6092	0.4223	0.0778	1.9699	0.6565	0.0923	0.0803	1.0523	1.2089	0.9406	0.0832
0.0861	0.0828	0.0833	0.2502	0.1122	0.085	0.0986	0.1127	0.0982	0.0816	0.5265	0.5126	0.0823	0.0868
0.0837	0.2519	0.0752	0.0758	0.0702	0.1895	0.0923	0.0846	0.0827	0.0788	0.2634	0.2225	0.088	0.0863
0.087	0.4482	0.0831	0.0726	0.184	0.0726	0.0901	0.0739	0.082	0.0784	0.4808	0.3141	0.0788	0.0887
0.0888	0.0839	0.0769	0.0763	0.0791	0.0808	0.5076	0.2455	0.0901	0.085	0.5259	0.5282	0.0816	0.0906
0.0808	0.0742	0.0792	0.0662	0.0632	0.08	0.0875	0.0707	0.0793	0.0771	0.0804	0.0771	0.0802	0.5904
0.0893	0.0843	0.0773	0.0712	0.0788	0.0741	0.0879	0.0846	0.0925	0.0792	0.1813	0.1633	0.2648	0.0837
0.0829	0.0747	0.0771	0.0702	0.0713	0.0717	0.0913	0.0792	0.1435	0.08	0.2161	0.1887	0.0841	0.0824
