"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0727	0.0789	0.0815	0.0749	0.0736	0.0838	0.169	0.0822	0.1216	0.0843	0.0911	0.0879	0.0841	0.0821
0.0788	0.8251	0.0855	0.0699	0.085	0.0875	0.0841	0.0747	0.0824	0.0822	0.088	0.0926	0.0881	0.0843
0.0678	0.0766	0.0798	0.0616	0.0676	0.0781	0.0675	0.0744	0.1087	0.0755	0.0767	0.0753	0.0846	0.0813
0.0769	0.0864	0.0816	0.078	0.7021	0.0838	0.5755	0.0681	0.0775	0.082	0.9399	0.6414	0.0867	0.0855
0.0694	0.0775	0.0809	0.0674	0.0715	0.076	0.1159	0.0675	0.0694	0.0812	0.0839	0.0778	0.0866	0.0754
0.0744	0.0745	0.2757	0.0776	0.0776	0.0841	0.2358	0.0738	0.0778	0.0814	0.3392	0.3056	0.0964	0.0801
0.0769	0.0771	0.0791	0.0799	0.0776	0.0876	0.4904	0.0814	0.0773	0.079	0.5702	0.5502	0.7154	0.0857
0.0827	0.0703	0.083	0.081	0.0716	0.0809	0.2594	0.0744	0.075	0.0855	0.3945	0.3922	0.5143	0.0808
0.076	0.6913	0.0814	0.0773	0.0777	0.0759	0.074	0.0764	0.0816	0.082	0.3243	0.2849	0.0878	0.0881
0.0767	0.0786	0.0824	0.0759	0.0744	0.0818	0.0892	0.0765	0.0823	0.0798	0.09	0.0942	0.3366	0.0804
0.0749	0.2642	0.0744	0.0804	0.0768	0.0811	0.0772	0.076	0.0854	0.0784	0.4128	0.4446	0.0778	0.4037
0.079	0.396	0.5536	0.0767	0.0743	0.082	0.082	0.0778	0.0799	0.0969	0.384	0.3647	0.0849	0.0862
0.075	0.0791	0.0828	0.0755	0.0818	0.0863	0.2369	0.0805	0.1295	0.0809	0.2695	0.2679	0.0878	0.0848
