"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0787	0.0799	0.0742	0.0825	0.0713	0.0865	0.2991	0.0969	0.0952	0.138	0.1115	0.0884	0.0811	0.0785
0.0764	0.0688	0.0791	0.0795	0.0698	0.0858	0.0939	0.0691	0.0835	0.0821	0.0946	0.177	0.0788	0.0872
0.0766	0.0775	0.081	0.0817	0.1643	0.0921	0.0834	0.1032	0.0894	0.0775	0.095	0.0892	0.0774	0.0711
0.0826	0.0777	0.082	0.0871	0.0771	0.0927	0.4749	0.0824	0.5698	0.0785	1.3548	0.5943	0.0766	0.0863
0.0747	0.08	0.072	0.0847	0.0766	0.0904	0.0843	0.0748	0.0895	0.0716	0.2705	0.0968	0.0779	0.0834
0.2758	0.0775	0.0929	0.0887	0.0844	0.0904	0.8162	0.083	0.0926	0.0794	2.1387	0.5439	0.084	0.0869
0.0773	0.0754	0.0714	0.0786	0.0765	0.0879	0.3775	0.0829	0.3179	0.0844	1.0355	0.3912	0.0766	0.0797
0.0769	0.0821	0.0803	0.0799	0.0737	0.0846	0.3418	0.0764	0.0755	0.2148	0.4323	0.3076	0.0743	0.0787
0.0749	0.1812	0.1213	0.084	0.5969	0.0927	0.1167	0.0924	0.0845	0.0749	1.6542	0.4391	0.082	0.0903
0.0839	0.0844	0.0881	0.085	0.081	0.0911	0.1032	0.1251	0.106	0.0792	2.6627	0.0938	0.0833	0.094
0.0756	0.1741	0.0801	0.0812	0.0716	0.0888	0.0864	0.2978	0.0908	0.0729	1.7985	0.2367	0.0773	0.083
0.0834	0.4114	0.0778	0.6044	0.0773	0.0918	0.0911	0.071	0.081	0.0823	0.538	0.2433	0.0818	0.0834
0.0781	0.0729	0.0772	0.0822	0.0838	0.0929	0.8864	0.0775	0.2977	0.0788	0.8418	0.6273	0.0799	0.0833
0.0749	0.0785	0.0781	0.2553	0.0723	0.0886	0.0873	0.0675	0.0764	0.0783	0.7967	0.1858	0.0796	0.0847
0.0741	0.1426	0.0754	0.0794	0.0677	0.0862	0.3773	0.0706	0.0745	0.0765	0.0908	0.0864	0.0849	0.1408
0.0725	0.0721	0.0732	0.0833	0.0751	0.6741	0.091	0.0819	0.0864	0.0764	0.3452	0.3314	0.0784	0.0839
0.0782	0.0959	0.0917	0.083	0.082	0.092	0.0913	0.0721	0.0735	0.0782	0.094	0.0918	0.307	0.0914
0.0721	0.0704	0.0732	0.0844	0.215	0.0897	0.104	0.1107	0.0866	0.0704	0.0959	0.084	0.0763	0.0829
0.0798	0.0861	0.0885	0.0836	0.0788	0.0966	1.6596	0.086	0.6935	0.0834	1.2439	1.7913	0.0827	0.0877
0.0707	0.0748	0.0742	0.0817	0.0729	1.3181	0.7537	0.0811	0.0829	0.0866	0.902	0.3949	0.4045	0.0803
0.0762	0.0794	0.0778	0.0824	0.0756	0.0912	0.0856	0.0723	0.0794	0.1892	0.412	0.3677	0.0817	0.0822
0.0768	0.6981	0.0821	0.0798	0.0786	0.088	0.4798	0.0836	0.088	0.079	0.5552	1.118	0.0849	1.2281
0.1286	0.0755	0.0798	0.0782	0.0755	0.0914	0.2537	0.0824	0.0807	0.0801	0.5118	0.3087	0.0785	0.0904
0.0772	0.0782	0.0801	0.0791	0.0842	0.0855	0.398	0.1996	0.0854	0.0827	0.6323	0.4734	0.0826	0.0865
0.0852	0.1342	0.079	0.0892	0.0718	0.0824	0.0915	0.0813	0.0739	0.0817	0.0922	0.0908	0.0823	0.11
0.0764	0.0716	0.0725	0.0823	0.076	0.0826	0.0994	0.0831	0.288	0.0788	0.8014	0.2168	0.0757	0.0861
0.0726	0.0857	0.087	0.0777	0.0706	0.0878	0.0885	0.0714	0.0799	0.2665	0.3321	0.1924	0.0773	0.0824
0.0774	0.0717	0.0739	0.0884	0.2919	0.0915	0.3911	0.0772	0.0824	0.0808	0.98	0.3192	0.0766	0.0848
0.0768	0.0957	0.0912	0.0834	0.0814	0.0919	0.0879	0.0742	0.0788	0.0779	0.9794	0.1856	0.3093	0.083
0.0771	0.0753	0.0731	0.0776	0.0706	0.9231	0.0857	0.0754	0.0868	0.0734	0.9689	0.2793	0.0806	0.0839
0.0818	0.0766	0.0801	0.0809	0.0852	0.0936	1.2428	0.0878	0.731	0.0804	1.8689	1.4319	0.0793	0.0873
