"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0786	0.0736	0.0745	0.0704	0.1112	0.088	0.2094	0.09	0.0827	0.0721	0.0782	0.0811	0.0771	0.0793
0.0756	0.0637	0.0822	0.0685	0.0732	0.0842	0.0843	0.1117	0.095	0.0774	0.1389	0.0882	0.0729	0.0762
0.2087	0.1036	0.1245	0.0919	0.0718	0.0904	0.0853	0.098	0.0816	0.0961	0.0854	0.0938	0.0793	0.082
0.0782	0.0739	0.0744	0.0839	0.077	0.0857	1.0521	0.9481	0.087	0.0851	0.7875	0.6474	0.0811	0.081
0.0867	0.0655	0.0769	0.0754	0.0727	0.0863	0.0835	0.0827	0.0802	0.3446	0.086	0.0898	0.0818	0.0778
0.0839	0.0698	0.0757	0.0833	0.0684	0.0877	0.2637	0.0833	0.087	0.2109	0.3913	0.4198	0.0713	0.0826
0.0821	0.0767	0.0827	0.0748	0.0825	0.0871	0.2569	0.0801	0.0809	0.0783	0.6993	0.7429	0.0757	0.5649
0.0789	0.0749	0.0788	0.0724	0.0726	0.9688	0.4166	0.0899	0.0792	0.0783	1.6024	1.3296	0.0778	0.0803
0.0755	0.0989	0.0892	0.0805	0.5061	0.0855	0.0907	0.0908	0.0963	0.0806	0.3643	0.4328	0.0757	0.0791
0.0856	0.086	0.0899	0.0954	0.0796	0.0871	0.0962	0.0984	0.0858	0.087	0.2143	0.0959	0.0821	0.0826
0.0748	0.1524	0.0809	0.0757	0.0772	0.0885	0.0883	0.5055	0.0831	0.0758	0.3438	0.2955	0.0745	0.0843
0.0783	0.1616	0.0792	0.0813	0.0735	0.0903	0.0856	0.4617	0.0892	0.0761	0.4881	0.5768	0.0821	0.0792
0.0838	0.3387	0.0828	0.0781	0.076	0.0906	0.6542	0.0844	0.0836	0.0783	0.7031	0.4957	0.0789	0.086
0.0839	0.0726	0.0783	0.079	0.0731	0.0845	0.0888	0.5211	0.0791	0.0793	0.3286	0.2588	0.0748	0.0924
0.0778	0.2889	0.0797	0.0683	0.0743	0.086	0.4251	0.0838	0.4217	0.0753	0.0846	0.0898	0.0766	0.0803
0.0811	0.0713	0.0753	0.0757	0.0715	0.0849	0.0939	0.0877	0.5659	0.0806	0.5065	0.5286	0.078	0.084
0.0886	0.0692	0.0841	0.1359	0.0728	0.0981	0.0839	0.0793	0.089	0.0896	0.0745	0.0919	0.0909	0.0774
0.0748	0.0618	0.0699	0.0796	0.0691	0.0954	0.1085	0.1056	0.0831	0.0957	0.0867	0.2014	0.0959	0.0817
0.0778	0.0714	0.0803	0.0792	0.0711	0.0811	0.2078	0.0906	0.0793	0.0806	0.4827	0.556	0.3135	0.0838
0.0859	0.0705	0.0799	0.0908	0.4425	0.9043	0.5711	0.0841	0.0802	0.0764	0.8048	0.5133	0.0771	0.0778
0.0895	0.0832	0.5109	0.08	0.0826	0.0875	0.0924	0.0945	0.0881	0.0782	0.7876	0.6408	0.0822	0.0778
0.0778	0.2816	0.0771	0.0751	0.0828	0.084	0.425	0.0857	0.0805	0.0775	0.4205	0.4607	0.0779	0.8442
0.0791	0.073	0.0811	0.0793	0.0746	0.3224	0.2719	0.0878	0.0838	0.0833	0.3161	0.2665	0.078	0.0811
0.0875	0.0643	0.0877	0.1419	0.0723	0.0835	0.4016	0.0814	0.0873	0.0847	0.5177	0.3826	0.0771	0.077
