"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0771	0.0796	0.0805	0.0788	0.0833	0.4197	0.4259	0.0736	0.0843	0.0807	0.0988	0.0945	0.0863	0.0776
0.0765	0.0806	0.0798	0.1307	0.0716	0.0747	0.0793	0.0673	0.08	0.0808	0.0924	0.086	0.0826	0.0793
0.0739	0.0881	0.1571	0.0683	0.0736	0.0874	0.0864	0.077	0.082	0.0741	0.0729	0.0747	0.0842	0.0801
0.0778	0.0829	0.0861	0.0806	0.0843	0.085	0.2012	0.0796	0.0834	0.0877	2.4887	2.4468	0.0844	0.7603
0.0768	0.0786	0.0781	0.0738	0.087	0.1102	0.0905	0.0625	0.0745	0.0857	0.0852	0.0884	0.0856	0.078
0.0772	0.0823	0.085	0.0785	0.0746	0.0863	0.1618	0.0725	0.0857	0.2169	1.3967	1.4084	0.0819	0.082
0.0747	0.0789	0.0826	0.0745	0.0694	0.0778	0.1164	0.0914	0.0897	0.08	0.5051	0.4892	0.077	0.0808
0.0776	0.3258	0.0818	0.073	0.0761	0.0816	0.1373	0.0778	0.0824	0.079	0.6261	0.6536	0.0805	0.0834
0.0728	0.4781	0.0844	0.0736	0.0719	0.0741	0.0758	0.0743	0.0833	0.0799	0.6351	0.6239	0.0878	0.1039
0.0847	0.0878	0.0864	0.0818	0.5593	0.0865	0.0962	0.0877	0.0902	0.0867	0.0883	0.0924	0.09	0.0819
0.0768	0.3595	0.0791	0.078	0.085	0.0847	0.1429	0.08	0.0861	0.0751	0.6271	0.6221	0.0805	0.078
0.0732	0.3699	0.0812	0.1948	0.0795	0.0768	0.0884	0.081	0.0852	0.0749	1.253	1.1743	0.0805	0.0787
0.0733	0.0873	0.0801	0.0777	0.0782	0.0835	0.1949	0.0835	0.0853	0.0842	0.9083	0.9096	0.5873	0.0856
0.0735	0.0805	0.0803	0.0809	0.0732	0.0734	0.0739	0.1019	0.0856	0.0757	0.8944	0.8617	0.0719	0.0795
0.3489	0.499	0.0754	0.0715	0.0768	0.0814	0.1636	0.0731	0.0807	0.0777	0.0837	0.0864	0.0836	0.0763
0.0734	0.0877	0.0853	0.0785	0.2296	0.0746	0.0795	0.0735	0.0753	0.0775	1.1531	1.1425	0.0857	0.0771
0.0689	0.084	0.1397	0.0689	0.0749	0.0756	0.0853	0.08	0.0761	0.0773	0.0847	0.0825	0.0813	0.0866
0.0786	0.0835	0.0767	0.0695	0.072	0.1048	0.0882	0.0662	0.0833	0.0799	0.0784	0.0802	0.0891	0.0755
0.0694	0.0853	0.5206	0.08	0.0826	0.0891	0.2163	0.0848	0.0888	0.0708	1.6877	1.7839	0.0808	0.0799
0.0752	0.0861	0.0844	0.0794	0.0724	0.9458	0.8117	0.074	0.0822	0.6735	1.4471	1.435	0.0838	0.0811
0.3221	0.0772	0.0785	0.0782	0.0757	0.0842	0.083	0.0809	0.0821	0.079	1.0112	1.0215	0.0824	0.0825
0.0778	0.5441	0.0854	0.0758	0.0779	0.0902	0.1984	0.0763	0.0894	0.076	1.1145	1.131	0.7801	0.082
0.0855	0.0824	0.0868	0.0824	0.0776	0.2046	0.2327	0.0749	0.0866	0.085	0.5845	0.5812	0.0852	0.078
0.2763	0.0819	0.0808	0.0806	0.0762	0.084	0.1197	0.0737	0.0819	0.0828	0.6287	0.6275	0.0913	0.0826
0.0711	0.0815	0.1291	0.0714	0.07	0.0788	0.0714	0.067	0.0746	0.0732	0.0798	0.0846	0.0901	0.0778
0.0708	0.0812	0.0753	0.0731	0.0732	0.0825	0.1212	0.0671	0.0838	0.0742	0.5619	0.5563	0.0836	0.0765
0.076	0.0887	0.0794	0.077	0.1909	0.0751	0.0777	0.069	0.0732	0.0761	0.8355	0.871	0.0866	0.0794
0.081	0.0801	0.0843	0.0774	0.075	0.0871	0.13	0.1052	0.0895	0.081	0.7175	0.7311	0.0841	0.0787
0.076	0.0788	0.0829	0.0709	0.0763	0.0766	0.0815	0.0864	0.1773	0.0817	0.6482	0.685	0.0937	0.0813
0.0712	0.0844	0.0835	0.0725	0.0788	0.0741	0.0768	0.1044	0.0818	0.0756	1.2036	1.2202	0.0828	0.0827
0.079	0.0782	0.0819	0.291	0.0785	0.0835	0.1465	0.0705	0.0801	0.0845	0.9183	0.8524	0.0851	0.0785
0.0779	0.0771	0.0791	0.0874	0.086	0.0849	0.1252	0.1047	0.0882	0.0852	0.0812	0.0866	0.0846	0.0781
0.082	0.0838	0.0874	0.0835	0.0778	0.6841	0.6748	0.093	0.3582	0.0832	2.1506	2.06	0.085	0.0806
0.0758	0.0827	0.0855	0.0728	0.0746	0.082	0.1736	0.0735	0.0841	0.0829	1.3362	1.335	1.1227	0.0802
0.0725	0.0791	0.0756	0.077	0.0711	0.0699	0.0738	0.0679	0.0774	0.0775	0.1144	0.0945	0.0899	0.0755
0.0739	0.0863	0.289	0.0722	0.0737	0.0768	0.0827	0.0684	0.0783	0.0804	1.8445	1.8031	0.0793	0.0812
0.3218	0.0842	0.0825	0.0807	0.0732	0.0844	0.1512	0.076	0.0884	0.0724	1.1061	1.1626	0.0823	0.0851
0.0808	0.0877	0.8531	0.0841	0.0815	0.0882	0.2321	0.0904	0.0871	0.0863	5.1148	5.1781	0.0915	0.0823
0.0797	0.0879	0.091	0.0697	0.0707	0.0818	0.1326	0.1046	0.0858	0.0836	0.0755	0.0767	0.0819	0.0803
0.0808	0.0813	0.0855	0.0865	0.5643	0.0866	0.3117	0.0842	0.3076	0.0817	1.7249	1.7785	0.0851	0.0781
0.0727	0.0825	0.0877	0.0762	0.0744	0.0875	0.1813	0.0747	0.0819	0.0832	1.6024	1.5887	0.0834	0.5322
0.0706	0.0787	0.0762	0.0719	0.0674	0.0686	0.0729	0.0643	0.0747	0.0821	0.1145	0.0915	0.0839	0.0733
0.0637	0.0829	0.0858	0.073	0.0789	0.0835	0.1585	0.0744	0.0849	0.0839	0.9979	1.0188	0.8374	0.0886
0.077	0.0827	0.0804	0.0883	0.0793	0.0845	0.0885	0.0744	0.0788	0.0789	0.0925	0.1009	0.5899	0.0764
0.0703	0.0829	0.0821	0.0815	0.075	0.1871	0.2212	0.0707	0.0825	0.0826	0.0832	0.0893	0.083	0.0832
0.2924	0.0821	0.0791	0.0718	0.0746	0.0716	0.0704	0.0812	0.0841	0.077	0.6036	0.6179	0.0792	0.0805
0.0711	0.0857	0.0807	0.1414	0.0742	0.0819	0.1674	0.0721	0.0806	0.0884	0.4585	0.432	0.0861	0.082
0.0723	0.3865	0.0839	0.075	0.0779	0.0873	0.1416	0.0801	0.0819	0.082	0.5875	0.5811	0.088	0.0876
0.0713	0.0825	0.0815	0.1919	0.0767	0.0801	0.1276	0.0843	0.0859	0.084	0.8066	0.7457	0.0821	0.0758
0.0746	0.0806	0.0774	0.0751	0.0727	0.0829	0.1804	0.0773	0.084	0.3437	0.0814	0.0873	0.0803	0.0809
0.0766	0.4655	0.0825	0.0718	0.077	0.0768	0.0764	0.076	0.0816	0.0763	0.5908	0.5886	0.0776	0.0846
0.0722	0.0813	0.0806	0.0746	0.0736	0.0865	0.1444	0.0812	0.1676	0.0751	0.0835	0.0836	0.0848	0.0711
0.0712	0.3639	0.0795	0.076	0.0743	0.0835	0.153	0.0766	0.0886	0.0793	0.8191	0.8313	0.082	0.0776
0.0767	0.0822	0.0813	0.0773	0.0733	0.0783	0.0786	0.0747	0.0835	0.2373	1.0272	1.0239	0.0788	0.0794
0.4833	0.9845	0.0855	0.6972	0.6031	0.0826	0.2887	0.3071	0.0852	0.0825	1.7814	1.634	0.0822	0.0898
0.0789	0.1041	0.0897	0.09	0.084	0.0799	0.0871	0.1014	0.0991	0.0883	3.6495	3.6265	0.0858	0.7538
