"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.0795	0.0742	0.0849	0.0835	0.0717	0.0862	0.154	0.0679	0.0707	0.0708	0.0913	0.1211	0.0817	0.0816
0.077	0.0693	0.0749	0.0795	0.0749	0.0739	0.08	0.0833	0.1109	0.0745	0.0853	0.0828	0.0829	0.0889
0.0762	0.0687	0.0753	0.0806	0.0738	0.0765	0.0862	0.0736	0.0738	0.082	0.0884	0.0912	0.0855	0.5235
0.0783	0.4826	0.0738	0.0827	0.0804	0.0809	0.4729	0.076	0.0804	0.0824	1.2499	1.0744	0.0848	0.0894
0.0718	0.0639	0.0782	0.2182	0.0843	0.0774	0.086	0.0721	0.0745	0.0774	0.0878	0.0804	0.0796	0.0833
0.0767	0.0772	0.0789	0.0831	0.0832	0.0796	0.2498	0.0737	0.0796	0.08	0.5275	0.4949	0.3564	0.0903
0.079	0.0745	0.0776	0.0821	0.1827	0.0838	0.1563	0.078	0.0765	0.0859	0.5116	0.481	0.082	0.0864
0.073	0.0741	0.0789	0.0866	0.0783	1.2704	1.2725	0.0815	0.079	0.0802	0.6934	0.5686	0.0826	0.0867
0.0756	0.0731	0.0836	0.0864	0.0806	0.0722	0.08	0.0898	0.1083	0.0784	0.3684	0.3485	0.0842	0.0915
0.0752	0.0698	0.0836	0.0822	0.0793	0.0808	0.1954	0.0777	0.0835	0.0754	0.0849	0.0791	0.0811	0.0864
0.0778	0.1131	0.0871	0.0798	0.0796	0.0724	0.0835	0.0862	0.1063	0.0825	0.4108	0.3854	0.0812	0.0855
0.0736	0.1969	0.0825	0.0862	0.075	0.0815	0.0868	0.1106	0.0846	0.0807	0.5536	0.5045	0.0822	0.0879
0.0808	0.0808	0.0844	0.0823	0.0808	0.0789	0.3703	0.0799	0.0796	0.0794	0.535	0.5201	0.6575	0.088
0.0674	0.0724	0.0813	0.0838	0.0763	0.0693	0.08	0.0765	0.075	0.3971	1.0066	0.9235	0.0831	0.0873
0.081	0.2142	0.0857	0.0888	0.0846	0.883	0.7633	0.0816	0.0808	0.0834	0.0915	0.091	0.086	0.0876
0.0763	0.2525	0.0785	0.0843	0.079	0.0726	0.0874	0.0715	0.0698	0.0787	0.6979	0.6226	0.0817	0.0904
0.0774	0.0678	0.0752	0.084	0.0706	0.1456	0.0843	0.0675	0.0712	0.0727	0.0821	0.0775	0.0776	0.0822
0.07	0.0682	0.0756	0.0779	0.0716	0.0828	0.1471	0.0704	0.0712	0.0709	0.0794	0.0754	0.0823	0.0799
0.0806	0.0729	0.0815	0.0936	0.0766	0.0818	0.1537	0.0839	0.1165	0.0838	0.388	0.3752	0.0751	0.0849
0.0823	0.3834	0.0838	0.0815	0.0824	1.8322	1.399	0.0797	0.0843	0.0816	1.0934	0.9874	0.0909	0.091
0.8585	0.0737	0.0878	0.0846	0.0802	0.0777	0.0911	0.0871	0.0789	0.0857	1.4431	1.3601	0.0875	0.0874
0.0777	0.9889	0.0808	0.5246	0.0809	0.0824	0.6611	0.0782	0.0785	0.081	3.3408	3.0616	0.091	0.0856
0.0784	0.0941	0.0847	0.0845	0.0725	0.0839	0.1576	0.0888	0.1254	0.0796	0.3689	0.3462	0.0856	0.08
0.0819	0.0848	0.0855	0.0851	0.0799	0.0763	0.187	0.1021	0.0888	0.0793	0.5598	0.4918	0.0867	0.0946
0.0763	0.0691	0.0758	0.0775	0.0717	0.1797	0.0913	0.0654	0.0693	0.065	0.0766	0.0781	0.0756	0.0788
0.0803	0.0783	0.0791	0.0874	0.0815	0.0748	0.0848	0.0807	0.0792	0.0832	1.2131	1.0619	0.0822	1.4078
0.0712	0.0698	0.0748	0.0825	0.0762	0.075	0.081	0.0785	0.0769	0.0804	0.4051	0.3772	0.4592	0.0926
0.0766	0.0931	0.0823	0.0926	0.2433	0.0742	0.162	0.0752	0.0803	0.0794	0.6012	0.5752	0.0853	0.0842
0.0835	0.0807	0.0796	0.0862	0.0874	0.075	0.0861	0.0815	0.0823	0.0812	1.0813	0.9721	0.083	1.0095
0.0718	0.0717	0.0804	0.0812	0.0729	0.1259	0.0858	0.0734	0.0756	0.0818	0.4755	0.4462	0.0797	0.0878
0.0829	0.084	0.0889	0.0892	0.0809	0.0892	0.3209	0.0819	0.0859	0.9123	1.902	1.6383	0.085	0.0939
0.0779	0.1488	0.0794	0.0798	0.0729	0.0824	0.1975	0.0721	0.071	0.0702	0.0854	0.0705	0.0847	0.0815
0.0744	0.0759	0.0838	0.08	0.0765	0.7126	0.7707	0.0896	0.1733	0.0905	0.5039	0.4686	0.0937	0.0842
0.0767	0.074	0.0873	0.0814	0.0709	0.0747	0.1417	0.0838	0.1194	0.0765	0.3633	0.3331	0.0839	0.0867
0.0716	0.069	0.0727	0.0788	0.0732	0.0761	0.0859	0.0713	0.0725	0.0712	0.0806	0.0782	0.0839	0.4626
0.3722	0.0754	0.0803	0.0862	0.0816	0.0728	0.0829	0.081	0.0809	0.0798	0.7521	0.7021	0.0839	0.0987
0.0747	0.0795	0.0797	0.3549	0.0829	0.0781	0.2338	0.0789	0.0808	0.0829	0.5469	0.5932	0.0893	0.0849
0.0779	0.0732	0.0853	0.0844	0.0789	0.0796	0.179	0.1155	0.0843	0.0806	0.4576	0.4372	0.0822	0.0939
0.0729	0.0665	0.0777	0.1593	0.0785	0.0776	0.1714	0.0703	0.0674	0.0687	0.0787	0.0741	0.0933	0.0875
0.0767	0.0782	0.7337	0.0919	0.238	0.0793	0.4424	0.0824	0.0849	0.0837	0.8215	0.7774	0.0824	0.0951
0.0778	0.0808	0.0819	0.0839	0.0798	0.0774	0.1493	0.0891	0.1221	0.0861	0.4457	0.4146	0.0857	0.0872
0.0717	0.0593	0.0735	0.0775	0.0719	0.11	0.0847	0.0675	0.0711	0.0635	0.0812	0.0752	0.0872	0.0889
0.0727	0.0795	0.0787	0.0885	0.0781	0.0771	0.1459	0.1015	0.0862	0.0771	0.51	0.4684	0.0807	0.0882
0.0746	0.0703	0.0785	0.0781	0.1476	0.0739	0.0877	0.076	0.0734	0.0735	0.0845	0.0811	0.0795	0.0854
0.0752	0.0748	0.0795	0.1718	0.0808	0.0809	0.231	0.087	0.0786	0.0747	0.0789	0.0825	0.0873	0.0804
0.0779	0.0697	0.0801	0.2863	0.0758	0.0784	0.0797	0.0732	0.072	0.088	0.5517	0.5822	0.0769	0.0903
0.0801	0.0744	0.0745	0.0898	0.081	0.0771	0.1855	0.0882	0.1266	0.0855	0.4012	0.3832	0.082	0.0854
0.0746	0.0741	0.0808	0.0891	0.0724	0.0771	0.1884	0.0864	0.124	0.0848	0.5533	0.5123	0.0879	0.0857
0.0706	0.0762	0.0819	0.0872	0.0759	0.0792	0.1531	0.0843	0.0845	0.077	0.45	0.4302	0.4726	0.0919
0.3002	0.0799	0.085	0.0878	0.08	0.0826	0.2772	0.0959	0.0916	0.0779	0.0897	0.0923	0.0804	0.099
0.0754	0.073	0.0815	0.0859	0.0779	0.0757	0.1539	0.077	0.0768	0.0765	0.3786	0.3538	0.0835	0.0832
0.076	0.0713	0.0767	0.0793	0.0748	0.0827	0.1842	0.0711	0.0754	0.0741	0.155	0.0961	0.0848	0.0819
0.0729	0.0716	0.0744	0.0804	0.0742	0.0849	0.1593	0.0954	0.0844	0.0876	0.4616	0.4389	0.0823	0.0881
0.0754	0.0751	0.0862	0.0833	0.3315	0.076	0.0856	0.0848	0.0854	0.0823	0.7597	0.7343	0.0807	0.0873
0.0878	0.9201	0.084	1.1098	0.8994	0.0783	0.7593	1.5066	1.2786	0.0802	2.3708	2.2931	0.087	0.0875
0.0764	0.0747	0.078	0.0839	0.0734	0.0714	0.0883	0.0789	0.0797	0.0836	0.511	0.4657	0.3621	0.0827
0.0833	0.1626	0.0733	0.0845	0.0732	0.1647	0.0817	0.0766	0.0746	0.0807	0.6574	0.5717	0.08	0.0791
0.0775	0.6566	0.0824	0.0869	0.0861	0.0892	0.4546	0.0848	0.0912	0.0815	2.2649	1.9495	0.0843	0.0928
1.3482	0.0744	0.0758	0.0837	0.0813	0.0788	0.3976	0.075	0.0754	0.0825	1.8883	1.702	0.0836	0.0874
0.0771	0.0691	0.0772	0.1981	0.0813	0.081	0.0754	0.0717	0.073	0.0689	0.085	0.0856	0.0793	0.0813
0.071	0.0698	0.2274	0.0784	0.073	0.0706	0.0833	0.071	0.0738	0.0814	0.4878	0.4639	0.0803	0.0811
0.0736	0.0796	0.0782	0.0821	0.0715	0.0755	0.1678	0.0671	0.0745	0.0749	0.4091	0.3837	0.0746	0.0872
0.0756	0.0772	0.0797	0.0881	0.0882	0.0769	0.144	0.0785	0.0773	0.0777	1.3985	1.2032	0.0812	1.5098
0.0787	0.0926	0.0772	0.0796	0.0705	0.071	0.0833	0.0693	0.0699	0.0701	0.1382	0.0982	0.08	0.0796
0.078	0.1457	0.0843	0.0818	0.0785	0.0712	0.0836	0.1277	0.0862	0.0783	0.6383	0.5707	0.0853	0.0857
0.0747	0.0756	0.0858	0.0894	0.073	0.0786	0.161	0.0692	0.0785	0.0784	0.5322	0.5132	0.0819	0.0887
0.0797	0.0776	0.0855	0.2058	0.083	0.2055	0.2517	0.0775	0.0763	0.0836	0.5427	0.5312	0.084	0.0829
0.0777	1.0732	0.0859	0.7873	1.1837	0.0793	1.1126	0.7821	0.0864	0.0835	2.0114	1.9466	0.0801	0.0859
0.0769	0.072	0.0757	0.085	0.1747	0.0782	0.1588	0.0733	0.073	0.0772	0.0837	0.082	0.0898	0.088
0.0766	0.0816	0.0774	0.0835	0.0737	0.0791	0.216	0.0829	0.119	0.0786	0.513	0.4622	0.0803	0.089
0.0758	0.0742	0.0864	0.0836	0.0739	0.0793	0.1652	0.0691	0.0799	0.0809	0.3761	0.3492	0.2237	0.0915
0.0777	0.0655	0.2526	0.0763	0.0705	0.0736	0.0897	0.067	0.0757	0.0716	0.0768	0.0717	0.0849	0.0803
0.0775	0.072	0.0793	0.0859	0.0752	0.0783	0.1373	0.1014	0.0918	0.0782	0.3984	0.3639	0.0775	0.0856
0.0756	0.0781	0.2138	0.0804	0.0733	0.2166	0.2558	0.0699	0.0766	0.0745	0.0862	0.0762	0.0841	0.084
0.0802	0.5753	0.0835	0.088	0.0807	1.5856	1.7109	1.2558	1.4189	0.0822	1.5542	1.1773	0.087	0.0904
0.0757	0.0785	0.0719	0.0839	0.2257	0.0751	0.2196	0.082	0.0882	0.0829	0.6351	0.609	0.0798	0.0909
