name,node_ID,width_threshold,node_Area,node_Degree,degree_Asymmetry,subtree_degree_Asymmetry,area_Asymmetry,subtree_area_Asymmetry,node_HS,Area,Perimeter,MajorAxisLength,MinorAxisLength,Eccentricity,Orientation,Circularity,Elongation,Roughness,VTotLen,VTotVol,MSTLength,MSTRatio,Boundary,vein_density
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,445,0,0.100931908,1,0,0,0,0,1,0.100931908,1.39263718,0.592358758,0.226634878,0.923915194,-28.210303,0.653976851,2.613714024,19.2153141,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,446,0,0.071210484,1,0,0,0,0,1,0.071210484,1.12365638,0.44350433,0.213204369,0.876870486,-23.53298587,0.708739699,2.080184064,17.7305866,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,447,0,0.077396634,1,0,0,0,0,1,0.077396634,1.18338594,0.46929657,0.223232243,0.879621573,-32.82455263,0.694510994,2.102279512,18.09383972,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,448,0,0.045954251,1,0,0,0,0,1,0.045954251,0.91383908,0.340600466,0.193187966,0.823581338,-5.881850066,0.691506242,1.763052188,18.17246157,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,449,0,0.101210982,1,0,0,0,0,1,0.101210982,1.37039034,0.537222931,0.256404586,0.878752461,41.5164794,0.677249865,2.095215764,18.55499907,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,450,0,0.181119286,1,0,0,0,0,1,0.181119286,1.8034126,0.69320577,0.354090045,0.859699114,-13.60095337,0.699816795,1.957710417,17.95665765,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,451,0,0.50698516,1,0,0,0,0,1,0.50698516,3.05428244,0.923313085,0.742201225,0.59483791,61.84141969,0.682946558,1.244019887,18.40022541,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,452,0,0.099490024,1,0,0,0,0,1,0.099490024,1.39478548,0.517438149,0.265687277,0.858109498,-3.468455904,0.642650075,1.947545829,19.55398607,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,453,0,0.086699114,1,0,0,0,0,1,0.086699114,1.11969396,0.365028125,0.314573399,0.507284708,-68.65283977,0.869012154,1.160390949,14.46052344,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
UCBG_Trilan820779_B01_x_crop_recrop_CNN_1,454,0,0.116374025,1,0,0,0,0,1,0.116374025,1.3889612,0.50859171,0.31157841,0.790370037,18.67673673,0.758028773,1.632307291,16.57769608,463.2583115,2.170061111,202.6463184,0.437436984,0,6.24337347
