clade,code,rmin,PC1,PC2,PC3
asterids,Abe_mex,0.01,1.3704056923105108,1.5954894478925161,2.0571945714023903
asterids,Abe_mex,0.02,1.4421548969210611,1.3360510231925458,1.7256105467072567
asterids,Abe_mex,0.03,1.596540731733816,0.6841785151363393,0.948728694956734
asterids,Abe_mex,0.04,1.7555517691488898,-0.18777624293663298,0.03094892054341493
asterids,Abe_mex,0.05,1.8498477240952986,-0.3225400642413043,-0.2798153472177673
asterids,Abe_mex,0.060000000000000005,2.012682090375029,-0.20689665680365066,-0.5916077560490338
asterids,Abe_mex,0.08,2.029864011464065,-0.27323443886267396,-0.6662714162381784
rosids,Aex_pun,0.01,0.5818413232443748,2.7325050428892688,2.819501840750866
rosids,Aex_pun,0.02,0.5331989410227663,2.612949208009819,2.864085498721554
rosids,Aex_pun,0.03,0.5720905492280107,2.6848892884522026,2.8132757996348365
rosids,Aex_pun,0.04,0.6304649398368486,2.496360231553086,2.540658376087464
rosids,Aex_pun,0.05,0.7852481176485919,1.8771073591626282,1.7333624855291467
rosids,Aex_pun,0.060000000000000005,0.9560852634868741,1.0040453328690317,0.7444668257130764
rosids,Aex_pun,0.06999999999999999,1.0031778254237063,0.39475207704225035,0.24373741867155424
rosids,Aex_pun,0.08,1.057551210885781,0.19713819172018698,-0.00868693587751458
rosids,Aex_pun,0.09,1.0109160375337962,-0.11489700087224473,-0.08485629140960817
rosids,Aex_pun,0.09999999999999999,0.991934452926839,-0.29773944713644396,-0.1431725999638206
rosids,Aex_pun,0.11,1.0004602174908017,-0.3240762505116269,-0.1779732837315237
rosids,Aex_pun,0.13,1.0099921630876056,-0.36101886971321195,-0.21813078801878977
rosids,Aex_pun,0.17,1.1511168404461982,-0.11015095845977484,-0.39716266514072207
rosids,Aex_pun,0.18000000000000002,1.1566523665856636,-0.13150948259299255,-0.4214965414806151
rosids,Aex_pun,0.19,1.1640897721130903,-0.16001504522877674,-0.4555272145818201
rosids,Aex_pun,0.23,1.1737795652225491,-0.1979091703905107,-0.49790959248875777
rosids,Aex_pun,0.31,1.2798204837910658,0.008513913559690611,-0.6280955305043343
rosids,Aex_pun,0.39,1.1894362311606297,-0.2597196508963922,-0.5768472335039065
rosids,Ale_cor,0.01,-1.2777131658129182,2.981079106594274,1.1892037305632708
rosids,Ale_cor,0.02,-1.251429980817708,2.886103435124595,1.065730594654506
rosids,Ale_cor,0.03,-1.1828203671686002,2.6398747303913357,0.7376917150898761
rosids,Ale_cor,0.04,-1.071947808938366,2.2362441095615098,0.2037697185396259
rosids,Ale_cor,0.05,-0.9525905030231627,1.7973498989740286,-0.36059749218307174
rosids,Ale_cor,0.060000000000000005,-0.8792712858837926,1.4950742804595363,-0.7201344352221497
rosids,Ale_cor,0.06999999999999999,-0.8306973270705587,1.2968573993655856,-0.961235083436939
rosids,Ale_cor,0.08,-0.809544410144116,1.1168393935263055,-1.1236300010931224
rosids,Ale_cor,0.09,-0.7794482439541477,0.9802434377303589,-1.2802021399910752
rosids,Ale_cor,0.09999999999999999,-0.7770728535397053,0.7777971312309339,-1.4105114776796612
rosids,Ale_cor,0.11,-0.7901386482509543,0.571204749940152,-1.5025835983042597
rosids,Ale_cor,0.12,-0.8218942478298386,0.3783098209228256,-1.540907430462974
rosids,Ale_cor,0.13,-0.8022652849224008,0.3309785586789411,-1.6147323572425187
rosids,Ale_cor,0.14,-0.8240786629985342,0.19526129445819929,-1.6418707869331097
rosids,Ale_cor,0.15000000000000002,-0.8111418801823322,0.18338571076131416,-1.6796251437138299
rosids,Ale_cor,0.16,-0.843681805826298,0.07301829346833309,-1.666212531390976
rosids,Ale_cor,0.17,-0.8006422965835911,0.14292625229711348,-1.7248708042406191
rosids,Ale_cor,0.18000000000000002,-0.8352092503698605,0.040202430439895784,-1.7028894782675388
rosids,Ale_cor,0.19,-0.7951096511439666,0.12186027760268357,-1.7495606088264402
rosids,Ale_cor,0.2,-0.790498025594321,0.1044393037322374,-1.7712667697992037
rosids,Ale_cor,0.21000000000000002,-0.826529665277153,0.006061759749590209,-1.7445588182118672
rosids,Ale_cor,0.23,-0.8212854733871942,-0.014096791516570187,-1.76678853992652
rosids,Ale_cor,0.24000000000000002,-0.7813135967231892,0.06931376466116211,-1.812208221367925
rosids,Ale_cor,0.25,-0.7783580337098577,0.05793597614049349,-1.825310196334728
rosids,Ale_cor,0.27,-0.8097901417943569,-0.058501159589066216,-1.8181375959407666
rosids,Ale_cor,0.28,-0.7879766955822893,-0.02699462090672479,-1.8528539013720997
rosids,Ale_cor,0.29000000000000004,-0.7649469910873956,0.006671705942984482,-1.887807503818022
rosids,Ale_cor,0.32,-0.7963559280978705,-0.11008640383037738,-1.8813706124356595
rosids,Ale_cor,0.38,-0.7878253652276317,-0.14360185234674405,-1.9187542898487653
rosids,Ale_cor,0.39,-0.7480436972247719,-0.058492916753594366,-1.9622146664610323
rosids,Ale_cor,0.41000000000000003,-0.6447344084483695,0.184581933704692,-2.0631203964941944
