spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Bei_tar,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20010025,513,Australasia,tree,pinnate,5.370629029,1.204705263,0.141976082,0.676615125,0.94446354,0.990407635,0.57052461,0.739830578,1.657290337,149.37,198.65,198.65,153.18,153.18,2107.18,2107.18,5479.78,5479.78,2.67,2.67,9.32,9.32,-96.23,-97.61,-96.92,-96.92,5.31,5.31,3.56,NA,0.77896344,NA,1.987715317,0.31
Bux_har,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,790114,242,Asia,shrub,pinnate,6.785980509,4.937971326,1.551110824,0.539469073,0.694689928,0.967950126,2.774865878,4.138205871,2.1397904,177.74,NA,409.8152415,336.58,336.58,2102.02,2102.02,5637.53,5637.53,6.95,6.95,NA,57.06912831,18.1,-9.66,4.22,4.22,1.29,1.29,6.4,1.28,1.28,3.91,3.91,0.65
Cal_nut,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,891820,4,California,herb,parallel,0.000767627,0,0,1,1,0,59.36545006,15.68944017,1.627466191,112.58,134.45,134.45,114.29,114.29,2395.21,2395.21,6975.67,6975.67,213.83,213.83,683.15,683.15,-87.55,-95.09,-91.32,-91.32,1.17,1.17,3.23,NA,0.861750906,NA,2.580223517,0.24
Cal_pan,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20010597,513,Australasia,tree,pinnate,2.379536398,0.9226235,0.210584919,0.697954299,0.898105494,0.998193785,0.63842025,0.902974673,2.448723394,159.9,404.43,404.43,80.23,80.23,1444.21,1444.21,9783.98,9783.98,1.63,1.63,60.36,60.36,-91.62,-97.42,-94.52,-94.52,3.5,3.5,2.73,0.53,0.53,1.62,1.62,0.37
Cam_sin,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,820215,235,Asia,tree,pinnate,4.362301099,0.997310536,0.243733666,0.755072543,0.901362895,0.980555761,0.717778052,0.941244434,1.238186764,88.83,94.42,94.42,141.34,141.34,2397.97,2397.97,7295.4,7295.4,6.17,6.17,48.02,48.02,-86.96,-88.98,-87.97,-87.97,3.27,3.27,1.91,2.62,2.62,4.73,4.73,0.44
Can_can,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,611429,707B,Mediterranean,climbing,pinnate,3.440890385,0.107567606,0.010221663,0.739467378,1,1,1.044794291,0.932301054,0.936816259,25.07,89.5,89.5,103.99,103.99,203.67,203.67,5301.48,5301.48,15.87,15.87,NA,108.2247957,-78.99,-82.62,-80.805,-80.805,3.97,3.97,1.09,NA,0.89823691,NA,2.196259061,0.26
Car_pal,Carya palmeri,W.E. Manning,Carya,Juglandaceae,Fagales,rosids,970479,378,Mexico/Central America,tree,pinnate,3.778805868,1.03152084,0.323192401,0.648960126,0.864284269,0.965860198,0.552157631,1.54812137,0.574393308,59.88,50.73,50.73,35.6,35.6,176.25,176.25,1615.71,1615.71,NA,22.6391534,NA,64.89174004,-68.97,-87.35,-78.16,-78.16,4.22,4.22,1.99,NA,0.703145887,NA,1.654783209,0.54
Car_pen,Carex agastachys,Huds.,Carex,Cyperaceae,Poales,monocots,20120329,703,Mediterranean,herb,parallel,5.168141685,3.945441876,0.088613029,0.41002343,0.65976252,1,20.67414698,18.21329601,1.917891581,124.74,387.81,387.81,795.82,795.82,1264.17,1264.17,13545.2,13545.2,399.7,399.7,525.01,525.01,-72.17,-96.66,-84.415,-84.415,0.98,0.98,0.17,NA,1.036103712,NA,3.442145804,0.33
Cat_edu,Catha edulis,Forssk.,Catha,Celastraceae,Celastrales,rosids,780415,143,Africa,tree,pinnate,3.863424712,0.779631256,0.067367526,0.679659516,0.972652302,1,0.903152194,3.581272698,2.088321636,130.98,NA,237.2020528,61.26,61.26,4436.9,4436.9,5078.43,5078.43,11.62,11.62,NA,135.9049354,-65.58,47.05,-9.265,-9.265,6.93,6.93,4.21,NA,0.731003715,NA,2.446859326,0.47
Cel_aus,Celtis australis,L.,Celtis,Cannabaceae,Rosales,rosids,790592,701,Mediterranean,tree,pinnate,0.088005902,0.047102461,0.008825446,0.653468603,0.803359077,0.985961438,0.585588814,0.645108256,3.09911509,57.8,273.53,273.53,188.28,188.28,1181.49,1181.49,13405.02,13405.02,3.33,3.33,NA,42.11830863,-84.16,-43.6,-63.88,-63.88,0.81,0.81,3.67,NA,0.876089515,NA,2.683376109,0.37
