spp_code,species,canonical_author,genus,family,order,clade,accession_number,ucbg_bed,ucbg_area,growth_form,venation_type,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_M_imputed,SWP_L,SWP_L_imputed,SWS_M,SWS_M_imputed,SWS_L,SWS_L_imputed,e_W,e_W_imputed,e_L,e_L_imputed,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Dkleaf_mean_imputed,Phe,Phe_imputed,Kleaf_max,P50,P50_imputed,P88,P88_imputed,ISI
Esc_her,Escallonia herrerae,Mattf.,Escallonia,Escalloniaceae,Escalloniales,asterids,640493,651,South-America,tree,pinnate,7.094947773,0.209644478,0.100864644,0.698929019,0.974635894,0.993823561,0.650206544,4.295024191,4.29852864,78.44,455.57,455.57,73.35,73.35,829.84,829.84,3249.5,3249.5,8.91,8.91,96.26,96.26,-81.54,-67.46,-74.5,-74.5,4.84,4.84,1.62,NA,0.566904095,NA,2.239789101,0.33
Euc_cri,Euclea crispa,(Thunb.) Gürke,Euclea,Ebenaceae,Ericales,asterids,20060645,141,Asia,tree,pinnate,5.987125511,4.215043381,1.769722602,0.595691337,0.702985729,0.925870591,0.911775248,0.836668157,1.403012364,162.41,NA,138.4309713,118.3,118.3,2258.59,2258.59,6827.64,6827.64,29.47,29.47,39.83,39.83,-63.89,-62.41,-63.15,-63.15,6.96,6.96,28.99,NA,0.980063687,NA,3.006468567,0.53
Eur_jap,Eurya japonica,Thunb.,Eurya,Pentaphylacaceae,Ericales,asterids,610733,220C,Asia,tree,pinnate,3.857786429,2.107540258,0.796231852,0.76345149,0.814407745,0.934211315,0.919642307,1.122875162,1.874588885,150.95,NA,394.0057176,260.54,260.54,601.13,601.13,5920.35,5920.35,2.95,2.95,25.51,25.51,-76.07,-47.36,-61.715,-61.715,2.41,2.41,2.45,NA,0.857890951,NA,2.017966562,0.42
Eus_jap,Staphylea japonica,(Thunb.) Kanitz,Staphylea,Staphyleaceae,Crossosomatales,rosids,20050371,222,Asia,tree,pinnate,8.005526129,3.467139986,0.158087107,0.637561536,0.821374488,0.992441929,0.697170033,1.037858213,1.882658678,76.87,135.84,135.84,63.31,63.31,499.14,499.14,4487.42,4487.42,0.67,0.67,NA,29.45649051,-98.68,-98.73,-98.705,-98.705,6.4,6.4,9.4,NA,0.954389481,NA,2.169200292,0.24
Fra_son,Francoa appendiculata,Cav.,Francoa,Francoaceae,Geraniales,rosids,831525,609,South-America,herb,pinnate,2.608982556,0.638914948,0.096518932,0.764210875,0.913065265,0.987339893,0.639925703,0.722183627,0.703116132,71.12,108.72,108.72,57.24,57.24,129.92,129.92,1460.66,1460.66,90.38,90.38,78.85,78.85,-75.73,-90.31,-83.02,-83.02,6.64,6.64,1.63,0.66,0.66,1,1,0.24
Gom_keu,Gomortega keule,(Molina) Baill.,Gomortega,Gomortegaceae,Laurales,basal angiosperms,20010213,653,South-America,tree,pinnate,4.415602001,0.682962707,0.182776012,0.688816731,0.959095337,0.998558764,0.758569796,1.275410082,0.786870608,276.2,364,364,140.59,140.59,1715.99,1715.99,4501.98,4501.98,4.8,4.8,11.99,11.99,-74,-38.86,-56.43,-56.43,6.77,6.77,11.79,NA,0.694457782,NA,2.28255421,0.33
Hel_chi,Helwingia chinensis,Batalin,Helwingia,Helwingiaceae,Aquifoliales,asterids,20020209,234,Asia,tree,pinnate,1.815392963,0.134179938,0.107892024,0.807059072,0.960419602,0.983940655,1.342229999,8.68049918,8.678526248,88.09,156.32,156.32,94.35,94.35,544.69,544.69,2308.55,2308.55,2.88,2.88,19.1,19.1,-47.82,-65.27,-56.545,-56.545,2.02,2.02,12.67,NA,0.502783745,NA,1.541853592,0.39
Hib_sca,Hibbertia scandens,(Willd.) Dryand.,Hibbertia,Dilleniaceae,Dilleniales,rosids,NA,510,Australasia,climbing,pinnate,8.642731487,6.516411421,1.121313556,0.555992068,0.730967123,0.902796772,0.655025369,0.839188923,1.305607443,91.72,132.67,132.67,120.1,120.1,737.11,737.11,4048.73,4048.73,4.21,4.21,NA,61.4747232,-66.45,-43.6,-55.025,-55.025,4.13,4.13,3.2,NA,0.780679143,NA,2.301215155,0.33
Ill_lan,Illicium lanceolatum,A.C. Sm.,Illicium,Schisandraceae,Austrobaileyales,basal angiosperms,760212,239,Asia,tree,pinnate,4.601915509,0.396979344,0.105961342,0.68889599,0.964018367,0.988982305,0.801921229,2.910991795,2.913579376,111.47,NA,306.0054024,141.87,141.87,1591.79,1591.79,4090.29,4090.29,5.81,5.81,18.57,18.57,-98.25,-98.42,-98.335,-98.335,1.27,1.27,12.4,0.16,0.16,0.51,0.51,0.35
Ite_ili,Itea ilicifolia,Oliv.,Itea,Iteaceae,Saxifragales,basal eudicots,860414,236,Asia,shrub,pinnate,3.77708055,2.269969247,0.363863872,0.638608722,0.799365658,0.988133173,0.684430605,0.848919138,0.57552398,207.03,NA,413.9723064,209.15,209.15,1450.33,1450.33,18989.68,18989.68,5.83,5.83,75.75,75.75,-63.64,13.43,-25.105,-25.105,4.68,4.68,4.65,NA,0.895750159,NA,2.037773233,0.38
Kni_uva,Kniphofia uvaria,(L.) Oken,Kniphofia,Asphodelaceae,Asparagales,monocots,340175,143,Africa,herb,parallel,4.020099796,0,0,0.638974354,0,0,26.04265113,0,9.491080677,92.15,476.25,476.25,219.26,219.26,390.98,390.98,5351.83,5351.83,30.11,30.11,71.2,71.2,-81.95,-96.71,-89.33,-89.33,1.02,1.02,11.58,NA,0.517817771,NA,1.850886533,0.22
Lon_jap,Lonicera japonica,Thunb.,Lonicera,Caprifoliaceae,Dipsacales,asterids,NA,427,Chinese medicinal garden,climbing,pinnate,3.419990875,1.413029723,0.252445149,0.71392333,0.906725931,0.968978486,0.590986873,1.153705764,1.50669807,48.61,76.27,76.27,170.3,170.3,325.21,325.21,6525.94,6525.94,NA,22.80072789,NA,82.88050571,-91.93,-97.54,-94.735,-94.735,1.48,1.48,12.78,NA,0.544725899,NA,1.473032019,0.33
Luz_niv,Luzula nivea,(Nathh.) DC.,Luzula,Juncaceae,Poales,monocots,20070141,704,Mediterranean,herb,parallel,0,3.737758842,0.176229349,0,0.773963652,1,0,67.33812774,25.58130639,93.22,NA,344.0240679,333.32,333.32,NA,2675.52016,6999.55,6999.55,467.62,467.62,NA,192.1753484,NA,-70.54,-70.54,-60.48831519,2.61,2.61,12.87,NA,1.180542206,NA,3.198564649,0.43
Mag_che,Magnolia chevalieri,(Dandy) V.S. Kumar,Magnolia,Magnoliaceae,Magnoliales,basal angiosperms,20090506,236,Asia,tree,pinnate,1.249364483,0.078975854,0.052434956,0.849400476,0.93239066,0.98548262,1.045632178,4.030513635,2.415951498,93.62,361.01,361.01,63.49,63.49,2524.91,2524.91,5771.59,5771.59,9.79,9.79,NA,48.4290346,-97.17,-97.46,-97.315,-97.315,1.75,1.75,34.83,0.73,0.73,1.96,1.96,0.27
Mal_pal,Malacothamnus palmeri,(S. Watson) Greene,Malacothamnus,Malvaceae,Malvales,rosids,851139,23B,California,shrub,palmate,5.968643251,0.817727577,0.105201459,0.659777592,0.933792171,1,0.618344571,0.778429076,0.088088154,100.94,7.7,7.7,25.63,25.63,83.35,83.35,731.72,731.72,0.12,0.12,NA,33.85981871,-93.84,-92.73,-93.285,-93.285,1.57,1.57,4.73,NA,1.087142851,NA,1.883326821,0.5
Mel_maj,Melianthus major,L.,Melianthus,Francoaceae,Geraniales,rosids,491818,145,Africa,shrub,pinnate,5.043479822,0.115724363,0.065289364,0.678345551,0.95448552,0.990930774,0.673936701,1.310979906,1.313904122,86.55,370.18,370.18,64.46,64.46,804.79,804.79,13784.6,13784.6,8.67,8.67,NA,45.75406811,-79.58,5.23,-37.175,-37.175,7,7,1.18,NA,0.811244669,NA,2.665738896,0.23
Met_dav,Metapanax davidii,(Franch.) J. Wen & Frodin,Metapanax,Araliaceae,Apiales,asterids,930209,236,Asia,tree,pinnate,0.98613311,0.290609921,0.036658939,0.800152253,0.955253297,1,0.910552515,1.400177527,1.355668002,99.04,224.47,224.47,151.45,151.45,688.75,688.75,5196.97,5196.97,9.25,9.25,26.62,26.62,-35.56,-5.56,-20.56,-20.56,0.85,0.85,1.12,0.56,0.56,1.96,1.96,0.34
Mic_mul,Miconia multiplinervia,Cogn.,Miconia,Melastomataceae,Myrtales,rosids,20120510,359,Mexico/Central America,tree,pinnate,1.436221298,0.697147646,0.336082425,0.809101291,0.883661376,0.969985926,0.76220125,0.88534359,1.061770091,45.64,119.33,119.33,119.31,119.31,480.59,480.59,9266.65,9266.65,4.43,4.43,NA,103.388396,-88.02,-56.83,-72.425,-72.425,6.16,6.16,1.36,NA,0.935428633,NA,2.514631779,0.26
Mic_pla,Microlepia platyphylla,(D. Don) J. Sm.,Microlepia,Dennstaedtiaceae,Polypodiales,ferns,500577,513,Australasia,herb,pinnate,1.346741688,1.310984678,0.652026075,0.95345671,0.959288893,0.969773668,3.205997917,3.206469582,3.238493655,84.72,253.04,253.04,204.7,204.7,368.47,368.47,8601.36,8601.36,NA,137.9637591,NA,210.6734916,-84.17,-94.05,-89.11,-89.11,2.83,2.83,0.86,0.75,0.75,2.3,2.3,0.36
Mon_car,Montinia caryophyllacea,Thunb.,Montinia,Montiniaceae,Solanales,asterids,750110,141,Africa,shrub,pinnate,3.553241716,1.125907974,0.205716931,0.699592662,0.899165655,0.96504121,0.768525889,2.691215282,1.261531324,56.03,218.28,218.28,218.15,218.15,731.59,731.59,2453.54,2453.54,NA,81.89542272,NA,198.9805757,NA,NA,NA,-67.1049676,4.41,4.41,4.86,NA,1.032533018,NA,2.724850172,0.39
Myr_rub,Morella rubra,(Lour.) Siebold & Zucc.,Morella,Myricaceae,Fagales,rosids,650176,219,Asia,tree,pinnate,3.558433651,0.176476788,0.067211007,0.670224064,0.990580843,0.995695136,0.625004792,4.764981116,2.414622935,137.72,406.47,406.47,197.96,197.96,1536.5,1536.5,5473.72,5473.72,1.19,1.19,NA,21.00580919,-92.69,-95.53,-94.11,-94.11,4.39,4.39,10.19,NA,0.842176799,NA,1.517830528,0.31
Nan_dom,Nandina domestica,Thunb.,Nandina,Berberidaceae,Ranunculales,basal eudicots,860621,242,Asia,shrub,pinnate,4.205049094,0.419603816,0.068389948,0.708362203,0.987846588,1,0.839920289,2.46861464,0.992104228,93.92,NA,297.5387421,115.16,115.16,1522.99,1522.99,8099.51,8099.51,7.32,7.32,NA,57.23103845,-52.14,52.28,0.07,0.07,6.1,6.1,2.73,1.24,1.24,3.76,3.76,0.43
Not_fus,Fuscospora fusca,(Blume) Oerst.,Fuscospora,Nothofagaceae,Fagales,rosids,900611,511A,Australasia,tree,pinnate,5.084237728,3.021067082,0.313444858,0.66709689,0.763848353,1,0.585834607,0.756774949,0.827405123,154.23,249.2,249.2,104.16,104.16,2790.33,2790.33,6925.46,6925.46,11.75,11.75,20.88,20.88,-85.84,55.56,-15.14,-15.14,6.38,6.38,11.09,1.14,1.14,4.33,4.33,0.31
Nym,Nymphaea sp,L.,Nymphaea,Nymphaeaceae,Nymphaeales,basal angiosperms,20010088,228A,Asia,aquatic,palmate,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.15,114.17,NA,45.23,NA,630.64,NA,4267.1,NA,0.18,NA,3.13,NA,77.66,281.01,179.335,NA,6.74,NA,0.48,NA,NA,NA,NA,0.23
Ole_eur,Olea europaea,L.,Olea,Oleaceae,Lamiales,asterids,551110,144,Africa,tree,pinnate,6.161331158,0.769115493,0.184083851,0.715777998,0.987607298,1,0.92748364,4.082954457,1.758744931,184.6,NA,382.4061626,186.36,186.36,4456.98,4456.98,8692.09,8692.09,4.5,4.5,NA,48.3117374,-33.13,-40.6,-36.865,-36.865,3.52,3.52,3.38,NA,1.0084762,NA,2.578997326,0.83
Ono_sen,Onoclea sensibilis,L.,Onoclea,Onocleaceae,Polypodiales,ferns,800321,309,Eastern North America,herb,pinnate,5.19632764,4.232532141,0.229888468,0.49072959,0.653940941,0.981608085,2.246765298,3.511918389,4.64580903,22.54,99.38,99.38,190.5,190.5,458.1,458.1,4948.88,4948.88,3.11,3.11,NA,82.06978086,-88.57,-95.99,-92.28,-92.28,5.95,5.95,1.16,NA,1.02953045,NA,2.546250851,0.22
Osm_ber,Osmorhiza berteroi,DC.,Osmorhiza,Apiaceae,Apiales,asterids,900317,29,California,herb,pinnate,9.407803527,7.353842032,0.314375872,0.456566184,0.629332658,1,0.795347348,0.942522883,1.790073074,18.91,66.74,66.74,128.74,128.74,875.28,875.28,14448.04,14448.04,NA,7.443628402,NA,85.92292504,-8.19,1.59,-3.3,-3.3,2.35,2.35,7.59,NA,1.14380195,NA,2.647566988,0.44
Pae_bro,Paeonia broteroi,Boiss. & Reut.,Paeonia,Paeoniaceae,Saxifragales,basal eudicots,921535,703,Mediterranean,herb,palmate,4.246566567,0.106677336,0.045137462,0.731369967,0.974552117,0.99041267,0.797152525,0.231379054,0.233614094,69.92,521.06,521.06,240.39,240.39,42792.97,42792.97,6640.94,6640.94,NA,24.20614038,NA,98.2536007,-88.56,-89.37,-88.965,-88.965,7.54,7.54,16.29,NA,1.516303004,NA,2.425613408,0.44
Par_tor,Parajubaea torallyi,(Mart.) Burret,Parajubaea,Arecaceae,Arecales,monocots,20030187,611,South-America,tree,parallel,4.208665932,0.202023998,0,0.358524147,0.968463815,0,6.935715291,37.9451798,5.872305528,246.69,553.15,553.15,363.09,363.09,3483.18,3483.18,19.49,19.49,55.85,55.85,266.02,266.02,-99.93,-99.73,-99.83,-99.83,2.54,2.54,1.19,NA,0.830506242,NA,3.225306779,0.23
Per_acu,Pereskia aculeata,Mill.,Pereskia,Cactaceae,Caryophyllales,rosids,630851,159,Desert of the Americas,tree,pinnate,4.312645277,4.312522196,2.405647528,0.597708782,0.597756438,0.729558939,0.670831114,2.001016781,1.166883273,66.78,14.83,14.83,12.62,12.62,86.13,86.13,447.89,447.89,NA,23.39741706,NA,54.59607093,-82.01,-89.7,-85.855,-85.855,1.7,1.7,0.4,NA,1.018622808,NA,2.531824154,0.33
Peu_bol,Peumus boldus,Molina,Peumus,Monimiaceae,Laurales,basal angiosperms,361375,608,South-America,tree,pinnate,2.777184223,0.120861726,0.042564191,0.721179027,1,1,0.660924272,2.362366574,0.900031991,127.61,250.17,250.17,130.58,130.58,746.56,746.56,1788.63,1788.63,41.74,41.74,33.13,33.13,-93.84,-93.96,-93.9,-93.9,4.16,4.16,7.3,NA,1.049338708,NA,2.373025999,0.5
Phi_lat,Phillyrea latifolia,L.,Phillyrea,Oleaceae,Lamiales,asterids,7901174,704,Mediterranean,tree,pinnate,5.357414708,1.332012381,0.171925731,0.669278695,0.945051322,0.99220505,0.67280014,1.43498131,2.761851291,196.63,491.99,491.99,150.69,150.69,48897.43,48897.43,4948.59,4948.59,17.92,17.92,41.33,41.33,-74.6,-83.7,-79.15,-79.15,4.39,4.39,20.03,NA,1.224908085,NA,2.435900815,0.39
Phi_var,Philodendron variifolium,Schott,Philodendron,Araceae,Alismatales,monocots,20120521,Greenhouse 2,Tropical house,climbing,pinnate,2.488546297,1.985236295,0.432796395,0.50762188,0.700374378,0.95268489,0.820048235,1.28547942,0.953829695,27.39,170.27,170.27,179.88,179.88,232.78,232.78,5380.5,5380.5,15.77,15.77,NA,132.0977784,-32.61,-91.55,-62.08,-62.08,0.8,0.8,2.26,NA,0.799116267,NA,1.855321757,0.32
Phy_pur,Phyllanthus purpusii,Brandegee,Phyllanthus,Phyllanthaceae,Malpighiales,rosids,762174,356?,Mexico/Central America,tree,pinnate,0,2.019411975,1.565002588,0,0.516073394,0.671248694,0,0.823088484,1.066154354,53.41,30.59,30.59,16.17,16.17,89.05,89.05,1366.71,1366.71,2.51,2.51,NA,25.76706399,-86.87,-83.78,-85.325,-85.325,6.26,6.26,4.14,NA,0.57650901,NA,1.502722016,0.34
Pit_vir,Pittosporum viridiflorum,Sims,Pittosporum,Pittosporaceae,Apiales,asterids,810591,141,Africa,tree,pinnate,5.099647765,0.143805536,0.080349251,0.680828585,0.967988319,0.988092256,0.754919658,3.271150224,1.53787134,101.35,342.17,342.17,154.37,154.37,1000.73,1000.73,4783.9,4783.9,3.53,3.53,2.3,2.3,10.85,-87.43,-38.29,-38.29,2.33,2.33,6.23,0.28,0.28,0.86,0.86,0.57
Pla_ori,Platanus orientalis,L.,Platanus,Platanaceae,Proteales,basal eudicots,701760216,701,Mediterranean,tree,palmate,4.349297314,0.51499622,0.136034337,0.665250124,0.985660909,0.993966467,0.615115452,1.621794195,0.179833744,90.88,349.36,349.36,46.33,46.33,1103.9,1103.9,12301.78,12301.78,5.01,5.01,1.03,1.03,-78.32,-71.55,-74.935,-74.935,3.48,3.48,5.85,NA,0.933878338,NA,2.416125642,0.32
Pol_cor,Rhinotropis cornuta,Kellogg,Rhinotropis,Polygalaceae,Fabales,rosids,910823,23B,California,shrub,pinnate,7.895085967,5.082773,0.800850457,0.586077855,0.750611778,0.94344409,0.784343204,0.963787892,4.068207046,64.43,106.45,106.45,79.55,79.55,701.9,701.9,4960.75,4960.75,NA,25.28600212,NA,50.24808565,-1.56,-65.79,-33.675,-33.675,3.32,3.32,2.06,NA,1.028647953,NA,2.807942476,0.43
Pol_cri,Pollia crispata,(R.Br.) Benth.,Pollia,Commelinaceae,Commelinales,monocots,20030330,513,Australasia,herb,parallel,2.082335661,0.207207675,0.051554091,0.653301976,0.872476748,0.913121828,1.991444622,2.329091715,2.355021556,58.79,225.92,225.92,94.12,94.12,2127.92,2127.92,3679.12,3679.12,15.35,15.35,241.16,241.16,73.74,272.13,172.935,172.935,5.54,5.54,2.13,NA,0.6425405,NA,2.483331746,0.35
Pol_vir,Persicaria virginiana,L.,Persicaria,Polygonaceae,Caryophyllales,rosids,840652,304,Eastern North America,herb,pinnate,5.090176038,0.378953049,0.055489155,0.660577997,0.985014144,0.998644148,0.724849008,0.877294005,0.88972818,33.03,145.69,145.69,168.42,168.42,676.66,676.66,5492.09,5492.09,NA,35.26354387,NA,118.6205718,-63,-72.36,-67.68,-67.68,5.85,5.85,0.66,NA,1.091730016,NA,2.915709183,0.35
Pro_hoo,Prosartes hookeri,Torr.,Prosartes,Liliaceae,Liliales,monocots,651083,21A,California,herb,parallel,4.696040216,2.228562708,0.091914246,0.688625298,0.861368651,1,0.82041825,1.060951716,0.843311038,40.78,13.87,13.87,11.93,11.93,155.74,155.74,1838.76,1838.76,7.01,7.01,NA,68.64582068,-66.9,-81.37,-74.135,-74.135,4.1,4.1,0.5,NA,1.040648058,NA,2.314355272,0.29
Pte_esc,Pteridium esculentum,(G. Forst.) Cockayne,Pteridium,Dennstaedtiaceae,Polypodiales,ferns,950197,513,Australasia,herb,pinnate,0,0,2.836005466,0,0,0.775019953,0,0,1.750055812,182.17,1294.39,1294.39,590.65,590.65,858.62,858.62,20955,20955,216.75,216.75,NA,216.417118,-64.22,-20.29,-42.255,-42.255,4.12,4.12,0.25,2.17,2.17,2.44,2.44,0.4
Puy_alp,Puya alpestris,(Poepp.) Gay,Puya,Bromeliaceae,Commelinales,monocots,560083,167,Desert of the Americas,herb,parallel,0.165939001,0,0,1,1,0,57.39958586,47.68046965,29.10639112,148.21,56.26,56.26,70.47,70.47,83.6,83.6,585.06,585.06,26.29,26.29,113.05,113.05,-57.14,-75.93,-66.535,-66.535,0.72,0.72,0.8,NA,0.771317004,NA,2.022656106,0.21
Qui_sap,Quillaja saponaria,Molina,Quillaja,Quillajaceae,Fabales,rosids,361419,611,South-America,tree,pinnate,4.654332057,0.121303691,0.038789484,0.74103879,0.964012576,1,0.844497142,0.442787969,0.443772954,159.71,329.92,329.92,95.11,95.11,400.51,400.51,2995.29,2995.29,8.62,8.62,7.75,7.75,-72.2,38.52,-16.84,-16.84,6.17,6.17,1.22,NA,0.756389044,NA,1.930613086,0.64
Ran_lae,Randia laetevirens,Standl.,Randia,Rubiaceae,Gentianales,asterids,910152,371,Mexico/Central America,tree,pinnate,2.820048987,1.111846237,0.311753571,0.726947543,0.872067038,0.911287876,0.694974922,1.00099652,0.928007267,72.89,80.74,80.74,108.72,108.72,365.54,365.54,3832.33,3832.33,15.23,15.23,NA,152.1776389,-49.67,137.42,43.875,43.875,5.53,5.53,1.41,NA,1.085634335,NA,2.753534961,0.64
Res_lut,Reseda luteola,L.,Reseda,Resedaceae,Brassicales,rosids,990665,425,Herb Garden,herb,pinnate,4.331420626,0.67691101,0.207009144,0.658674578,0.970008604,1,1.144048883,12.45043592,10.52806051,60.47,53.33,53.33,93.46,93.46,428.56,428.56,3094.59,3094.59,26.02,26.02,NA,141.2851531,-91.9,-93.48,-92.69,-92.69,2.76,2.76,2.14,NA,1.071469136,NA,2.531707847,0.38
Rha_pir,Rhamnus pirifolia,Greene,Rhamnus,Rhamnaceae,Rosales,rosids,671218,29,California,shrub,pinnate,3.919690617,0.610158659,0.079083756,0.650479056,0.985029024,0.987593516,0.873196666,2.135379435,0.695664992,138.02,155.68,155.68,265.85,265.85,35358.86,35358.86,4178.95,4178.95,0.67,0.67,6.85,6.85,-33.86,-22.83,-28.345,-28.345,3.69,3.69,4.77,NA,0.790901233,NA,2.960963346,0.48
Rib_vib,Ribes viburnifolium,A. Gray,Ribes,Grossulariaceae,Saxifragales,basal eudicots,851431,9,California,shrub,pinnate,0,3.536235716,1.831337188,0,0.723699117,0.857009881,0,1.086387252,1.210742834,109.12,176.16,176.16,116.43,116.43,657.85,657.85,3056.75,3056.75,1.22,1.22,NA,50.95552875,10.89,9.06,9.975,9.975,6.64,6.64,1.82,NA,0.642826822,NA,2.433267874,0.29
Rom_cou,Romneya coulteri,Harv.,Romneya,Papaveraceae,Ranunculales,basal eudicots,501640,12A,California,shrub,pinnate,1.605728421,0.128745914,0.039050575,0.729497381,0.984211325,0.995128655,0.966322637,0.262836679,0.256153809,162.72,3.44,3.44,145.31,145.31,328.25,328.25,1077.33,1077.33,NA,96.14294586,NA,140.7154157,-74.46,-65.36,-69.91,-69.91,2.71,2.71,5.3,NA,1.12478737,NA,2.937802009,0.27
Rub_odo,Rubus odoratus,L.,Rubus,Rosaceae,Rosales,rosids,760803,304,Eastern North America,shrub,palmate,3.431945403,0.558162113,0.05101354,0.773465958,0.934138741,1,0.599674669,0.821133485,0.173909815,57.59,93.04,93.04,23.49,23.49,255.1,255.1,2452.56,2452.56,NA,22.09295768,NA,29.50878281,-92.44,-89.13,-90.785,-90.785,6.35,6.35,3.37,NA,0.562163796,NA,1.917314448,0.41
Rub_tin,Rubia tinctorum,L.,Rubia,Rubiaceae,Gentianales,asterids,730744,425,Herb Garden,herb,pinnate,7.115784808,4.615899443,0.148356036,0.602568064,0.848606812,0.982846469,0.719046754,0.951029427,2.332018177,76.49,171.85,171.85,64.78,64.78,923.55,923.55,4786.41,4786.41,49.57,49.57,NA,98.89296996,-85.4,-95.57,-90.485,-90.485,3.68,3.68,9.51,NA,1.297826968,NA,2.557002949,0.31
Sag_lat,Sagittaria latifolia,Willd.,Sagittaria,Alismataceae,Alismatales,monocots,82209,404,Herb Garden,aquatic,palmate,1.818127863,0.076833016,0.025105373,0.708659424,0.978228797,0.996750191,1.999759134,0.712008388,0.712041838,75.24,111.91,111.91,29.46,29.46,345.07,345.07,3711.65,3711.65,5.6,5.6,NA,36.90348896,-77.68,-90.96,-84.32,-84.32,2.94,2.94,5.78,NA,0.619750683,NA,1.62344354,0.09
Sal_sco,Salix scouleriana,Barratt ex Hook.,Salix,Salicaceae,Malpighiales,rosids,770174,4,California,tree,pinnate,2.267827542,0.145882906,0.060087593,0.698688756,1,1,0.798893179,0.89104691,0.890652489,108.68,205.99,205.99,89.07,89.07,869.44,869.44,5070.25,5070.25,4.73,4.73,27.73,27.73,-85.97,-88.54,-87.255,-87.255,5.58,5.58,1.7,NA,0.878316104,NA,2.17971143,0.31
Sam_nig,Sambucus nigra,L.,Sambucus,Adoxaceae,Dipsacales,asterids,710153,29,California,tree,pinnate,5.279101082,2.171601163,0.049413784,0.693070111,0.901552242,1,0.7529449,1.320196789,0.703533549,69.25,191.61,191.61,137.4,137.4,26624.59,26624.59,5343.66,5343.66,2.11,2.11,NA,81.59788038,-96.44,-87.71,-92.075,-92.075,6.9,6.9,3.96,NA,0.719388103,NA,3.35589956,0.34
Sau_cer,Saururus cernuus,L.,Saururus,Saururaceae,Piperales,basal angiosperms,780467,302,Eastern North America,herb,palmate,1.710773445,0.281656724,0.076083552,0.814551973,0.952516672,0.983240436,0.923309596,0.556774879,0.566435684,35.1,109.74,109.74,117.07,117.07,215.7,215.7,4786.46,4786.46,1.37,1.37,NA,28.13752096,-98.62,-91.74,-95.18,-95.18,6.38,6.38,2.28,NA,0.382201752,NA,1.456842586,0.3
Sau_mad,Saurauia madrensis,B.T. Keller & Breedlove,Saurauia,Actinidiaceae,Ericales,asterids,900440,356?,Mexico/Central America,tree,pinnate,2.739172716,0.414682765,0.146099361,0.680563315,0.938170126,0.984098973,0.673591604,0.993800589,1.752689435,59.97,23.28,23.28,4.44,4.44,194.13,194.13,523.48,523.48,0.69,0.69,NA,44.33574144,-97.55,-96.25,-96.9,-96.9,1.18,1.18,0.38,NA,0.932375664,NA,2.752635712,0.25
Sch_pol,Schinus polygama,(Cav.) Cabrera,Schinus,Anacardiaceae,Sapindales,rosids,600498,601,South-America,tree,pinnate,9.861369609,9.247887821,5.449912615,0.617635579,0.675913759,0.825865169,1.256840123,0.913755841,1.262071084,193.36,123.33,123.33,117.86,117.86,789.5,789.5,2975.2,2975.2,NA,105.4989486,NA,131.3414103,-98.34,-97.98,-98.16,-98.16,6.8,6.8,17.25,NA,0.830943361,NA,2.050697649,0.27
Sim_chi,Simmondsia chinensis,(Link) C.K. Schneid.,Simmondsia,Simmondsiaceae,Caryophyllales,rosids,610369,24,California,shrub,pinnate,4.071092134,1.063833907,0.332921182,0.705453449,0.885298677,0.983771858,0.945885281,1.146233122,1.580111077,185.81,160.98,160.98,35.24,35.24,1594.13,1594.13,4039.71,4039.71,4.5,4.5,7.81,7.81,-89.68,-93.79,-91.735,-91.735,3.95,3.95,1.14,1.29,1.29,2.67,2.67,0.78
Smi_his,Smilax tamnoides,Muhl. ex Torr.,Smilax,Smilacaceae,Liliales,monocots,850648,304,Eastern North America,herb,palmate,2.71644771,1.298792466,0.057064485,0.712442728,0.834393495,0.996929089,0.755174316,0.875616159,0.289305339,35.48,192.71,192.71,258.66,258.66,354.04,354.04,6619.92,6619.92,5.56,5.56,26.25,26.25,-88.65,-41.28,-64.965,-64.965,1.87,1.87,1.67,0.44,0.44,1.35,1.35,0.37
Sol_lig,Solanum ligustrinum,G. Lodd.,Solanum,Solanaceae,Solanales,asterids,830264,608,South-America,tree,pinnate,1.37798484,0.539507019,0.096032268,0.746539855,0.899944349,0.985390581,0.973451559,1.373521093,1.784202223,125.29,39.19,39.19,27.15,27.15,295.75,295.75,993.57,993.57,2.49,2.49,10.35,10.35,-32.39,-66.49,-49.44,-49.44,3.37,3.37,10.68,NA,0.641505263,NA,1.698231249,0.38
Sta_chi,Stachyurus chinensis,Franch.,Stachyurus,Stachyuraceae,Crossosomatales,rosids,801160,219,Asia,tree,pinnate,2.702898558,0.764196198,0.091225299,0.779596856,0.942668954,0.996742079,0.74785636,0.504427701,0.502964087,57.69,151.39,151.39,51.36,51.36,356.33,356.33,3553.27,3553.27,0.88,0.88,NA,19.62858474,-92.64,-97.02,-94.83,-94.83,4.33,4.33,0.99,NA,0.563434403,NA,1.53464072,0.3
