functional_trait,pairwise_interaction,H_statistic
Dkleaf_mean,VD_small:VD_medium,0.088454917
SWS_M,MST_medium:MST_small,0.08794388
SWP_L,MST_medium:ER_large,0.086942312
SWS_M,MST_small:MST_medium,0.086619048
e_W,MST_small:ER_large,0.086617767
e_L,ER_medium:MST_large,0.08570507
SWP_M,MST_large:VD_medium,0.085015518
SWP_L,clade2:ER_large,0.084903297
Phe,clade2:VD_large,0.084199496
SWP_M,VD_medium:MST_large,0.084110341
e_W,MST_medium:ER_large,0.082587319
e_L,clade2:MST_large,0.080103564
SWP_M,VD_large:MST_large,0.079929543
SWS_M,ER_medium:MST_medium,0.079391077
SWS_L,VD_medium:ER_large,0.078585692
SWS_L,MST_large:MST_small,0.078341236
LMA,clade2:VD_small,0.078252703
SWP_M,clade2:MST_large,0.077754391
SWS_L,MST_small:VD_medium,0.075636422
e_W,MST_large:ER_large,0.07247258
SWS_M,VD_small:MST_small,0.071456401
P50,clade2:VD_large,0.068946367
P50,VD_large:VD_small,0.068062768
P88,clade2:ER_large,0.067153574
P88,MST_large:ER_large,0.066678983
P50,VD_small:VD_large,0.066534275
P88,ER_medium:VD_medium,0.06575209
P88,VD_medium:VD_small,0.065479716
P50,VD_medium:VD_small,0.064661828
P88,MST_medium:VD_medium,0.06339379
SWP_M,MST_small:MST_large,0.063118478
SWP_M,ER_medium:ER_large,0.063016328
Kleaf_max,MST_large:VD_medium,0.060537498
e_W,clade2:ER_large,0.060321042
Phe,MST_small:VD_small,0.059066121
e_W,VD_medium:MST_medium,0.0585336
Dkleaf_mean,ER_small:ER_medium,0.058485087
Kleaf_max,ER_medium:ER_large,0.058213567
LMA,clade2:MST_medium,0.057547673
SWS_L,ER_small:VD_medium,0.057351052
P50,MST_large:VD_large,0.057042151
P88,VD_large:ER_large,0.055085774
SWP_L,VD_large:ER_medium,0.054358615
e_L,VD_medium:ER_large,0.054217034
Kleaf_max,MST_medium:ER_large,0.054033386
SWS_M,ER_small:MST_large,0.053063852
e_W,VD_small:ER_large,0.051740126
Kleaf_max,ER_small:ER_large,0.050721999
Phe,VD_small:MST_medium,0.050514481
e_W,ER_small:ER_large,0.050116758
e_W,ER_medium:MST_medium,0.050106221
SWS_L,VD_medium:MST_small,0.05001143
SWS_L,ER_large:VD_medium,0.049650739
Phe,ER_large:MST_medium,0.049635536
Phe,ER_small:MST_medium,0.048592081
Phe,MST_medium:VD_small,0.048171576
P88,clade2:VD_small,0.047379249
e_W,MST_small:MST_medium,0.047084316
Phe,VD_medium:VD_small,0.046826666
SWP_L,MST_small:VD_medium,0.046512973
e_W,ER_large:MST_medium,0.046426165
e_L,ER_medium:ER_large,0.046123907
SWS_M,VD_small:MST_large,0.045414505
P88,MST_large:VD_medium,0.044715526
P88,ER_medium:ER_large,0.044483119
SWP_M,VD_large:VD_medium,0.044163438
Dkleaf_mean,MST_small:ER_medium,0.04414651
SWS_L,ER_large:MST_small,0.043948399
P50,ER_small:VD_small,0.043236433
e_W,VD_medium:ER_large,0.042320377
P88,MST_small:VD_medium,0.040398728
e_W,ER_large:VD_small,0.040270194
Kleaf_max,MST_small:ER_large,0.040245573
SWP_L,ER_small:ER_medium,0.039163916
Phe,VD_large:VD_small,0.037003607
Phe,VD_small:VD_large,0.036237344
P88,VD_large:VD_medium,0.036111829
SWP_L,VD_small:ER_large,0.03544364
Dkleaf_mean,VD_large:MST_medium,0.034300786
Kleaf_max,clade2:ER_large,0.034204315
SWS_L,MST_small:ER_large,0.034076802
Phe,ER_small:VD_small,0.033804978
Kleaf_max,MST_medium:VD_small,0.033452113
P50,clade2:MST_small,0.032948551
P88,VD_small:ER_large,0.032582508
P50,ER_medium:VD_large,0.031550974
e_W,VD_large:VD_small,0.031514443
Dkleaf_mean,ER_large:ER_medium,0.031181718
Dkleaf_mean,VD_large:ER_medium,0.031159331
P88,ER_large:VD_small,0.031023022
Kleaf_max,MST_small:VD_small,0.03090388
P50,ER_large:VD_large,0.029186236
e_L,ER_medium:VD_small,0.02845626
P50,VD_medium:VD_large,0.027760796
e_L,MST_small:VD_small,0.026039119
SWP_M,ER_large:VD_medium,0.024544433
LMA,clade2:ER_medium,0.023577332
e_W,MST_small:VD_small,0.022552909
e_W,ER_medium:ER_large,0.021873854
SWP_L,MST_large:ER_medium,0.021794227
Kleaf_max,VD_large:ER_large,0.021774144
e_W,ER_small:MST_medium,0.021315815
e_W,clade2:VD_small,0.020361736
SWP_L,MST_small:ER_medium,0.02033663
SWP_L,MST_large:ER_large,0.019471984
