"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-1.1673	-0.1798	0.1059	-0.6366	0.6619	-0.3972	-0.2289	-1.5288	-0.9662	0.425	-1.1587	-1.1512	0.5484	0.9184
1.4653	-1.3612	-1.1333	-0.4684	-1.1965	0.2977	0.6728	-0.0464	0.5645	-0.1181	-0.5276	-0.6726	1.0498	0.3659
0.8697	1.6601	-0.0228	1.1074	0.5375	-0.1256	-0.2942	-0.0791	-0.1034	-1.1744	-0.0242	0.4312	0.9406	-0.2662
-2.4756	-0.441	-0.1273	-1.9105	-2.3158	1.4373	1.1962	-2.1118	-1.8015	1.887	-2.9673	-3.9199	-0.7775	-1.8184
0.0227	0.0861	-0.3494	0.5031	1.1421	-1.6273	-1.0156	-9e-04	1.0826	1.2234	-1.4746	-0.5841	0.9197	-0.5605
0.4135	-3.4118	-0.4455	-0.9334	-0.2243	-0.1127	0.5327	0.6089	1.0563	1.7172	2.0611	1.6707	0.6678	2.0094
-0.2573	-1.6556	0.7509	0.0086	0.5041	-0.393	-0.5749	1.5462	0.6514	-0.7925	3.8813	3.649	0.0204	0.3146
-1.3697	0.1599	-0.1467	-0.0543	-0.369	0.1276	-1.5645	1.8277	-1.0681	-0.4256	1.6566	1.422	-1.6224	-0.402
0.4353	1.7378	0.0313	0.0131	0.421	-0.7624	-0.1199	-0.5431	0.4868	-1.2505	-3.6508	-3.1773	-1.9255	-0.2149
1.9414	0.6682	0.9889	1	0.4401	-1.1393	-2.0262	-1.1715	-2.1758	-1.0034	-0.6208	-1.0732	-2.8447	-2.3286
1.0609	0.7948	-0.6215	0.2419	0.3761	-0.8577	-0.9022	-0.3818	-0.3246	-0.5498	-2.4457	-2.1138	-1.0911	0.457
1.1908	2.9621	1.706	1.8776	0.5324	2.7616	2.2103	-0.2476	-0.8914	0.4252	2.9568	2.4653	0.2086	-0.7349
-1.6339	0.7936	-0.6546	-0.2914	-0.6798	-1.8187	-2.1847	-0.8897	-0.9852	-2.7298	-2.5547	-2.0132	0.5141	-0.9897
0.8787	0.2284	0.4875	0.9143	0.2918	-0.371	-0.7268	-1.2894	-1.3668	0.1141	0.7685	0.5955	0.7382	-0.9644
1.2351	1.7181	1.3839	0.7693	4.9282	0.0856	0.3391	1.2445	1.1146	0.6006	0.7657	1.4347	-1.2948	1.9369
0.4618	-0.1068	0.2464	-1.8951	0.4615	2.4029	2.0144	-0.4687	-0.8148	0.0636	-1.9099	-2.7369	-1.4176	-1.0825
1.0446	0.7736	0.2511	0.7345	0.697	-0.4405	0.3977	-0.425	0.8733	-0.0543	-0.6005	-0.2035	0.322	0.3272
0.0836	-0.3377	0.3883	0.7437	-1.7617	0.0458	0.3007	-0.4299	-0.255	-0.3247	1.995	1.5861	0.0665	0.7576
-2.0762	-0.4859	0.1289	-1.0297	0.216	0.5706	0.3928	0.0507	-0.0772	1.7305	-0.2723	-0.394	0.3616	-0.8572
-0.614	-1.0452	-1.1041	-1.1469	-0.8726	0.781	0.5255	0.3285	-0.294	-0.3062	0.0231	-0.2252	0.4473	2.5193
0.7049	1.0036	2.5893	0.2685	1.0381	2.5574	1.9393	0.297	-1.0342	-2.1692	4.3386	3.191	-1.6195	-0.092
0.7209	2.9455	-0.4824	1.4285	0.7976	0.3811	0.985	0.4222	1.4225	0.2728	-1.437	-0.3619	1.1719	0.9729
-0.5075	0.6855	0.6508	0.2201	1.0575	-0.4413	-0.386	1.0788	0.7085	0.1139	0.1176	0.3691	-1.9083	0.2301
-0.716	0.614	-0.9201	-0.7151	0.3538	-1.0985	-0.7801	0.7422	1.0799	-1.1823	-3.2143	-2.454	-0.9102	0.3639
-0.6665	0.3126	-0.4288	0.8396	1.1354	0.4087	0.3744	0.1689	0.3137	8.0123	-0.8593	-0.5279	-0.2853	0.0935
-1.1717	0.321	0.7989	-0.0878	0.2284	-0.7689	0.1465	0.1516	1.191	-0.9778	-0.1444	0.1504	-0.6473	0.3225
0.0074	-1.0564	0.5396	-0.0044	0.4281	-0.7569	-0.7779	0.551	0.217	-1.7031	2.2121	2.1396	0.2905	0.1454
0.2234	-0.3714	-0.0558	0.9531	-0.0604	-0.6789	-0.5857	2.0503	1.6181	-1.4749	3.2346	3.6861	1.2417	0.5518
1.1567	1.633	1.0782	1.3533	1.716	1.2891	0.7696	0.6688	-0.1726	-0.1298	2.8719	2.8659	0.5736	0.0401
1.3488	0.0452	0.1566	0.7863	0.3503	-0.077	-0.4135	-0.8355	-0.9273	1.3592	0.1405	-0.0263	0.1998	-1.1903
1.0183	0.9113	-0.6764	1.605	-0.6785	0.486	0.4062	0.9805	0.6054	1.6529	1.4107	1.7117	0.569	1.6174
-1.0527	1.4558	0.1929	0.8173	0.5026	-0.6841	-0.8098	-1.2884	-1.1291	0.5268	-0.5755	-0.221	0.6522	0.7647
0.9134	-2.3687	-2.8446	-2.1641	-2.6066	1.6806	1.649	1.0044	0.8809	0.2414	-2.0652	-2.4205	1.1087	1.142
0.7968	-1.4454	0.0598	-0.3094	-0.3855	0.4667	1.4823	1.0554	2.1246	-0.2661	1.7007	1.6287	0.9371	0.387
0.1623	1.2803	0.4476	0.6439	0.4173	-0.2351	-0.3773	0.4306	0.0852	-0.3127	-0.3065	-0.1334	-1.4676	-0.4066
1.534	-0.3033	-0.0762	0.1444	-0.0135	-0.5924	-0.8861	0.1504	-0.2284	-0.9246	-0.559	-0.6737	-1.0893	-1.3681
0.6849	1.3561	-0.8204	-0.4029	-0.2963	2.0172	1.9869	-0.8543	-0.3329	1.1108	-2.5821	-2.6304	0.8955	-0.2145
-1.3101	-1.9663	-2.5138	-1.714	-1.619	-0.5427	-1.0212	1.0047	0.2377	0.0922	-1.9421	-1.7005	0.9076	1.0264
-0.1116	0.5758	0.35	0.6016	0.0701	-0.2037	-0.4381	0.3742	-0.0839	-0.2549	0.8416	0.8885	-0.4307	-0.2244
-1.3962	-1.5817	-2.3941	-1.5821	-2.2282	-0.5582	-2.1499	2.2312	-0.4505	-0.8982	-1.6855	-1.6266	-1.3542	-0.311
-0.6863	1.7148	0.6777	-0.14	0.3108	-0.584	-0.2367	0.1733	0.5437	-1.183	-2.5893	-2.3184	-2.8341	-1.1003
0.5339	0.1242	0.4456	0.4623	0.4426	-1.0056	-0.8672	0.2585	0.136	0.0442	-0.2497	-0.2004	-2.1981	0.3351
0.0803	-0.3976	-0.1011	-0.4857	0.2817	-0.4776	-0.6655	-0.9666	-1.0017	1.1751	-1.9362	-2.1294	-1.3308	-0.412
0.9405	0.9134	0.7815	0.0978	0.3289	0.8464	1.3955	-1.3874	-0.5774	-0.0949	-0.838	-1.2039	-1.3266	1.5084
0.5245	0.9597	0.7404	-0.1675	1.8693	1.4156	0.9152	2.1393	1.0434	-2.062	1.8212	1.94	-0.0434	-0.887
-0.6346	-0.106	-0.5584	-0.113	-0.2755	-1.1718	-0.8457	0.6166	0.9328	-0.5233	-1.0827	-0.5697	-0.1357	0.127
0.6304	1.2994	0.5357	-0.1535	2.2084	1.4274	1.3401	2.3566	1.8187	-2.0474	1.2635	1.6887	0.3398	-0.3431
0.1947	-1.7753	-0.9227	0.0056	-0.1054	-1.2593	-1.2224	1.0495	0.9032	1.8113	0.2675	0.5739	0.2922	-0.0616
-1.0285	0.2702	0.038	-1.3108	-0.5713	0.8386	0.5768	-0.234	-0.5294	-0.9118	-1.8191	-2.1961	-1.2766	-0.8611
3.9623	-1.7383	-0.5238	-0.3234	1.0585	0.5939	0.2912	-0.6772	-0.608	0.7216	-0.5253	-0.9973	0.7164	-1.6653
-1.1903	0.2095	0.8189	0.9498	0.0056	-0.4033	-0.7679	0.7047	-0.285	0.6277	2.8726	2.7863	-0.7478	1.0031
0.5684	1.0078	1.206	0.2918	0.6303	1.7814	1.6432	-1.4115	-1.3482	-0.6984	1.6287	1.0264	0.7943	0.5554
-0.7338	0.75	0.5558	-1.2851	1.1111	1.0637	1.2075	-0.0709	0.1327	-0.2812	-2.0054	-2.1398	-1.5096	-0.3155
-0.4767	-0.9008	-1.4557	-1.3326	-0.8887	-0.8443	-0.3518	-1.0541	0.0321	0.9803	-4.3338	-4.1136	-0.2132	0.0794
-0.4782	-1.4527	-0.2212	-1.1614	-0.158	0.5033	-0.4557	-0.0059	-1.369	0.6951	-0.0273	-0.5712	-0.5497	-0.7328
-0.1893	1.0195	-0.3068	0.1607	-0.2144	0.3518	0.8203	-0.1892	0.4749	-0.4773	-0.7283	-0.4262	0.6141	1.4834
1.0287	-1.4679	0.2074	0.507	0.4558	0.6529	0.6577	0.5725	0.306	1.7902	3.5027	3.1652	1.1734	1.2846
0.9495	-1.4827	1.142	-0.153	0.3253	-0.5305	0.0996	0.2107	0.6531	-2.7066	2.4958	2.1366	-0.3547	0.6024
-0.1943	-0.0918	-1.3076	-0.3171	0.074	-1.3865	-2.0112	-1.9486	-1.9218	0.8927	-3.585	-3.2528	1.0586	-1.1023
-0.4	-0.4309	-0.5634	-1.2387	-0.8339	1.6697	0.875	0.1566	-0.6463	-0.4771	-0.3157	-0.7959	1.0582	-1.8033
1.9457	0.8259	0.4017	0.7522	0.1019	-0.0987	-0.5054	0.1517	0.8544	1.0437	-2.2996	-2.0311	1.0999	-10.2648
-0.2563	-0.1305	-0.2624	0.1057	-0.3808	-0.4162	-0.0247	0.6109	0.9392	1.0445	-0.4832	-0.273	-0.7142	0.3319
0.1058	-0.11	0.2812	0.4762	-0.0249	-0.2486	0.1019	0.3903	0.7642	0.0568	1.0858	1.2152	0.4281	-0.1206
0.4235	0.9353	0.3651	0.3741	0.0054	-0.0177	-0.1922	-1.8161	-1.7249	1.0987	-1.9672	-2.1605	-1.3076	0.0439
1.4854	-0.9887	0.9136	0.5584	1.4053	-0.0446	0.7389	0.4468	1.2447	0.3439	2.6998	2.6653	0.6016	0.8608
