"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-1.3258	-0.0599	-0.1877	-0.5421	0.571	-0.3334	-0.2641	-1.7605	-1.1729	0.3398	-0.9801	-0.9423	0.4494	0.8824
1.2441	3.7376	-1.3255	-0.2508	-1.3175	0.1719	0.7882	-0.1038	0.5125	-0.1966	-0.5424	-0.2133	0.9804	0.2685
1.0131	1.6657	0.1568	0.5719	0.5395	-0.1035	-0.4051	-0.0217	-0.1775	-1.126	-0.0359	0.4273	0.9864	-0.2234
-1.0224	-0.4439	-0.1325	-1.8947	-0.837	1.4385	1.5226	-2.1207	-1.7999	1.8838	-4.4126	-5.5404	-0.7858	-1.8173
0.0259	0.0352	-0.1762	0.8347	0.7665	-2.0065	-1.765	0.3839	0.7855	1.1464	-1.5146	-0.816	1.1069	-0.47
0.4192	-0.1246	-3.367	-0.9468	-0.2312	-0.1031	-1.5428	0.6075	1.0589	1.7205	-2.958	-1.9624	0.6604	2.0056
-0.2508	0.503	0.7311	0.0218	0.5103	-0.3765	1.4966	1.5055	0.6832	-0.8049	-2.1775	-2.4549	-8.5826	0.2984
-1.373	0.1474	-0.1449	-0.0274	-0.3455	0.1103	1.5271	-0.5064	-1.081	-0.4226	1.3825	0.2576	-2.0987	-0.4141
0.5218	3.9066	0.0601	-0.1933	0.5446	-0.9101	0.073	-0.2399	0.3307	-1.1791	-3.047	-2.2927	-1.8452	-0.1699
1.9873	0.6015	0.8266	1.6954	0.5583	-1.1334	-1.9404	-1.3207	-2.1232	-1.0088	-0.786	-0.8277	4.8804	-2.3621
1.0453	0.7132	-0.6202	0.248	0.2471	-0.8058	-0.9744	-0.403	-0.3026	-0.5612	-1.669	-0.8948	-1.0927	2.1743
1.1991	-0.5707	3.0846	1.8357	0.5609	2.7019	2.3446	-0.2035	-0.9368	0.4446	4.4422	3.8501	0.2277	-0.7147
-1.6252	0.7983	-0.6475	-0.299	-0.6746	-1.8294	-0.0465	-0.8684	-0.369	0.3575	-0.5402	-1.1225	0.515	-0.9745
0.9487	0.2627	0.5414	0.8184	0.2817	-0.5608	-0.5935	-1.2332	-1.4569	0.1432	-1.4436	-1.4588	0.7959	-0.3066
1.2516	-3.5535	1.4396	0.7753	0.3125	0.0415	-1.0687	1.2785	1.0975	0.6152	0.8789	1.5317	-1.2644	1.9391
0.2787	0.0407	0.386	0.9111	0.328	2.2907	1.9864	-0.0424	-1.2217	0.1922	2.7795	1.8749	-0.2604	-0.9882
0.723	1.1216	-0.1188	0.9729	0.3635	-0.3253	-0.0229	-0.8458	-1.2381	-0.1029	-0.3654	-0.3853	0.0282	0.1665
-0.019	-0.3799	0.5392	0.8835	0.4408	0.0337	0.3336	-0.139	-0.5492	-0.2786	1.815	1.6811	-0.8156	0.7804
