"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-1.2674	0.2166	-0.2918	-0.7565	0.5587	-0.4548	-0.445	-1.8237	-0.7892	0.3314	-0.933	-0.9149	0.3811	1.0886
1.3487	-1.214	-1.2328	-0.4255	-1.3846	0.0421	0.8961	-0.0075	0.6968	-0.1962	-0.5451	-0.2212	1.0284	0.3616
1.0596	1.1226	-0.116	0.72	0.9611	0.2471	-0.5037	-0.121	0.0018	-1.0763	-0.0149	0.3694	0.9801	-0.2781
-1.0042	-0.5217	-0.1402	-1.8909	-2.2222	1.4698	0.4416	-2.1334	-1.8078	6.0872	-5.5626	-6.5588	-0.7756	-1.8309
0.0343	-0.3565	0.1332	0.7926	-0.1629	-1.5861	-0.9394	0.2256	0.8995	1.0972	-1.3582	-0.9189	1.0747	-0.4369
0.4235	-0.1196	-0.4489	0.4603	-0.2234	-0.1004	-0.3507	0.6009	1.0523	1.7255	0.0166	0.7712	0.6572	1.9989
-0.2577	0.5265	0.7584	-0.0039	0.4853	-0.3876	-1.2387	1.5534	0.6422	-0.7992	-2.2485	-2.2881	0.0319	-3.7707
1.3209	0.119	-0.1545	-0.0184	-0.3264	0.1178	-0.6112	-0.5029	-1.0805	-0.424	-1.0446	-1.2744	-1.6264	-0.4104
0.4311	0.0789	0.074	0.0276	0.0303	-0.6802	-0.1867	-0.5885	0.5362	-1.2652	0.8133	1.1957	-1.9087	-0.2073
1.9241	0.9168	0.865	1.662	0.3002	-1.2088	-2.0125	-1.209	-2.15	-1.0006	-0.6627	-1.367	-2.8915	-2.3176
1.0407	0.6937	-0.535	3.4054	0.1113	-0.7403	-1.0437	-0.4426	-0.252	-0.6005	8.0783	7.7615	-1.0728	0.4888
1.1908	1.8092	0.9817	1.8753	0.5341	2.7518	2.2909	-0.2484	-0.9013	0.426	4.5339	3.7735	0.2234	-0.7337
-1.6244	-1.2313	-0.6559	-0.3012	-0.6817	-1.8245	-1.3861	-0.8772	-0.9941	0.3605	-0.5141	-1.2661	0.5208	-0.966
0.9491	0.2436	0.5202	0.8436	0.3136	-0.5346	-0.618	-1.1841	-2.5297	0.1569	-2.18	-3.0546	0.7723	-0.3363
1.2155	0.3452	1.4691	0.8114	0.2648	0.7543	1.5865	1.3125	1.0644	0.6008	0.8181	1.3694	-1.2629	1.9474
0.4018	1.2494	0.5674	0.9932	0.0852	2.4198	1.9581	-0.4663	-0.8555	-0.174	5.0411	4.1564	-1.3096	-1.0217
0.9538	1.1494	-0.126	0.6067	0.5436	-0.7992	0.5873	-5.1166	-1.4209	-0.1401	-0.3902	-0.1957	0.195	0.271
0.0325	-0.2074	0.5892	0.8926	0.2282	-0.03	0.375	1.044	-0.3556	-0.4075	1.9411	1.5193	0.143	0.8268
-2.0831	-0.4827	1.3859	-1.0224	0.2062	0.5688	2.5842	0.0392	-0.0709	-0.7832	0.752	-0.0297	0.3655	-0.8442
-0.6061	-1.0453	-1.1026	-0.268	-0.8572	0.7022	0.9279	0.3402	-0.299	-0.3085	3.5345	2.9774	0.4557	1.3926
0.5947	1.1691	0.9715	0.3902	0.8028	2.4671	2.0835	0.3055	-1.256	-2.2359	4.1863	3.2936	-1.6389	-0.0863
0.7104	0.975	-0.4803	1.4257	0.1865	0.3764	-0.6705	0.4186	1.4302	0.269	4.6766	5.4392	-1.7646	0.9607
-0.5676	0.5862	0.6157	0.3892	0.5113	-0.3848	-0.4189	-0.0836	0.6982	0.0824	1.6024	1.943	-1.8925	0.2149
-0.616	0.1449	-1.277	-0.4067	0.2332	-0.6263	-1.8889	0.4712	1.3698	-1.0764	1.6524	2.4736	-1.1006	0.282
-0.6059	0.4951	-0.5381	0.6325	1.1447	0.2009	0.473	0.1783	0.3033	0.1057	-0.7486	-0.5575	6.503	0.0717
-1.2077	0.148	0.8226	-0.013	0.2842	-0.6673	0.1315	0.4163	1.2186	-1.0132	0.8926	0.91	-0.6587	-2.6639
0.0301	-0.2609	0.544	0.0135	0.4996	-0.6931	0.2917	0.5354	0.2748	-1.6896	-0.2549	-0.1548	0.2905	0.1339
