"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-2.4794	0.0275	-0.4661	-0.6528	0.7827	-0.1149	0.5329	-1.7531	-0.8423	0.4473	-0.9256	-0.9795	0.3442	0.7985
1.3712	-1.3306	-1.3123	-0.3406	-0.8931	0.3242	0.7641	-0.0635	0.6043	-0.1565	-0.3654	-0.4175	1.0567	0.2834
1.0354	1.5783	0.2092	0.5112	0.6784	-0.1458	-0.3524	0.0142	-0.1328	-1.1171	-0.1178	0.4602	0.9833	-0.2048
-1.025	-0.4636	-0.1425	-1.8705	-1.4102	1.4652	0.6258	-2.1251	-1.7959	1.8705	3.7639	1.5768	-0.7753	-1.8145
-0.051	0.0801	-0.0472	0.7757	0.3991	-1.0096	-0.5269	0.4228	0.6694	1.1161	-1.6237	-0.544	1.1696	-0.5051
0.4121	-0.1191	-0.4627	-0.9186	-1.4246	-0.0831	-0.4762	0.5998	1.067	1.7214	-1.2592	-1.3602	0.6573	2.0073
-0.2599	0.5174	0.76	0.017	0.274	-0.3848	-0.4763	1.5534	0.6448	-0.7987	-1.7677	-1.219	0.0322	0.3089
-1.3736	0.1517	-0.1522	-0.0386	-0.3297	-1.8924	-3.2361	-0.5015	-1.0828	-0.4119	-2.3127	-2.6868	-1.6272	-0.4183
0.3376	0.1902	-0.0141	0.2095	0.2517	-0.7243	-0.1002	-0.5532	0.5106	-1.2962	0.343	0.6413	-1.9046	-5.7914
1.916	0.6291	0.8859	1.7914	0.5031	-0.9673	-2.1308	-1.3323	-2.0619	-3.6096	-0.7036	-0.9393	-2.9061	-2.3552
1.0387	2.021	-0.6246	0.2408	0.2368	0.3338	-0.9869	-0.419	-0.2726	-0.5567	5.2746	4.4375	-1.0992	0.4696
1.225	-0.8167	1.7094	1.859	0.551	2.7414	2.3087	-0.2457	-0.9097	0.4301	11.2403	9.0971	-5.5006	-0.7194
-1.6274	0.7792	-0.6539	-0.306	-0.6648	-3.5695	-5.0412	-0.8636	-1.0042	0.3613	-6.9883	-6.3634	0.5193	-0.9648
0.8588	0.3012	0.5567	0.9376	0.1364	-0.4809	-0.8645	-1.2058	-1.449	0.1158	-1.7464	-1.452	0.8079	-0.3176
1.2238	1.404	1.439	1.143	0.2667	0.0801	-0.3027	1.309	1.0742	0.5985	0.8278	1.3535	-1.2662	1.9645
0.4474	-0.1265	0.2852	0.263	0.4954	2.2827	2.1204	-0.3793	-0.8845	0.0504	8.1527	6.6272	-1.3655	-1.1052
-1.1845	0.6292	0.1839	0.3118	1.0645	-0.2419	0.0258	-1.0122	-0.8548	-0.1326	-0.3767	-0.1047	0.3204	0.2126
0.0741	-0.4674	0.3793	0.9293	0.6601	0.3307	0.2619	0.8229	-0.3543	-0.2695	1.7309	1.6879	0.0197	0.7367
-2.0978	-0.4863	0.1157	-1.0072	0.2075	-0.6482	-0.0358	0.06	-0.0694	-0.7805	-3.9923	-3.6138	0.3668	-0.8605
-0.6269	-1.041	-1.1026	-1.1205	-0.8913	-0.3573	-0.815	0.3308	-0.3016	-0.3051	-2.2114	-2.5951	1.3835	1.3936
0.64	0.9716	2.3737	0.3828	1.0404	2.4257	2.1652	0.3128	-1.3364	-2.1827	4.1015	3.1807	-1.6916	-0.1152
0.7282	-0.8531	-0.4846	1.3986	0.2039	-2.1038	-0.9949	0.4238	1.4185	0.2738	-6.2694	-4.1899	1.1678	0.9641
-0.7369	0.696	0.624	0.5752	0.8526	-0.3079	0.2796	-0.1475	0.7484	0.0383	0.0569	0.5513	-1.8905	0.2507
-0.6893	0.4154	-1.1931	-0.6314	0.1221	-0.8515	-0.4371	-0.1844	1.2364	-1.1994	-1.3677	-1.029	-1.0581	0.3251
-0.7318	0.2675	-0.4304	0.9039	1.0872	0.3375	0.4053	0.0507	0.3905	-0.0336	-0.8322	-0.5005	-0.2655	10.5526
-1.1758	0.2445	0.7727	-0.0966	0.3358	-0.7425	0.1533	0.4627	1.2085	0.3662	-3.6403	-2.6228	-0.6685	0.3195
-0.0768	-0.1225	0.5202	0.2248	0.2465	-1.1695	-0.7561	0.5437	0.2551	-1.7464	-5.8155	-4.6875	0.3165	0.1491
0.4916	-0.3812	-0.0665	-0.1613	-0.0666	-0.663	-0.0103	2.0572	1.6134	-1.473	-4.3184	-3.1057	1.2431	0.5431
0.505	1.7208	1.1959	1.2482	1.6185	1.2343	0.7116	1.7322	-0.2276	-0.116	6.206	6.1433	0.6236	0.0711
1.1165	0.006	-0.0382	1.1989	0.1624	0.0652	-0.163	-0.9155	-0.7504	1.2302	2.7729	2.6409	0.1674	-1.2331
1.0668	0.0471	-0.6879	1.5657	-0.6055	0.475	-0.8742	0.962	0.6012	6.1071	9.6184	8.7349	0.5525	1.6248
-0.882	1.4635	0.1789	0.4757	0.7355	-0.8479	-1.5029	-1.1354	-1.1877	0.6714	-0.4994	-0.279	0.6256	0.7694
0.912	-2.3664	-2.8561	-2.1578	-2.6256	1.1685	0.9579	-0.192	0.8687	1.6626	2.6468	1.0391	1.1076	1.152
0.795	0.4275	0.0528	-0.3053	-0.3694	0.4731	-0.624	4.9245	2.1323	-0.2539	4.0496	3.8877	0.9219	0.3928
0.2803	1.3855	0.4508	0.3935	0.3893	-0.375	-0.3442	-1.1751	0.0465	-0.2741	-0.3208	-0.0369	-1.4936	-0.4086
-0.6227	-0.3483	-0.0653	0.0133	0.1263	-0.5426	-0.6384	0.0987	-0.1552	-0.8928	-0.299	-0.433	-1.1339	-1.3577
0.6739	1.3622	-0.8116	-0.3888	-0.3073	0.5183	-0.317	-0.8598	-0.3288	1.0969	3.2862	2.6722	0.9179	1.0238
-1.3284	-1.9651	-2.5791	-1.9398	-1.6167	-0.5291	-1.4717	1.0121	0.2385	0.0963	0.2452	-0.9813	0.9096	1.0247
-0.0072	0.7058	0.3857	0.4601	0.3177	-0.2857	-0.8831	0.5196	-0.1522	-0.1165	1.1842	1.1336	-0.5188	-0.2367
-1.4159	-1.6075	-2.4126	-1.5262	-1.8368	-0.5314	-3.9013	-1.863	-3.8694	-0.9037	3.8815	0.4331	-1.3425	-0.3135
-0.6938	0.4136	0.6841	-0.1329	0.3274	-0.5807	-0.373	0.1633	0.5426	-1.9489	-1.7697	-1.6049	-2.8402	-1.1028
0.4635	0.2803	0.2355	0.5634	-0.0822	-0.5642	-0.9668	0.3109	0.1619	0.1281	-0.3501	-0.1681	-0.6032	0.2433
0.0815	-0.3891	-0.1018	-0.475	-1.3125	-0.4607	-1.5175	-0.9701	-0.9986	1.1827	-0.8143	-1.6004	-0.4475	-0.4085
0.7532	0.8127	2.5543	0.6154	-0.0556	1.11	1.3826	-1.2402	-0.6111	1.5975	-1.1802	-1.0449	-1.1307	1.531
0.2679	0.8152	0.6863	-0.2815	1.0372	1.2806	2.2054	1.716	1.2864	-2.1801	1.8054	2.2	-0.0709	-0.9407
-0.6104	-0.1121	-0.427	-0.3954	-0.2568	-1.3802	-1.0683	0.549	1.0878	-0.5117	-4.2754	-3.4624	-0.0767	0.1299
0.4331	1.6518	0.5641	0.1408	1.8336	1.5961	2.8202	2.2709	1.9732	-2.0851	3.9489	4.71	0.4124	-0.3388
0.0482	-1.5768	-0.8391	0.2105	-0.5137	-1.2419	-0.8115	1.0935	0.9458	0.356	-3.4169	-2.614	1.1742	-0.0145
-1.038	0.2637	0.041	-1.3106	-0.273	0.839	0.3131	-0.2389	-0.5381	-0.902	2.3147	1.0757	-1.4752	-0.8542
