"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
-1.0912	-0.2507	-0.0955	-0.7821	0.6986	-0.5309	2.3562	0.0933	-0.6955	0.2599	-0.7451	-1.0445	0.4814	0.6632
-2.556	-1.2516	-1.1809	-0.7641	-1.1594	-0.1711	0.8383	-0.0627	0.4396	-0.1542	-0.177	-0.4403	1.0777	0.2679
0.8915	1.6992	0.1248	0.8168	0.5157	0.0455	-0.4003	0.007	-0.0495	-1.152	0.0158	0.2619	0.9618	-0.1991
-1.0253	-0.4392	-0.1281	-1.8918	-2.3161	1.4347	3.3666	-2.1199	-1.8188	1.8672	-4.5523	-5.3721	4.9654	-1.8144
0.1508	0.0316	-0.1946	0.6382	0.8149	-2.0585	-0.5474	0.4852	1.6258	1.2588	-1.498	-0.7832	1.0321	-0.4598
0.421	-2.2103	-0.4542	-0.9401	-0.2358	-0.1042	-0.482	0.6039	1.0663	1.7224	-0.0273	-0.0837	0.6522	2.002
-0.2536	0.5283	0.7446	-0.0035	0.5019	-0.3784	0.8984	1.5322	0.6647	-0.7876	1.2783	1.3392	0.0187	3.8983
-1.3746	0.1473	-0.1422	-0.0245	-0.336	0.1074	0.6565	-0.4998	-1.0918	-1.2543	0.7147	0.3652	-1.6187	-0.4034
0.438	-0.0304	0.1596	0.1081	5.3557	-0.7961	-0.1719	-0.4545	0.4162	-1.3528	0.093	0.9686	-1.8453	-0.2601
1.8378	1.2085	0.5008	1.4173	0.4582	-0.9675	-1.5219	-1.6829	-1.8865	-0.6332	-0.7933	-0.7675	-3.0668	-2.1823
1.0173	1.5038	-0.597	0.2369	0.2558	-6.4086	-1.0114	-0.3824	-0.3248	-0.5433	-9.6388	-8.8135	-1.0748	0.4749
1.1886	2.7579	1.722	1.8652	0.5545	2.7532	2.2672	1.8366	-0.9213	0.4283	7.6339	7.0486	0.224	-0.7245
-1.6323	0.7926	-0.6536	-0.3077	-0.6824	-1.8261	1.2843	-0.8706	-0.9848	-0.9304	-3.8239	-3.8987	0.5202	-0.9695
1.0097	0.1551	0.6026	0.883	0.2133	-0.5509	-0.5541	-1.1832	-1.4264	0.0572	0.4869	0.2842	-2.4267	-0.3438
1.2801	0.4226	1.5336	0.5651	0.2337	-0.0681	-0.9467	1.2187	1.1126	0.5452	0.9935	1.4003	-1.2134	1.9222
-2.1215	-0.2393	0.356	0.9771	0.4782	2.1434	2.18	-0.2238	-1.0573	-0.021	7.2039	6.4274	-1.3434	-1.1656
1.0717	0.871	-0.0915	0.6164	0.8125	-0.8455	0.7624	-0.5679	-1.3787	-0.1287	-0.1653	-0.4198	0.2067	0.1912
-0.4317	-0.0764	0.2086	0.6609	0.5004	0.0028	0.4716	-0.528	-0.2425	-0.1606	1.8361	1.7085	-0.0343	0.8484
-2.0867	-0.4827	0.1184	-1.0246	0.2245	0.5812	1.0212	0.0386	-0.0642	-0.7646	-0.2655	-0.2735	-1.3437	-0.8577
-1.4663	-1.0423	-1.0956	-1.1312	-0.8828	-0.5038	1.0828	0.3279	-0.3006	-0.3255	-0.5658	-1.0026	0.4574	1.3894
0.5848	0.8985	2.4861	-5.3085	1.1221	2.556	1.9603	0.3382	-1.3497	-2.202	-10.3392	-9.8889	-1.6071	-0.1285
0.7162	-0.2052	-0.4818	1.4262	-1.231	0.3819	-2.2052	0.4034	1.436	0.2824	3.2707	3.3867	1.1765	0.9615
-0.5904	0.3567	0.7922	0.5515	0.9777	-1.3977	-0.3653	0.0434	0.639	-0.3324	-0.6718	-0.1047	-1.8885	0.0782
-0.7163	0.1131	-0.9466	-0.3385	-0.0527	-0.8704	-1.2015	0.8945	1.0598	-1.4907	-1.315	-0.9126	-0.419	0.2689
-0.6992	0.3251	-0.5268	0.8431	1.175	-2.7691	0.412	0.1131	0.3254	0.0681	-0.8409	-0.5149	-0.3266	0.0699
-1.2851	0.8244	0.7872	-0.0573	0.292	-0.7897	0.1169	0.5449	1.032	-0.9625	-1.5632	-0.9554	-0.637	0.3232
0.1028	-0.1979	0.5135	-0.0068	0.3722	5.9716	-0.7169	0.4721	0.3851	-1.7377	8.0373	7.6407	0.2635	0.12
0.2274	-0.3699	-0.0598	-0.1559	-0.0681	-0.6677	-3.251	2.048	1.6142	-1.4693	0.4495	1.083	-4.7055	0.5528
1.3467	1.5803	0.1566	1.2827	1.6252	1.3079	0.7673	1.6464	-0.0398	-0.2063	5.3718	5.1881	0.6258	0.043
1.3003	-0.114	0.0276	1.0098	0.4085	0.0308	-0.1944	-0.9269	-0.8531	1.2526	1.5891	1.3494	-0.1155	-1.2402
1.016	0.0656	-0.6562	1.6106	-0.6792	0.4894	0.3811	2.831	0.609	1.6459	7.6825	6.9893	0.581	1.6028
-1.0334	1.4847	0.1903	0.7702	0.5223	-0.7089	1.2727	-1.178	-1.0781	-1.8685	-0.3761	-0.4511	0.6611	0.756
0.9209	-2.3447	-2.8582	-2.1771	-2.5944	-1.1585	-1.243	2.5114	0.8713	1.6559	-2.7706	-3.2969	1.103	1.1587
0.7961	0.4196	0.056	0.7055	-0.3925	0.4854	-2.3248	1.0423	2.1301	-0.2586	0.9214	1.5505	0.9309	0.3847
0.3796	1.1693	0.6066	0.3942	0.2856	-0.4313	-0.3104	0.8055	0.1111	-0.5058	-0.2777	-0.0151	-1.4357	-0.5244
-0.7792	-0.255	-0.0785	0.122	0.0247	-0.4705	-1.0689	0.0855	-0.1571	-0.8722	0.4622	0.5775	-3.5831	-1.3487
0.6885	-1.494	-0.8135	-0.4091	-0.3	0.5088	-0.45	-0.8571	-0.3439	1.1031	0.0645	-0.2666	0.9027	-0.2143
-1.3132	-1.9561	-2.5897	-1.1147	-1.6157	-0.5353	-0.0034	1.0094	0.2457	0.0894	0.494	-0.1429	0.9011	1.0226
-0.1571	0.8021	0.3727	0.5791	0.1093	-0.2787	0.5108	0.4038	-0.1351	-0.1034	0.8708	0.8456	-0.4202	-0.1553
-1.419	-1.5933	-2.3957	3.1128	0.8082	-0.558	-1.6849	-1.8598	-0.4618	-0.8931	8.2727	7.6684	-1.3416	-0.3137
-0.6964	0.4072	0.6845	-0.1295	0.3169	-0.4094	-1.1428	0.1593	0.5372	-1.1749	-1.4151	-0.8254	-2.8311	-1.097
0.6163	0.2568	0.2582	0.4581	0.4117	-1.0087	-0.6006	0.1697	0.2863	0.1607	-0.493	-0.2238	-0.6791	0.3466
0.0823	-0.3797	-0.1035	-0.5023	0.2692	-0.4724	0.4679	-0.9553	-1.0012	0.1358	-1.8671	-2.0241	-0.4485	-0.4173
1.0147	0.7898	4.1435	0.2126	0.2161	0.8203	1.5067	-1.201	-0.7201	1.6709	-1.1933	-0.993	-1.25	1.5464
0.3079	1.2408	-0.1789	-0.3096	1.9682	1.5122	-0.5477	1.8263	1.1117	-1.939	1.6798	2.2069	-0.2161	-0.8935
-0.5924	-0.0387	-0.4835	-0.2187	-0.3092	-1.6176	-0.92	0.6416	0.928	-0.4815	-2.2326	-1.8078	-0.7303	0.152
0.5372	1.5308	0.3414	-0.2262	2.2369	1.8102	-0.8094	2.2902	1.9279	-1.9334	1.8182	2.6396	0.2559	-0.3021
0.288	-1.4962	-0.901	-0.2017	-0.203	-1.3895	0.5071	1.1274	0.8449	2.8888	0.1826	0.0522	1.0565	0.0058
-1.0335	0.2528	0.0377	-1.3076	-0.2838	0.8331	1.0408	-0.2361	-0.5354	-0.9207	-2.245	-2.3193	0.3359	-0.8558
-1.0662	-0.5965	-0.3853	-0.6817	0.983	0.3555	1.7957	-0.7567	-0.6481	0.6358	-0.5783	-0.795	0.7915	-1.7297
-1.1638	0.2485	0.7826	-0.1226	-6.9068	-0.2544	-0.9348	0.5718	-0.1138	0.6422	-2.0574	-2.6551	-0.7872	1.0497
0.4975	0.9864	1.0634	-0.0673	0.6966	1.9638	2.4827	-1.3508	-2.5211	-0.6772	1.6445	0.9048	0.6826	0.5827
-0.7287	0.7465	0.5653	-1.2827	1.1012	-2.9935	1.0849	-0.0705	0.1267	-0.2721	-7.5065	-6.7368	-0.5551	-0.3137
-0.6109	-2.7988	-1.2842	-1.1084	-0.8314	-0.4781	-0.9332	-1.1309	0.0996	1.0417	-1.625	-1.8431	-0.1675	0.1574
-0.478	0.0011	-0.0997	2.3311	0.2721	0.5164	-0.8784	0.6165	1.1568	0.7026	6.559	6.6008	-0.5395	-0.7351
-0.096	0.9333	-0.1975	0.1556	-0.2509	0.1732	0.9566	-0.0016	-0.8844	-0.6247	0.28	-0.0325	0.6752	-0.1688
1.0028	-0.2971	0.2844	0.8657	0.4687	0.9331	0.2886	0.4527	0.4478	1.7876	3.6305	3.4739	1.1826	0.025
0.9377	1.4871	1.164	-0.1599	0.3293	-0.4559	0.0336	0.1524	0.7122	-0.1449	-3.5684	-2.9203	1.6774	0.6169
-0.1792	-0.1903	-0.444	-0.3155	0.0663	-1.3982	1.7936	-1.9401	-1.9219	0.8893	-3.2924	-3.7113	1.0516	-1.0953
-0.4324	-0.2375	-0.6251	-1.3469	-0.8904	1.7009	0.6906	0.1254	-0.5368	-0.3704	-0.6635	-1.0554	1.099	-1.0548
1.8705	0.766	0.6102	0.6904	0.141	-0.2095	-0.6287	0.3588	0.5901	1.2076	-0.4145	-0.1003	1.2316	-0.1383
