"LMA"	"SWP_M"	"SWP_L"	"SWS_M"	"SWS_L"	"e_W"	"e_L"	"Dkleaf_M"	"Dkleaf_L"	"Kleaf_max"	"P50"	"P88"	"Phe"	"ISI"
0.5829	0.1396	0.4501	0.2887	0.4544	-1.1493	-0.7849	0.1994	0.0919	0.0774	-0.3029	-0.0933	-0.5685	-4.0561
0.0874	-0.3799	-0.0989	-0.4991	0.2733	-0.4782	0.0605	-0.6563	-1.0055	1.1814	-2.7985	-2.4657	-0.4471	-0.4126
0.9208	0.7584	1.0322	0.4531	0.2494	0.9346	0.2058	-1.0371	-0.7992	1.7031	-1.105	-1.1881	-1.2294	1.5393
0.4072	0.8312	0.4772	-0.0731	2.0258	1.4591	1.6638	1.8533	2.097	-2.1468	1.8386	1.949	-0.1169	-0.9218
-1.2768	-0.1327	-0.4444	-0.2192	-0.293	-1.6017	-0.9508	0.5308	1.0106	-0.5192	-0.9744	-0.6648	-0.1087	0.1454
0.5491	1.288	0.5767	-0.1306	2.2355	1.5228	1.2279	1.6366	1.9449	-2.0258	0.9369	1.2026	0.3062	-0.3777
0.3563	-1.7168	-0.7626	-0.1965	0.1436	-1.2936	0.1852	1.0772	0.9099	1.8156	-1.1573	-0.3607	1.1163	0.0079
0.0036	0.2716	0.035	-1.3017	-0.2876	0.8428	-0.2072	-0.2489	-0.5378	-0.9104	-2.6039	-2.4588	-1.2785	-0.8485
-1.1234	-1.7379	-0.4647	-0.4744	1.1036	0.4911	5.5855	-0.6984	-0.605	0.7287	-0.4097	-1.104	-5.9543	-1.6386
-1.2057	0.0467	0.8532	-0.0987	0.104	-0.1906	-1.0801	0.4621	-0.0785	0.602	0.0096	0.1744	3.2244	1.0244
0.5495	1.0475	1.0846	-0.2327	-5.1231	1.836	-4.7157	-1.3379	-1.379	-0.683	1.7498	0.8507	0.7286	0.5406
-0.9588	0.7726	0.5451	-1.2795	1.0921	1.0586	1.1556	-0.0599	0.1211	-0.2665	-3.0665	-2.8355	-0.5591	-0.3121
-0.3853	0.8318	-1.2889	-1.1662	-0.958	-0.5805	-0.6359	-1.3158	0.322	0.9217	-4.7953	-4.2685	-0.2095	0.1761
-0.4736	-1.1399	-0.2121	-0.19	1.0963	1.0966	3.9395	0.8498	1.1515	0.6929	2.0699	1.7171	-0.545	-0.7362
-0.1213	1.0225	-0.2089	0.0714	1.4371	0.1968	0.9222	-0.1368	0.4306	-0.4969	-0.374	-0.2847	0.6628	-0.1052
1.1704	-0.2007	0.4423	0.7663	0.3807	0.7646	0.4658	0.4373	0.4614	1.6778	1.5062	1.638	1.7223	1.3353
0.9518	1.4909	1.1538	-0.1612	0.3157	2.0901	0.0243	0.1484	0.6994	-0.1451	-0.3867	-0.3537	-0.3553	0.6215
-2.6124	-0.0679	-0.453	-0.3161	0.0519	-1.392	0.7445	-1.9244	-1.939	0.9097	-1.6923	-2.0987	1.0514	-1.101
-0.2758	-0.3849	-0.5038	-1.5359	-0.8603	1.5993	0.7526	-0.0741	-0.3794	-0.4983	-0.8739	-0.961	1.1016	-1.0748
1.9598	0.7736	0.4351	0.7001	0.1332	-0.0906	-0.5308	0.1123	0.8886	1.0676	1.0901	1.2646	1.1257	-5.3194
-0.0108	8e-04	-0.0507	-0.2061	-0.4831	-0.4218	-0.2239	0.706	1.9779	1.1463	-1.4245	-0.9025	-0.6258	0.3736
0.1167	-0.1102	0.2769	0.0033	-0.0255	-0.2431	-0.7216	0.3803	0.1019	0.0583	-0.1676	0.021	0.4254	-0.1246
0.4906	0.7383	0.5266	0.4068	0.0347	-0.1168	-0.1926	-1.841	-1.7295	1.1342	-1.9429	-2.1482	-2.2412	0.0751
1.4888	0.0225	0.9083	0.5434	1.4095	-0.0503	0.7437	0.4513	1.2358	3.8339	-2.1714	-1.2674	0.6103	0.3188
0.2525	0.7419	1.3524	-0.6333	0.2825	0.8857	-0.1396	-0.638	-0.7915	0.8611	-2.8839	-2.7489	-1.5227	-1.3417
-0.9919	-0.6522	0.6488	-0.6192	0.8323	0.5521	1.9288	-0.6546	-1.4473	1.1404	-1.639	-1.8229	-0.9689	-0.1046
0.1331	0.7148	1.4397	-0.3026	0.4802	2.6849	1.0317	0.7455	0.3066	-1.2668	1.4621	1.1234	-0.24	0.6898
3.5148	0.6071	-0.3478	1.1746	0.3355	0.3506	-0.0527	-1.5751	-1.3009	1.777	0.0569	0.0569	-0.7543	-0.7398
0.2719	-2.851	-1.4714	-1.7276	-1.6134	-2.4572	-0.7114	-0.8115	-0.7041	5.4888	-8.7208	-7.1242	-0.9676	1.1551
-0.0229	0.9927	-0.4835	-0.3324	0.9899	0.2308	0.6372	0.2203	1.1052	-0.6211	-0.6708	-0.4043	1.1693	-1.2325
