spp_code,species,family,order,clade,VD.median,MST.median,ER.median,CR.median,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,rmin_binned
Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,0.38213012312561806,0.987610655,1.3724978688508045,0.490236746,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,0.19
Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,0.321491922138022,0.987627551,1.372917426504595,0.490356601,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,0.23
Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,0.2916366506459708,0.991592687,0.8332305191242098,0.802619461,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,0.31
Aex_pun,Aextoxicon punctatum,Aextoxicaceae,Berberidopsidales,rosids,0.28050118716326317,1,1.3751496333126807,0.509262976,202.22,37.49,29.6,399.92,1195.09,6.3,100.15,-80.3,-65.09,-72.695,6.21,2.49,0.5,1.53,0.38,0.39
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,2.7245054037384473,0.621957425,0.8325436048640336,0.676342854,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.01
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,2.6401296795801525,0.637520348,0.8281459780739142,0.665073409,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.02
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,2.4592702614800186,0.686233577,0.8158638048105824,0.657993636,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.03
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,2.1653466468443336,0.765816859,0.8011104624207576,0.656408783,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.04
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,1.7720134933177005,0.835925827,0.7877472891099023,0.6683205715,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.05
Ale_cor,Alectryon coriaceus,Sapindaceae,Sapindales,rosids,1.4704230338579438,0.873081004,0.8076836091564568,0.6660285555000001,148.11,837.99,108.49,1793.69,6891.41,6.03,13.57,-80.23,-83.97,-82.1,6.18,0.65,0.6,2.46,0.32,0.060000000000000005
