...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
11,Bar_pur,Barbacenia purpurea,Velloziaceae,Pandanales,monocots,0,2.32236746,0.701602046,0,0.622281749,1,0,6.162525557,3.906836837,173.8,510.2031613,425.33,7774.52,7458.79,527.49,783.02,-85.98,-94.62,-90.3,3.6,5.12,1.293592959,2.49674582,0.27,3
12,Beg_for,Begonia formosa,Begoniaceae,Cucurbitales,rosids,1.547998423,0.279611241,0.149242159,0.716028442,0.969768734,0.975948942,0.882278979,0.525219726,0.526181612,32.76,344.31,52.77,502.5,1980.69,0.33,73.09803786,-94.1,-95.28,-94.69,4.42,4.73,0.597618568,1.996343114,0.25,5
13,Bei_tar,Beilschmiedia tarairi,Lauraceae,Laurales,basal angiosperms,2.317461764,1.097590663,0.376797136,0.676615125,0.94446354,0.990407635,0.755330795,0.860134047,1.28735789,149.37,198.65,153.18,2107.18,5479.78,2.67,9.32,-96.23,-97.61,-96.92,5.31,3.56,0.77896344,1.987715317,0.31,2
14,Bux_har,Buxus harlandii,Buxaceae,Buxales,basal eudicots,2.60499146,2.222154658,1.245435998,0.539469073,0.694689928,0.967950126,1.665792868,2.034258064,1.462802242,177.74,409.8152415,336.58,2102.02,5637.53,6.95,57.06912831,18.1,-9.66,4.22,1.29,6.4,1.28,3.91,0.65,4
15,Cal_nut,Deyeuxia nutkaensis,Poaceae,Poales,monocots,0.027706082,0,0,1,1,0,7.704897797,3.960989796,1.275721831,112.58,134.45,114.29,2395.21,6975.67,213.83,683.15,-87.55,-95.09,-91.32,1.17,3.23,0.861750906,2.580223517,0.24,3
16,Cal_pan,Ackama paniculosa,Cunoniaceae,Oxalidales,rosids,1.5425746,0.960532925,0.458895325,0.697954299,0.898105494,0.998193785,0.799012046,0.950249795,1.564839734,159.9,404.43,80.23,1444.21,9783.98,1.63,60.36,-91.62,-97.42,-94.52,3.5,2.73,0.53,1.62,0.37,5
17,Cam_sin,Camellia sinensis,Theaceae,Ericales,asterids,2.088612242,0.998654363,0.493693899,0.755072543,0.901362895,0.980555761,0.84721783,0.970177527,1.112738407,88.83,94.42,141.34,2397.97,7295.4,6.17,48.02,-86.96,-88.98,-87.97,3.27,1.91,2.62,4.73,0.44,6
18,Can_can,Canarina canariensis,Campanulaceae,Asterales,asterids,1.854963715,0.327975008,0.10110224,0.739467378,1,1,1.022151795,0.96555738,0.96789269,25.07,89.5,103.99,203.67,5301.48,15.87,108.2247957,-78.99,-82.62,-80.805,3.97,1.09,0.89823691,2.196259061,0.26,6
19,Car_pal,Carya palmeri,Juglandaceae,Fagales,rosids,1.943915088,1.015638144,0.568500132,0.648960126,0.864284269,0.965860198,0.743073099,1.244235255,0.757887398,59.88,50.73,35.6,176.25,1615.71,22.6391534,64.89174004,-68.97,-87.35,-78.16,4.22,1.99,0.703145887,1.654783209,0.54,5
20,Car_pen,Carex agastachys,Cyperaceae,Poales,monocots,2.27335472,1.98631364,0.297679406,0.41002343,0.65976252,1,4.546883216,4.267703833,1.384879627,124.74,387.81,795.82,1264.17,13545.2,399.7,525.01,-72.17,-96.66,-84.415,0.98,0.17,1.036103712,3.442145804,0.33,3
