spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Pol_vir,20.65,30.27,33.03,217.63,97.63,28,12.03,62.22,97.03,67.95,20.89,145.69,168.42,1.95,0.19,0.32,0.92,676.66,5492.09,NA,NA,NA,NA,0.66,-63,-72.36,NA,NA,0.35,NA,NA,5.85
Pro_hoo,7.53,24.52,40.78,289.95,27.93,2.16,1.42,10.02,8.54,3.18,2.17,13.87,11.93,0.84,0.06,0.06,0.35,155.74,1838.76,7.01,NA,0.015,NA,0.5,-66.9,-81.37,NA,NA,0.29,NA,NA,4.1
Pte_esc,5.6,5.49,182.17,441.31,0.03,235.48,51.71,398.82,143.92,763.87,211.87,1294.39,590.65,2.87,0.94,0.99,11.02,858.62,20955,216.75,NA,18.939,NA,0.25,-64.22,-20.29,2.17,2.44,0.4,92.84,10.42,4.12
Puy_alp,28.88,6.75,148.21,165.89,1.4,17.48,15.25,18.7,20.28,52.61,52.9,56.26,70.47,0.46,0.29,0.14,0.53,83.6,585.06,26.29,113.05,2.447,1.478,0.8,-57.14,-75.93,NA,NA,0.21,NA,NA,0.72
Qui_sap,8.32,6.26,159.71,429.42,17.63,56.94,15.9,162.17,53.85,115.58,28.07,329.92,95.11,1.18,0.06,0.24,1.17,400.51,2995.29,8.62,7.75,0.085,0.039,1.22,-72.2,38.52,NA,NA,0.64,NA,NA,6.17
Ran_lae,3.17,13.72,72.89,404.87,51.44,20.56,10.62,49.34,73.71,37.63,15.76,80.74,108.72,3.2,0.38,0.13,0.57,365.54,3832.33,15.23,NA,0.011,NA,1.41,-49.67,137.42,NA,NA,0.64,NA,NA,5.53
Res_lut,10.19,16.54,60.47,185.57,81.97,21.14,6.05,23.2,28.51,49.44,20.06,53.33,93.46,1.2,0.46,0.4,0.74,428.56,3094.59,26.02,NA,0.114,NA,2.14,-91.9,-93.48,NA,NA,0.38,NA,NA,2.76
Rha_pir,11.37,7.25,138.02,478.66,109.57,46.42,46.7,64.3,99.57,125.9,115.63,155.68,265.85,0.19,0.23,30.49,1.59,35358.86,4178.95,0.67,6.85,0.06,0.039,4.77,-33.86,-22.83,NA,NA,0.48,NA,NA,3.69
Rib_vib,11.06,9.16,109.12,398.51,1.61,27.73,15.79,73.37,66.39,68.88,27.71,176.16,116.43,1.48,0.15,0.28,0.88,657.85,3056.75,1.22,NA,0.019,NA,1.82,10.89,9.06,NA,NA,0.29,NA,NA,6.64
Rom_cou,36.67,6.15,162.72,282.49,259.63,1.93,16.88,1.65,54.39,4.12,45.27,3.44,145.31,0.17,0.06,0.34,0.34,328.25,1077.33,NA,NA,NA,NA,5.3,-74.46,-65.36,NA,NA,0.27,NA,NA,2.71
Rub_odo,87.28,17.37,57.59,377.75,375.18,14.06,3.39,37.96,20.51,33.87,3.87,93.04,23.49,1.04,0.07,0.18,0.63,255.1,2452.56,NA,NA,NA,NA,3.37,-92.44,-89.13,NA,NA,0.41,NA,NA,6.35
Rub_tin,2.28,13.07,76.49,301.33,8.69,36.82,6.87,66.33,34.33,95.6,12.96,171.85,64.78,2.52,0.28,0.48,0.77,923.55,4786.41,49.57,NA,0.061,NA,9.51,-85.4,-95.57,NA,NA,0.31,NA,NA,3.68
Sag_lat,40.96,13.29,75.24,160.17,56.3,14.02,6.9,26.23,35.23,59.76,5.8,111.91,29.46,1.13,0.13,0.25,0.67,345.07,3711.65,5.6,NA,0.031,NA,5.78,-77.68,-90.96,NA,NA,0.09,NA,NA,2.94
Sal_sco,9.95,9.2,108.68,374.14,14.2,70.38,9.83,77.44,42.34,189.9,20.12,205.99,89.07,2.39,0.25,0.74,1.04,869.44,5070.25,4.73,27.73,0.079,0.039,1.7,-85.97,-88.54,NA,NA,0.31,NA,NA,5.58
Sam_nig,3.97,14.44,69.25,274.64,13.88,13.42,10,92.69,75.81,27.86,18.43,191.61,137.4,0.11,0.21,5.96,0.79,26624.59,5343.66,2.11,NA,0.021,NA,3.96,-96.44,-87.71,NA,NA,0.34,NA,NA,6.9
Sau_cer,30.76,28.49,35.1,197.61,41.31,12.85,5.06,35.5,60.36,40.45,9.71,109.74,117.07,5.64,0.12,0.11,0.7,215.7,4786.46,1.37,NA,0.014,NA,2.28,-98.62,-91.74,NA,NA,0.3,NA,NA,6.38
Sau_mad,57.04,16.67,59.97,215.11,1520.17,6.95,1.93,8.06,3.42,19.94,2.49,23.28,4.44,0.22,0.02,0.32,0.33,194.13,523.48,0.69,NA,0.174,NA,0.38,-97.55,-96.25,NA,NA,0.25,NA,NA,1.18
Sch_pol,2.04,5.17,193.36,471.49,1.48,16.9,12.13,61.36,51.46,34,27.75,123.33,117.86,6.25,0.33,0.28,0.74,789.5,2975.2,NA,NA,NA,NA,17.25,-98.34,-97.98,NA,NA,0.27,NA,NA,6.8
Sim_chi,5.8,5.38,185.81,357.85,40,42.99,16.57,80.21,33.49,85.66,17.57,160.98,35.24,3.03,0.19,0.96,2.28,1594.13,4039.71,4.5,7.81,0.054,0.054,1.14,-89.68,-93.79,1.29,2.67,0.78,116.51,8.3,3.95
Smi_his,54.06,28.19,35.48,208.5,54.49,25.91,9.7,88.67,102.5,57.09,24.27,192.71,258.66,3.18,0.14,0.2,0.78,354.04,6619.92,5.56,26.25,0.028,0.037,1.67,-88.65,-41.28,0.44,1.35,0.37,NA,NA,1.87
Sol_lig,5.78,7.98,125.29,259.55,82.14,8.14,5.28,12.94,12.39,25.17,11.78,39.19,27.15,0.3,0.04,0.3,0.53,295.75,993.57,2.49,10.35,0.296,0.122,10.68,-32.39,-66.49,NA,NA,0.38,NA,NA,3.37
Sta_chi,38.34,17.33,57.69,296.37,50.45,18.05,8.13,55.54,26.55,49.23,16.72,151.39,51.36,3.27,0.07,0.23,0.9,356.33,3553.27,0.88,NA,0.019,NA,0.99,-92.64,-97.02,NA,NA,0.3,NA,NA,4.33
Tas_lan,6.78,6.34,157.81,378.75,10.85,30.15,21.36,69.51,87.97,63.97,46.59,146.84,191.15,4.32,0.32,0.52,0.83,1127.45,2659.92,11.66,40.11,0.067,0.136,9.43,-74.15,-55.18,0.34,1.03,0.36,32.25,5.43,3.94
Tec_spe,30.12,15.91,62.84,174.73,82.59,65.7,23.93,76.52,93.05,205.77,55.81,240.77,217.05,1.47,0.24,0.73,1.45,952.71,5792.89,3.56,NA,0.108,NA,3.76,-87.56,-91.02,1.00,1.14,0.27,66.05,5.05,NA
Tod_bar,1.57,12.33,81.07,395.44,9.94,79.15,6.42,156.44,34.34,218.34,19.71,433.12,103.95,0.63,2.99,0.57,8.69,572.61,20597.91,5.33,NA,0.149,NA,0.15,-2.59,-73.92,0.60,1.84,0.29,81.45,5.19,6.09
Tri_lan,1.36,4.91,203.84,426.39,2.17,8.13,6.45,18.9,23.23,29.41,10.72,68.4,38.09,1.34,0.43,0.11,0.03,175.32,58.07,NA,NA,NA,NA,12.56,34.23,-83.63,NA,NA,0.55,NA,NA,6.27
Tro_ara,18.34,5.16,193.91,461.71,43.63,NA,25.85,NA,66.02,NA,51.88,NA,134.48,4.38,0.17,0.75,1.75,1408.48,4930.09,4.78,10.68,0.102,0.092,16.81,-72.41,-89.34,1.48,3.47,0.38,60.06,4.75,3.25
Ure_car,352.5,31.36,31.89,145.18,1230.28,28.53,3.72,28.7,13.87,93.35,6.2,99.19,22.9,0.86,0.17,0.3,1.23,256.91,8183.11,10.95,NA,0.122,NA,0.47,-38.22,-86.83,NA,NA,0.19,NA,NA,1.05
Vio_gla,24.18,49.75,20.1,135.26,3.78,9.61,4.95,25.07,49.9,20.71,7.07,49.14,71.39,1.55,0.08,0.14,0.93,387.4,3646.37,1.9,NA,0.007,NA,1.39,-81.52,-57.93,NA,NA,0.42,NA,NA,1
