spp_code,leaf_area,SLA,LMA,LDMC,VTotV,PS_M,PS_L,PSS_M,PSS_L,WP_M,WP_L,SWP_M,SWP_L,SS_M,SS_L,WS_M,WS_L,SWS_M,SWS_L,e_W,e_L,E_W,E_L,Kleaf_max,Dkleaf_M,Dkleaf_L,P50,P88,ISI,gsw_max,A_max,Phe
Cel_aus,14.08,17.3,57.8,334.84,19.78,24.48,11.4,115.8,80.24,57.58,26.61,273.53,188.28,3.72,0.45,0.36,2.38,1181.49,13405.02,3.33,NA,0.017,NA,3.67,-84.16,-43.6,NA,NA,0.37,NA,NA,0.81
Cel_ten,31.66,18.21,54.91,356.94,163.28,50.4,4.87,97.93,13.7,133.37,10.27,258.13,27.97,3.83,0.09,0.21,1.19,419.46,3706.13,1.87,NA,0.056,NA,0.52,-54.21,10.97,NA,NA,0.38,NA,NA,1.52
Chi_nit,28.65,17.47,57.23,453.18,79.03,27.49,12,91.63,35.47,61.53,19.88,205.09,59.49,8.18,0.34,0.81,2.35,2157.35,14912.49,11.47,46.27,0.067,0.065,3.13,-76.97,-69.35,0.37,1.35,0.35,6.39,0.83,2.47
Chl_spi,14.51,23.79,42.03,191.39,30.61,36.51,16.89,65.71,83.14,115.37,36.76,204.68,180.25,2.66,0.22,0.55,1.2,695.86,5481.03,1.76,33.89,0.027,0.032,0.82,-61.87,1.04,NA,NA,0.38,NA,NA,1.93
Cis_ant,43.34,11.48,87.08,370.23,463.39,18.84,18.64,40.14,78.95,58.25,35.49,125.1,153.1,3.86,0.18,0.46,1.18,719.63,6570.09,1.97,7.21,0.101,0.055,0.33,-58.35,-72.28,NA,NA,0.36,NA,NA,3.79
Cis_pop,12.58,10.14,98.63,336.77,15.46,20.66,7.18,29.65,27.07,70.13,23.53,100.7,88.45,1.42,0.11,0.63,1.14,604.2,3883,2.15,NA,0.018,NA,0.44,235.79,88.1,NA,NA,0.41,NA,NA,7.29
Cit_mon,19,5.68,176.02,453.59,150.36,139.44,31.33,328.71,125.43,364.59,68.17,856.42,272.37,10.04,1.25,1.85,7.76,3478.44,25410.3,52.97,64.7,0.56,0.18,2.58,100.51,-84.15,NA,NA,0.35,NA,NA,4.8
Clu_ala,120.38,5.51,181.47,190.25,13.82,99.06,37.01,35.81,40.03,404.01,87.03,136.84,94.31,1.73,0.16,6.82,5.03,2537.08,6656.66,6.68,16.92,2.245,1.04,15.69,-94.61,-94.42,NA,NA,0.23,NA,NA,3.4
Cne_tri,4.7,6.4,156.15,387.14,6.26,21.8,10.23,61.34,22.46,58.02,23.56,162.82,51.39,0.09,0.19,2.65,0.76,5539.32,2005.3,13.88,NA,0.057,NA,25.15,-24.94,-53.79,NA,NA,0.58,NA,NA,4.57
Com_ery,25.51,21.34,46.86,313.49,17.63,45.98,10.86,242,69.37,138.51,16.97,729.01,110.98,2.69,0.29,0.69,0.99,1796.08,7112.13,1.88,NA,0.009,NA,5.99,-96.16,-96.04,0.49,1.51,0.44,97.79,8.16,4.92
Com_umb,2.47,6.75,148.07,276.38,10.48,2.38,1.61,7.75,4.33,3.9,2.81,12.75,7.57,0.26,0.02,0.02,0.07,47.89,249.96,NA,NA,NA,NA,25.45,-20.38,-33.94,NA,NA,0.5,NA,NA,6.64
Cor_bud,7.57,7.26,137.81,434.75,6.39,25.93,13.4,83.02,49.55,73.52,26.91,235.3,98.61,4.37,0.43,0.2,0.6,494.29,2739.28,13.55,NA,0.196,NA,2.11,-16.86,292.2,NA,NA,0.39,NA,NA,5.87
Cor_lae,36.38,10.02,99.85,280.96,45.72,103.53,19.44,254.81,90.29,258.78,29.23,635.89,136.09,5.92,0.24,0.81,2.01,1258.42,6161.07,3.95,13.73,0.098,0.079,2.07,-67.57,-79.64,0.51,1.88,0.3,45.43,6.3,1.09
Cos_tap,18.78,17.91,55.84,98.39,15.69,33.04,18.81,46.96,50.98,77.13,32.58,107.82,88.62,1.49,0.21,1.05,1.94,889.25,4118.85,2.9,5.2,0.115,0.08,0.89,-77.93,-83.75,NA,NA,0.22,NA,NA,1.44
Cri_pat,11.64,7.76,128.81,445.18,9.58,57.37,6.11,224.43,36.11,155.2,7.64,617.76,45.79,1.03,0.08,0.22,0.89,438.41,3048.4,14.41,NA,0.067,NA,12.4,-94.05,-88.04,NA,NA,0.32,NA,NA,5.77
Cup_nud,6.23,25.19,39.69,239.86,0.13,3.41,1.32,8.1,5.58,9.15,2.29,19.35,9.62,0.32,0.04,0.04,0.14,85.45,727.39,2.64,NA,0.032,NA,3.34,-20.34,-73.02,NA,NA,0.48,NA,NA,5.76
Cus_spi,36.94,12.4,80.65,276.73,161.19,30.95,20.54,100.73,73.63,394.24,42.89,303.26,154.5,1.28,0.15,2.45,1.53,1444.49,4725.71,3.25,NA,0.322,NA,2.18,-63.2,-82.84,1.71,2.39,0.32,239.36,12.08,2.47
Cya_ful,6.41,26.75,37.38,229.61,37.94,4.57,1.48,9.36,5.64,14.01,2.96,28.53,11.26,0.43,NA,0.08,NA,103.71,NA,2.57,NA,0.025,NA,0.93,-98.55,-89.86,NA,NA,0.31,43.5,3.33,1.21
Cyc_bip,80.19,17.51,57.1,239.78,517.99,87.03,12.85,94.22,71.39,211.41,30.64,228.95,170.2,4.71,0.17,0.48,0.98,622.98,5878.35,2.45,NA,0.168,NA,0.64,-75.61,-58.14,NA,NA,0.24,NA,NA,0.43
Dap_him,50.32,8.22,121.62,362.28,595.18,29.43,19.86,86.57,57.67,62.97,48.11,185.2,138.05,2.78,0.15,0.88,2.12,1043.45,6564.48,0.93,7.98,0.068,0.06,3.32,-70.48,-79.31,0.56,1.7,0.38,49.22,5.95,2.08
Del_fis,35.14,11.04,90.58,247.34,133.4,15.39,6.54,25.86,31.85,59.17,17.58,99.81,86.03,2.29,0.18,0.21,1.25,394.86,5643.93,2.89,NA,0.019,NA,13.69,-94.84,-95.37,NA,NA,0.3,NA,NA,2.26
Des_spi,10.31,6.62,151.09,439.4,11.13,51.67,19.4,120.15,77.6,139.87,61.58,325.29,246.33,7.56,0.27,0.64,2.29,1075.82,5558.93,25.7,219.04,0.367,0.72,26.53,-96,-93.52,0.29,0.98,0.57,115.1,9.89,1.31
Dic_ant,3.14,9.43,106.06,355.62,0.25,78.76,16.26,141.13,56.32,215.86,41.36,391.9,143.59,1.03,3.01,0.56,8.24,542.53,35020.8,63.3,NA,6.154,NA,0.19,158.8,-12.7,2.27,6.87,0.25,29.23,3.59,2.66
Dic_feb,21.15,16.36,61.13,219.19,6.86,18.96,5.58,63.19,32.76,42.42,10.48,141.4,61.67,1.58,0.11,0.39,0.72,566.1,2946.15,0.46,6.21,0.062,0.054,1.55,-53.01,-26.32,NA,NA,0.36,NA,NA,2.85
Dic_squ,5.34,8.1,123.52,435.44,15.82,152.62,19.74,145.77,49.31,665.52,57.26,636.78,142.62,0.91,2.29,0.79,22.14,556.34,48815.26,69.01,NA,14.762,NA,0.24,414.25,175.69,NA,NA,0.31,NA,NA,3.92
Dio_lyc,0.24,9.83,101.78,350.15,5.68,11.16,9.53,24.27,29.54,12.76,15.01,27.74,46.53,0.09,0.18,0.36,1.02,577.58,3306.71,0.62,NA,0.008,NA,32.91,0,-38.74,NA,NA,0.34,NA,NA,6.68
Dio_pol,26.47,21.46,46.6,310.03,25.39,15.87,9.3,100.42,63.72,30.81,13.97,198.13,96.73,6.4,0.13,0.05,0.56,142.04,3064.74,24.27,NA,0.026,NA,0.91,-85.86,-91.06,NA,NA,0.26,NA,NA,1.27
Dip_esc,7.69,23.12,43.25,205.37,5.32,18.55,65.93,3.39,8.24,65.06,230.98,24.16,58.83,0.92,1.25,0.38,2.96,499.66,13565.37,16.63,NA,0.418,NA,7.51,-92.21,-91.7,0.49,0.96,0.2,59.2,5.24,5.06
Dir_occ,0.32,23.52,42.52,380.77,63.99,21.58,12.74,62.17,71.57,65.12,37.12,183.48,196.15,2.64,0.13,0.26,0.95,643.2,4218.45,4.16,5.66,0.033,0.013,6.68,-52.67,-85.16,NA,NA,0.48,NA,NA,1.83
Doo_asp,59.79,8.35,119.71,408.71,5.06,87.1,33.14,145.71,116.86,258.87,73.55,430.26,255.77,1.61,3.32,0.53,2.16,498.89,8330.02,115.59,NA,23.999,NA,1.19,-97.4,-97.1,2.24,3.33,0.41,120.41,3.27,5.12
Dry_rem,2.04,17.88,55.93,276.69,2.14,56.65,13,150.33,53.21,125.99,37.36,328.01,152.71,1.39,1.45,0.08,3.18,145.63,13797.98,34.61,NA,5.563,NA,2.07,-82.48,-76.88,NA,NA,0.31,NA,NA,2.1
Ehr_acu,15.64,15.45,64.72,294.32,98.75,9.83,4.18,24.93,15.35,22.83,7.25,57.85,26.84,0.66,0.06,0.12,0.48,188.19,1564.21,3,7.71,0.052,0.038,10.54,-96.59,-70.22,NA,NA,0.36,NA,NA,2.6
