...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
76,Nan_dom,Nandina domestica,Berberidaceae,Ranunculales,basal eudicots,4.205049094,0.419603816,0.068389948,0.708362203,0.987846588,1,0.839920289,2.46861464,0.992104228,93.92,NA,115.16,1522.99,8099.51,7.32,NA,-52.14,52.28,0.0700000000000003,6.1,2.73,1.24,3.76,0.43,4
77,Not_fus,Fuscospora fusca,Nothofagaceae,Fagales,rosids,5.0842377275,3.0210670815,0.313444858,0.6670968895,0.7638483525,1,0.5858346065,0.756774949,0.827405123,154.23,249.2,104.16,2790.33,6925.46,11.75,20.88,-85.84,55.56,-15.14,6.38,11.09,1.14,4.33,0.31,5
78,Ole_eur,Olea europaea,Oleaceae,Lamiales,asterids,6.161331158,0.769115493,0.184083851,0.715777998,0.9876072975,1,0.92748364,4.082954457,1.758744931,184.6,NA,186.36,4456.98,8692.09,4.5,NA,-33.13,-40.6,-36.865,3.52,3.38,NA,NA,0.83,6
79,Ono_sen,Onoclea sensibilis,Onocleaceae,Polypodiales,ferns,5.19632764,4.2325321405,0.229888468,0.49072959,0.6539409405,0.9816080845,2.246765298,3.511918389,4.6458090295,22.54,99.38,190.5,458.1,4948.88,3.11,NA,-88.57,-95.99,-92.28,5.95,1.16,NA,NA,0.22,1
80,Osm_ber,Osmorhiza berteroi,Apiaceae,Apiales,asterids,9.407803527,7.353842032,0.314375872,0.456566184,0.629332658,1,0.7953473475,0.942522883,1.790073074,18.91,66.74,128.74,875.28,14448.04,NA,NA,-8.19,1.59,-3.3,2.35,7.59,NA,NA,0.44,6
81,Pae_bro,Paeonia broteroi,Paeoniaceae,Saxifragales,basal eudicots,4.2465665665,0.106677336,0.045137462,0.7313699665,0.974552117,0.99041267,0.797152525,0.231379054,0.233614094,69.92,521.06,240.39,42792.97,6640.94,NA,NA,-88.56,-89.37,-88.965,7.54,16.29,NA,NA,0.44,4
82,Par_tor,Parajubaea torallyi,Arecaceae,Arecales,monocots,4.208665932,0.202023998,0,0.3585241465,0.968463815,0,6.9357152905,37.945179795,5.872305528,246.69,553.15,363.09,3483.18,19.49,55.85,266.02,-99.93,-99.73,-99.83,2.54,1.19,NA,NA,0.23,3
83,Per_acu,Pereskia aculeata,Cactaceae,Caryophyllales,rosids,4.312645277,4.3125221955,2.405647528,0.597708782,0.5977564375,0.729558939,0.670831114,2.001016781,1.166883273,66.78,14.83,12.62,86.13,447.89,NA,NA,-82.01,-89.7,-85.855,1.7,0.4,NA,NA,0.33,5
84,Peu_bol,Peumus boldus,Monimiaceae,Laurales,basal angiosperms,2.777184223,0.120861726,0.042564191,0.721179027,1,1,0.6609242715,2.362366574,0.9000319905,127.61,250.17,130.58,746.56,1788.63,41.74,33.13,-93.84,-93.96,-93.9,4.16,7.3,NA,NA,0.5,2
85,Phi_lat,Phillyrea latifolia,Oleaceae,Lamiales,asterids,5.357414708,1.332012381,0.1719257305,0.669278695,0.9450513215,0.9922050495,0.67280014,1.4349813095,2.7618512905,196.63,491.99,150.69,48897.43,4948.59,17.92,41.33,-74.6,-83.7,-79.15,4.39,20.03,NA,NA,0.39,6
86,Phi_var,Philodendron variifolium,Araceae,Alismatales,monocots,2.488546297,1.985236295,0.432796395,0.50762188,0.700374378,0.95268489,0.820048235,1.28547942,0.9538296945,27.39,170.27,179.88,232.78,5380.5,15.77,NA,-32.61,-91.55,-62.08,0.8,2.26,NA,NA,0.32,3
87,Phy_pur,Phyllanthus purpusii,Phyllanthaceae,Malpighiales,rosids,0,2.019411975,1.565002588,0,0.516073394,0.671248694,0,0.823088484,1.0661543535,53.41,30.59,16.17,89.05,1366.71,2.51,NA,-86.87,-83.78,-85.325,6.26,4.14,NA,NA,0.34,5
88,Pit_vir,Pittosporum viridiflorum,Pittosporaceae,Apiales,asterids,5.099647765,0.143805536,0.080349251,0.680828585,0.9679883185,0.988092256,0.754919658,3.271150224,1.53787134,101.35,342.17,154.37,1000.73,4783.9,3.53,2.3,10.85,-87.43,-38.29,2.33,6.23,0.28,0.86,0.57,6
89,Pla_ori,Platanus orientalis,Platanaceae,Proteales,basal eudicots,4.349297314,0.51499622,0.136034337,0.665250124,0.985660909,0.993966467,0.6151154515,1.621794195,0.179833744,90.88,349.36,46.33,1103.9,12301.78,5.01,1.03,-78.32,-71.55,-74.935,3.48,5.85,NA,NA,0.32,4
90,Pol_cor,Rhinotropis cornuta,Polygalaceae,Fabales,rosids,7.895085967,5.082773,0.800850457,0.586077855,0.750611778,0.9434440895,0.7843432035,0.9637878915,4.0682070455,64.43,106.45,79.55,701.9,4960.75,NA,NA,-1.56,-65.79,-33.675,3.32,2.06,NA,NA,0.43,5
91,Pol_cri,Pollia crispata,Commelinaceae,Commelinales,monocots,2.082335661,0.207207675,0.051554091,0.6533019755,0.872476748,0.9131218275,1.9914446215,2.329091715,2.3550215555,58.79,225.92,94.12,2127.92,3679.12,15.35,241.16,73.74,272.13,172.935,5.54,2.13,NA,NA,0.35,3
92,Pol_vir,Persicaria virginiana,Polygonaceae,Caryophyllales,rosids,5.090176038,0.3789530485,0.055489155,0.660577997,0.9850141435,0.998644148,0.724849008,0.877294005,0.88972818,33.03,145.69,168.42,676.66,5492.09,NA,NA,-63,-72.36,-67.68,5.85,0.66,NA,NA,0.35,5
93,Pro_hoo,Prosartes hookeri,Liliaceae,Liliales,monocots,4.696040216,2.228562708,0.091914246,0.688625298,0.861368651,1,0.82041825,1.060951716,0.843311038,40.78,13.87,11.93,155.74,1838.76,7.01,NA,-66.9,-81.37,-74.135,4.1,0.5,NA,NA,0.29,3
94,Pte_esc,Pteridium esculentum,Dennstaedtiaceae,Polypodiales,ferns,0,0,2.836005466,0,0,0.775019953,0,0,1.750055812,182.17,1294.39,590.65,858.62,20955,216.75,NA,-64.22,-20.29,-42.255,4.12,0.25,2.17,2.44,0.4,1
95,Puy_alp,Puya alpestris,Bromeliaceae,Commelinales,monocots,0.165939001,0,0,1,1,0,57.39958586,47.680469645,29.10639112,148.21,56.26,70.47,83.6,585.06,26.29,113.05,-57.14,-75.93,-66.535,0.72,0.8,NA,NA,0.21,3
96,Qui_sap,Quillaja saponaria,Quillajaceae,Fabales,rosids,4.6543320565,0.121303691,0.038789484,0.7410387895,0.964012576,1,0.8444971415,0.442787969,0.443772954,159.71,329.92,95.11,400.51,2995.29,8.62,7.75,-72.2,38.52,-16.84,6.17,1.22,NA,NA,0.64,5
97,Ran_lae,Randia laetevirens,Rubiaceae,Gentianales,asterids,2.820048987,1.1118462365,0.311753571,0.726947543,0.8720670375,0.911287876,0.694974922,1.00099652,0.928007267,72.89,80.74,108.72,365.54,3832.33,15.23,NA,-49.67,137.42,43.875,5.53,1.41,NA,NA,0.64,6
98,Res_lut,Reseda luteola,Resedaceae,Brassicales,rosids,4.331420626,0.67691101,0.207009144,0.658674578,0.9700086035,1,1.1440488825,12.45043592,10.52806051,60.47,53.33,93.46,428.56,3094.59,26.02,NA,-91.9,-93.48,-92.69,2.76,2.14,NA,NA,0.38,5
99,Rha_pir,Rhamnus pirifolia,Rhamnaceae,Rosales,rosids,3.919690617,0.610158659,0.079083756,0.650479056,0.985029024,0.987593516,0.873196666,2.135379435,0.695664992,138.02,155.68,265.85,35358.86,4178.95,0.67,6.85,-33.86,-22.83,-28.345,3.69,4.77,NA,NA,0.48,5
100,Rib_vib,Ribes viburnifolium,Grossulariaceae,Saxifragales,basal eudicots,0,3.536235716,1.831337188,0,0.7236991165,0.857009881,0,1.0863872515,1.2107428335,109.12,176.16,116.43,657.85,3056.75,1.22,NA,10.89,9.06,9.975,6.64,1.82,NA,NA,0.29,4
101,Rom_cou,Romneya coulteri,Papaveraceae,Ranunculales,basal eudicots,1.605728421,0.128745914,0.039050575,0.729497381,0.9842113245,0.995128655,0.966322637,0.2628366785,0.256153809,162.72,3.44,145.31,328.25,1077.33,NA,NA,-74.46,-65.36,-69.91,2.71,5.3,NA,NA,0.27,4
102,Rub_odo,Rubus odoratus,Rosaceae,Rosales,rosids,3.431945403,0.558162113,0.05101354,0.773465958,0.934138741,1,0.599674669,0.821133485,0.173909815,57.59,93.04,23.49,255.1,2452.56,NA,NA,-92.44,-89.13,-90.785,6.35,3.37,NA,NA,0.41,5
103,Rub_tin,Rubia tinctorum,Rubiaceae,Gentianales,asterids,7.115784808,4.615899443,0.148356036,0.602568064,0.848606812,0.982846469,0.7190467535,0.951029427,2.332018177,76.49,171.85,64.78,923.55,4786.41,49.57,NA,-85.4,-95.57,-90.485,3.68,9.51,NA,NA,0.31,6
104,Sag_lat,Sagittaria latifolia,Alismataceae,Alismatales,monocots,1.818127863,0.076833016,0.0251053725,0.708659424,0.978228797,0.9967501905,1.999759134,0.7120083875,0.712041838,75.24,111.91,29.46,345.07,3711.65,5.6,NA,-77.68,-90.96,-84.32,2.94,5.78,NA,NA,0.09,3
105,Sal_sco,Salix scouleriana,Salicaceae,Malpighiales,rosids,2.267827542,0.145882906,0.060087593,0.698688756,1,1,0.798893179,0.89104691,0.890652489,108.68,205.99,89.07,869.44,5070.25,4.73,27.73,-85.97,-88.54,-87.255,5.58,1.7,NA,NA,0.31,5
106,Sam_nig,Sambucus nigra,Adoxaceae,Dipsacales,asterids,5.279101082,2.171601163,0.049413784,0.6930701105,0.901552242,1,0.7529449,1.3201967885,0.703533549,69.25,191.61,137.4,26624.59,5343.66,2.11,NA,-96.44,-87.71,-92.075,6.9,3.96,NA,NA,0.34,6
107,Sau_cer,Saururus cernuus,Saururaceae,Piperales,basal angiosperms,1.710773445,0.281656724,0.076083552,0.814551973,0.952516672,0.983240436,0.923309596,0.556774879,0.566435684,35.1,109.74,117.07,215.7,4786.46,1.37,NA,-98.62,-91.74,-95.18,6.38,2.28,NA,NA,0.3,2
108,Sau_mad,Saurauia madrensis,Actinidiaceae,Ericales,asterids,2.739172716,0.414682765,0.146099361,0.6805633145,0.938170126,0.984098973,0.6735916035,0.9938005885,1.752689435,59.97,23.28,4.44,194.13,523.48,0.69,NA,-97.55,-96.25,-96.9,1.18,0.38,NA,NA,0.25,6
109,Sch_pol,Schinus polygama,Anacardiaceae,Sapindales,rosids,9.861369609,9.247887821,5.449912615,0.617635579,0.675913759,0.825865169,1.256840123,0.913755841,1.262071084,193.36,123.33,117.86,789.5,2975.2,NA,NA,-98.34,-97.98,-98.16,6.8,17.25,NA,NA,0.27,5
110,Sim_chi,Simmondsia chinensis,Simmondsiaceae,Caryophyllales,rosids,4.071092134,1.063833907,0.332921182,0.705453449,0.885298677,0.983771858,0.945885281,1.146233122,1.5801110765,185.81,160.98,35.24,1594.13,4039.71,4.5,7.81,-89.68,-93.79,-91.735,3.95,1.14,1.29,2.67,0.78,5
111,Smi_his,Smilax tamnoides,Smilacaceae,Liliales,monocots,2.7164477095,1.298792466,0.057064485,0.712442728,0.834393495,0.996929089,0.755174316,0.875616159,0.289305339,35.48,192.71,258.66,354.04,6619.92,5.56,26.25,-88.65,-41.28,-64.965,1.87,1.67,0.44,1.35,0.37,3
112,Sol_lig,Solanum ligustrinum,Solanaceae,Solanales,asterids,1.3779848395,0.539507019,0.096032268,0.7465398545,0.899944349,0.9853905805,0.9734515585,1.373521093,1.7842022225,125.29,39.19,27.15,295.75,993.57,2.49,10.35,-32.39,-66.49,-49.44,3.37,10.68,NA,NA,0.38,6
113,Sta_chi,Stachyurus chinensis,Stachyuraceae,Crossosomatales,rosids,2.702898558,0.764196198,0.0912252985,0.779596856,0.942668954,0.9967420785,0.74785636,0.504427701,0.502964087,57.69,151.39,51.36,356.33,3553.27,0.88,NA,-92.64,-97.02,-94.83,4.33,0.99,NA,NA,0.3,5
114,Tas_lan,Tasmannia lanceolata,Winteraceae,Canellales,basal angiosperms,2.5978410855,0.3817052335,0.155666076,0.6877246895,0.991197284,1,1.977051393,2.867663594,2.867305202,157.81,146.84,191.15,1127.45,2659.92,11.66,40.11,-74.15,-55.18,-64.665,3.94,9.43,0.34,1.03,0.36,2
115,Tec_spe,Tecomanthe speciosa,Bignoniaceae,Lamiales,asterids,5.964730165,0.250799133,0.072121987,0.672390578,0.939155302,0.965732341,0.7287221245,0.647734318,0.660073962,62.84,240.77,217.05,952.71,5792.89,3.56,NA,-87.56,-91.02,-89.29,NA,3.76,1,1.14,0.27,6
116,Tod_bar,Todea barbara,Osmundaceae,Osmundales,ferns,3.463649015,2.50110588,1.868377214,0.726967517,0.76520429,0.878228889,1.4680817375,2.201957448,3.665189645,81.07,433.12,103.95,572.61,20597.91,5.33,NA,-2.59,-73.92,-38.255,6.09,0.15,0.6,1.84,0.29,1
117,Tri_lan,Trichostema lanatum,Lamiaceae,Lamiales,asterids,6.239697713,4.939838989,1.469479976,0.438594897,0.595860266,0.8934999645,1.445579838,1.23599025,17.548943715,203.84,68.4,38.09,175.32,58.07,NA,NA,34.23,-83.63,-24.7,6.27,12.56,NA,NA,0.55,6
118,Tro_ara,Trochodendron aralioides,Trochodendraceae,Trochodendrales,basal eudicots,6.207688808,0.154230425,0.0328958135,0.730700597,0.985266238,0.997887283,0.82507668,1.011645095,1.0160715575000001,193.91,NA,134.48,1408.48,4930.09,4.78,10.68,-72.41,-89.34,-80.875,3.25,16.81,1.48,3.47,0.38,4
119,Ure_car,Urera caracasana,Urticaceae,Rosales,rosids,2.107033648,0.49663382,0.0474442405,0.809165529,0.951848141,0.9905855195,0.618394415,0.822987695,1.213613149,31.89,99.19,22.9,256.91,8183.11,10.95,NA,-38.22,-86.83,-62.525,1.05,0.47,NA,NA,0.19,5
120,Vio_gla,Viola glabella,Violaceae,Malpighiales,rosids,3.753650358,2.183212604,0.398454808,0.740549166,0.836037741,0.992600635,0.620878491,0.560879382,0.198049306,20.1,49.14,71.39,387.4,3646.37,1.9,NA,-81.52,-57.93,-69.725,1,1.39,NA,NA,0.42,5
