...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
20,Car_pen,Carex agastachys,Cyperaceae,Poales,monocots,5.168141685,3.945441876,0.088613029,0.41002343,0.6597625195,1,20.67414698,18.213296005,1.917891581,124.74,387.81,795.82,1264.17,13545.2,399.7,525.01,-72.17,-96.66,-84.415,0.98,0.17,NA,NA,0.33,3
21,Cat_edu,Catha edulis,Celastraceae,Celastrales,rosids,3.863424712,0.779631256,0.067367526,0.679659516,0.972652302,1,0.903152194,3.581272698,2.088321636,130.98,NA,61.26,4436.9,5078.43,11.62,NA,-65.58,47.05,-9.265,6.93,4.21,NA,NA,0.47,5
22,Cel_aus,Celtis australis,Cannabaceae,Rosales,rosids,0.088005902,0.0471024605,0.0088254455,0.653468603,0.803359077,0.9859614375,0.585588814,0.645108256,3.09911509,57.8,273.53,188.28,1181.49,13405.02,3.33,NA,-84.16,-43.6,-63.88,0.81,3.67,NA,NA,0.37,5
23,Cel_ten,Celtis tenuifolia,Cannabaceae,Rosales,rosids,3.3311016575,0.682295919,0.159196746,0.6900502135,0.961188504,0.999657753,0.600159543,1.333931556,0.710318019,54.91,258.13,27.97,419.46,3706.13,1.87,NA,-54.21,10.97,-21.62,1.52,0.52,NA,NA,0.38,5
24,Chi_nit,Chimonanthus nitens,Calycanthaceae,Laurales,basal angiosperms,2.005548614,0.223700642,0.068241093,0.725386569,0.9889324365,0.998224943,0.5737060485,2.8492746675,1.72334244,57.23,205.09,59.49,2157.35,14912.49,11.47,46.27,-76.97,-69.35,-73.16,2.47,3.13,0.37,1.35,0.35,2
25,Chl_spi,Chloranthus spicatus,Chloranthaceae,Chloranthales,basal angiosperms,2.826741337,0.118129441,0.063564413,0.811610561,0.989999895,0.994591769,0.842814677,2.471531835,0.975752333,42.03,204.68,180.25,695.86,5481.03,1.76,33.89,-61.87,1.04,-30.415,1.93,0.82,NA,NA,0.38,2
26,Cis_ant,Cissus antarctica,Vitaceae,Vitales,rosids,6.187800644,0.589410194,0.092632758,0.675903846,0.976237837,0.993736029,0.679371958,1.179830975,0.7742546875,87.08,125.1,153.1,719.63,6570.09,1.97,7.21,-58.35,-72.28,-65.315,3.79,0.33,NA,NA,0.36,5
27,Cis_pop,Cistus populifolius,Cistaceae,Malvales,rosids,7.999399303,1.257282475,0.187668922,0.707967334,0.9445628845,0.9931996245,0.633235026,0.9705182775,1.031385254,98.63,100.7,88.45,604.2,3883,2.15,NA,235.79,88.1,161.945,7.29,0.44,NA,NA,0.41,5
28,Cit_mon,Citharexylum montevidense,Verbenaceae,Lamiales,asterids,5.5340972755,0.327343237,0.050225733,0.6836806895,0.988132573,0.9928046625,0.6685184625,2.836950052,2.707220789,176.02,856.42,272.37,3478.44,25410.3,52.97,64.7,100.51,-84.15,8.18,4.8,2.58,NA,NA,0.35,6
29,Clu_ala,Clusia alata,Clusiaceae,Malpighiales,rosids,2.73829222,1.843915251,0.182257492,0.794727612,0.861540447,1,0.649079698,1.0959612035,1.959861997,181.47,136.84,94.31,2537.08,6656.66,6.68,16.92,-94.61,-94.42,-94.515,3.4,15.69,NA,NA,0.23,5
30,Cne_tri,Cneorum tricoccon,Rutaceae,Sapindales,rosids,6.908238904,0.234111251,0.129561479,0.6814404205,1,1,0.839533522,4.5202356035,4.460531388,156.15,162.82,51.39,5539.32,2005.3,13.88,NA,-24.94,-53.79,-39.365,4.57,25.15,NA,NA,0.58,5
31,Com_ery,Combretum erythrophyllum,Combretaceae,Myrtales,rosids,2.607179286,0.795290667,0.136261647,0.714980042,0.9420828355,0.989043883,0.824069837,1.528189219,1.738512438,46.86,729.01,110.98,1796.08,7112.13,1.88,NA,-96.16,-96.04,-96.1,4.92,5.99,0.49,1.51,0.44,5
32,Com_umb,Comandra umbellata,Comandraceae,Santalales,rosids,6.052394198,0.3766471115,0.085067421,0.739616425,0.942549252,1,1.103402325,1.3774199525,1.4648625215,148.07,12.75,7.57,47.89,249.96,NA,NA,-20.38,-33.94,-27.16,6.64,25.45,NA,NA,0.5,5
33,Cor_bud,Corokia buddleioides,Argophyllaceae,Asterales,asterids,4.916005382,0.130254863,0.032060574,0.6998194595,1,1,0.9333498335,3.913112983,3.91670318,137.81,235.3,98.61,494.29,2739.28,13.55,NA,-16.86,292.2,137.67,5.87,2.11,NA,NA,0.39,6
