spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Asi_tri,0.6,0.235110555,0.97917053,1.3998627199999998,0.533269679,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
Asi_tri,0.9,0.11582773099999999,0.994154438,1.496562373,0.5707083895,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
Asp_obl,0.3,0.7376466735,0.998117672,3.3473131185000002,0.295624714,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Asp_obl,0.6,0.642755968,0.9988634080000001,3.347353877,0.2956291655,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Asp_obl,0.9,0.056617954,0.995886431,3.3474512175,0.295639663,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Ast_ban,0.3,2.172157662,0.508870251,25.04858341,0.094701062,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Ast_ban,0.6,0,1,85.493760625,0.0324616115,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Ast_ban,0.9,0,0,5.244489559,0.362443088,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Bar_pur,0.6,5.393390621,0.622281749,37.97672124,0.074624252,Barbacenia purpurea,Barbacenia purpurea,Hook.,Barbacenia,Velloziaceae,Pandanales,monocots,20210811,"James, Ilaine, Corina",NA,Greenhouse 2,Tropical house,shrub,0.1224
Bar_pur,0.9,0.492245431,1,15.263374070000001,0.090877875,Barbacenia purpurea,Barbacenia purpurea,Hook.,Barbacenia,Velloziaceae,Pandanales,monocots,20210811,"James, Ilaine, Corina",NA,Greenhouse 2,Tropical house,shrub,0.1224
