...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
79,Ono_sen,Onoclea sensibilis,Onocleaceae,Polypodiales,ferns,2.259153748,2.032617044,0,0.493117804,0.669109696,0,1.638942126,1.879481965,0,22.54,99.38,190.5,458.1,4948.88,3.11,NA,-88.57,-95.99,-92.28,5.95,1.16,NA,NA,0.22,1
80,Osm_ber,Osmorhiza berteroi,Apiaceae,Apiales,asterids,2.716268019,0.560692315,0,0.62652897,1,0,0.968798361,1.337936125,0,18.91,66.74,128.74,875.28,14448.04,NA,NA,-8.19,1.59,-3.3,2.35,7.59,NA,NA,0.44,6
81,Pae_bro,Paeonia broteroi,Paeoniaceae,Saxifragales,basal eudicots,2.397676663,2.018547314,0.324868906,0.671599191,0.739199665,0.976839106,0.866375858,0.895163167,0.481034051,69.92,521.06,240.39,42792.97,6640.94,NA,NA,-88.56,-89.37,-88.965,7.54,16.29,NA,NA,0.44,4
82,Par_tor,Parajubaea torallyi,Arecaceae,Arecales,monocots,2.482394162,1.869691806,0,0.255582611,0.434477805,0,2.648078084,2.780674922,2.123415317,246.69,553.15,363.09,3483.18,19.49,55.85,266.02,-99.93,-99.73,-99.83,2.54,1.19,NA,NA,0.23,3
83,Per_acu,Pereskia aculeata,Cactaceae,Caryophyllales,rosids,2.076666856,1.551014999,0,0.597754289,0.729558939,0,1.089675211,1.080223714,0,66.78,14.83,12.62,86.13,447.89,NA,NA,-82.01,-89.7,-85.855,1.7,0.4,NA,NA,0.33,5
84,Peu_bol,Peumus boldus,Monimiaceae,Laurales,basal angiosperms,2.005796603,1.616121146,0.610432089,0.688522109,0.733735897,0.977348733,0.798644349,0.808119207,1.391902557,127.61,250.17,130.58,746.56,1788.63,41.74,33.13,-93.84,-93.96,-93.9,4.16,7.3,NA,NA,0.5,2
85,Phi_lat,Phillyrea latifolia,Oleaceae,Lamiales,asterids,2.557721991,2.287843606,0.828488328,0.563483166,0.681294462,0.970936222,0.81528313,0.824752149,1.577988671,196.63,491.99,150.69,48897.43,4948.59,17.92,41.33,-74.6,-83.7,-79.15,4.39,20.03,NA,NA,0.39,6
86,Phi_var,Philodendron variifolium,Araceae,Alismatales,monocots,1.584827212,1.449290888,0.348170203,0.494355501,0.652369182,0.968093512,0.880953901,1.09847136,0.971242051,27.39,170.27,179.88,232.78,5380.5,15.77,NA,-32.61,-91.55,-62.08,0.8,2.26,NA,NA,0.32,3
87,Phy_pur,Phyllanthus purpusii,Phyllanthaceae,Malpighiales,rosids,1.429632764,1.265091,0,0.510090557,0.668531748,0,0.898106157,1.024282202,0,53.41,30.59,16.17,89.05,1366.71,2.51,NA,-86.87,-83.78,-85.325,6.26,4.14,NA,NA,0.34,5
88,Pit_vir,Pittosporum viridiflorum,Pittosporaceae,Apiales,asterids,2.549742059,2.24023816,0.407590264,0.565645873,0.688321181,0.966654382,0.742632214,0.875098542,1.949045529,101.35,342.17,154.37,1000.73,4783.9,3.53,2.3,10.85,-87.43,-38.29,2.33,6.23,0.28,0.86,0.57,6
89,Pla_ori,Platanus orientalis,Platanaceae,Proteales,basal eudicots,2.398888694,2.024207643,0.570750733,0.566034473,0.684099942,0.989691129,0.734293237,0.793818556,0.76138218,90.88,349.36,46.33,1103.9,12301.78,5.01,1.03,-78.32,-71.55,-74.935,3.48,5.85,NA,NA,0.32,4
90,Pol_cor,Rhinotropis cornuta,Polygalaceae,Fabales,rosids,2.842525949,2.341907625,0.535585458,0.559678066,0.747011985,0.98235599,0.888340022,0.997507804,1.415971225,64.43,106.45,79.55,701.9,4960.75,NA,NA,-1.56,-65.79,-33.675,3.32,2.06,NA,NA,0.43,5
91,Pol_cri,Pollia crispata,Commelinaceae,Commelinales,monocots,1.744178189,1.367329086,0.405887452,0.64733821,0.671173912,0.889317573,1.515895883,1.404448724,1.530599518,58.79,225.92,94.12,2127.92,3679.12,15.35,241.16,73.74,272.13,172.935,5.54,2.13,NA,NA,0.35,3
92,Pol_vir,Persicaria virginiana,Polygonaceae,Caryophyllales,rosids,2.533783028,2.220359493,0.505575602,0.548632802,0.676473818,0.99192024,0.894824982,0.847547441,0.938557503,33.03,145.69,168.42,676.66,5492.09,NA,NA,-63,-72.36,-67.68,5.85,0.66,NA,NA,0.35,5
93,Pro_hoo,Prosartes hookeri,Liliaceae,Liliales,monocots,2.240691852,1.959618605,0.924575186,0.669449212,0.741713187,0.975057079,0.862521332,0.98514123,0.918847401,40.78,13.87,11.93,155.74,1838.76,7.01,NA,-66.9,-81.37,-74.135,4.1,0.5,NA,NA,0.29,3
94,Pte_esc,Pteridium esculentum,Dennstaedtiaceae,Polypodiales,ferns,1.684044378,0,0,0.775019953,0,0,1.32289675,0,0,182.17,1294.39,590.65,858.62,20955,216.75,NA,-64.22,-20.29,-42.255,4.12,0.25,2.17,2.44,0.4,1
95,Puy_alp,Puya alpestris,Bromeliaceae,Commelinales,monocots,0.407356111,0,0,1,1,0,7.576251439,5.474161885,0,148.21,56.26,70.47,83.6,585.06,26.29,113.05,-57.14,-75.93,-66.535,0.72,0.8,NA,NA,0.21,3
96,Qui_sap,Quillaja saponaria,Quillajaceae,Fabales,rosids,2.444342971,1.936705792,0.474618577,0.703168436,0.766182919,0.980107255,0.913414258,0.923067903,0.665944588,159.71,329.92,95.11,400.51,2995.29,8.62,7.75,-72.2,38.52,-16.84,6.17,1.22,NA,NA,0.64,5
97,Ran_lae,Randia laetevirens,Rubiaceae,Gentianales,asterids,1.707008558,1.59571378,1.234680954,0.712870078,0.747035097,0.846413006,0.816380793,0.821050316,0.969179848,72.89,80.74,108.72,365.54,3832.33,15.23,NA,-49.67,137.42,43.875,5.53,1.41,NA,NA,0.64,6
98,Res_lut,Reseda luteola,Resedaceae,Brassicales,rosids,2.371947292,2.047657631,1.024097152,0.536659603,0.673740204,0.954758689,1.077682733,1.056192017,2.027054219,60.47,53.33,93.46,428.56,3094.59,26.02,NA,-91.9,-93.48,-92.69,2.76,2.14,NA,NA,0.38,5
99,Rha_pir,Rhamnus pirifolia,Rhamnaceae,Rosales,rosids,2.319036295,1.994898822,1.173066385,0.558268344,0.646018587,0.927626096,0.920864537,0.919729871,1.201648483,138.02,155.68,265.85,35358.86,4178.95,0.67,6.85,-33.86,-22.83,-28.345,3.69,4.77,NA,NA,0.48,5
100,Rib_vib,Ribes viburnifolium,Grossulariaceae,Saxifragales,basal eudicots,1.928338523,1.612813086,0,0.690581302,0.837880531,0,1.881994141,1.066970362,0,109.12,176.16,116.43,657.85,3056.75,1.22,NA,10.89,9.06,9.975,6.64,1.82,NA,NA,0.29,4
101,Rom_cou,Romneya coulteri,Papaveraceae,Ranunculales,basal eudicots,1.415355069,1.145385843,0.461584895,0.725571726,0.764184324,0.97923472,0.978406529,0.99623737,0.524896732,162.72,3.44,145.31,328.25,1077.33,NA,NA,-74.46,-65.36,-69.91,2.71,5.3,NA,NA,0.27,4
102,Rub_odo,Rubus odoratus,Rosaceae,Rosales,rosids,1.945564493,1.576388147,0.887574715,0.75303961,0.817195628,0.910872716,0.766247759,0.780412972,0.876435508,57.59,93.04,23.49,255.1,2452.56,NA,NA,-92.44,-89.13,-90.785,6.35,3.37,NA,NA,0.41,5
103,Rub_tin,Rubia tinctorum,Rubiaceae,Gentianales,asterids,2.801221981,2.484942805,0.41422628,0.525997261,0.700966545,0.963381686,0.847107847,0.890462798,1.526887275,76.49,171.85,64.78,923.55,4786.41,49.57,NA,-85.4,-95.57,-90.485,3.68,9.51,NA,NA,0.31,6
104,Sag_lat,Sagittaria latifolia,Alismataceae,Alismatales,monocots,1.503619653,1.250742795,0.225458324,0.58898537,0.756538221,0.984361045,1.246201336,1.471571569,0.843806623,75.24,111.91,29.46,345.07,3711.65,5.6,NA,-77.68,-90.96,-84.32,2.94,5.78,NA,NA,0.09,3
105,Sal_sco,Salix scouleriana,Salicaceae,Malpighiales,rosids,1.778962217,1.477664314,0.443860418,0.616690278,0.710655442,0.998768674,0.914180821,0.890416016,0.9450813,108.68,205.99,89.07,869.44,5070.25,4.73,27.73,-85.97,-88.54,-87.255,5.58,1.7,NA,NA,0.31,5
106,Sam_nig,Sambucus nigra,Adoxaceae,Dipsacales,asterids,2.395403835,2.052171753,0.475294547,0.676571429,0.765084539,0.986341053,0.804332667,0.990419714,0.837421155,69.25,191.61,137.4,26624.59,5343.66,2.11,NA,-96.44,-87.71,-92.075,6.9,3.96,NA,NA,0.34,6
107,Sau_cer,Saururus cernuus,Saururaceae,Piperales,basal angiosperms,1.328803508,1.204564398,0.633145364,0.804981044,0.853519011,0.949977299,0.961400998,0.978209801,0.746791262,35.1,109.74,117.07,215.7,4786.46,1.37,NA,-98.62,-91.74,-95.18,6.38,2.28,NA,NA,0.3,2
108,Sau_mad,Saurauia madrensis,Actinidiaceae,Ericales,asterids,1.84305221,1.620199821,0.852329749,0.612788458,0.697743952,0.895053908,0.766838869,0.830557828,0.908937177,59.97,23.28,4.44,194.13,523.48,0.69,NA,-97.55,-96.25,-96.9,1.18,0.38,NA,NA,0.25,6
109,Sch_pol,Schinus polygama,Anacardiaceae,Sapindales,rosids,2.819064118,1.088131348,0,0.741090912,0.885985484,0,0.992392632,1.299473621,0,193.36,123.33,117.86,789.5,2975.2,NA,NA,-98.34,-97.98,-98.16,6.8,17.25,NA,NA,0.27,5
110,Sim_chi,Simmondsia chinensis,Simmondsiaceae,Caryophyllales,rosids,2.102115771,1.780045792,0.971224958,0.687158223,0.728811256,0.89549498,0.897495413,1.027100193,1.078628952,185.81,160.98,35.24,1594.13,4039.71,4.5,7.81,-89.68,-93.79,-91.735,3.95,1.14,1.29,2.67,0.78,5
111,Smi_his,Smilax tamnoides,Smilacaceae,Liliales,monocots,1.916147591,1.485358655,0.241939908,0.706223117,0.739153887,0.996660911,0.889368746,0.886753291,0.537872542,35.48,192.71,258.66,354.04,6619.92,5.56,26.25,-88.65,-41.28,-64.965,1.87,1.67,0.44,1.35,0.37,3
112,Sol_lig,Solanum ligustrinum,Solanaceae,Solanales,asterids,1.187906216,1.047155503,0.68502359,0.738544638,0.768684613,0.906613144,0.949075164,1.063477444,1.231687184,125.29,39.19,27.15,295.75,993.57,2.49,10.35,-32.39,-66.49,-49.44,3.37,10.68,NA,NA,0.38,6
113,Sta_chi,Stachyurus chinensis,Stachyuraceae,Crossosomatales,rosids,1.682379357,1.387462368,0.327633121,0.776913775,0.82221122,0.997236382,0.841136862,0.87995693,0.709224639,57.69,151.39,51.36,356.33,3553.27,0.88,NA,-92.64,-97.02,-94.83,4.33,0.99,NA,NA,0.3,5
114,Tas_lan,Tasmannia lanceolata,Winteraceae,Canellales,basal angiosperms,1.849690382,1.539939284,0.494567983,0.63239826,0.718810099,0.995230687,1.03794696,1.468857256,1.693261373,157.81,146.84,191.15,1127.45,2659.92,11.66,40.11,-74.15,-55.18,-64.665,3.94,9.43,0.34,1.03,0.36,2
115,Tec_spe,Tecomanthe speciosa,Bignoniaceae,Lamiales,asterids,2.697126821,2.398538361,0.643495117,0.567396449,0.688172788,0.931647396,0.864454466,0.852063254,0.810811387,62.84,240.77,217.05,952.71,5792.89,3.56,NA,-87.56,-91.02,-89.29,NA,3.76,1,1.14,0.27,6
116,Tod_bar,Todea barbara,Osmundaceae,Osmundales,ferns,1.884816207,1.673884025,1.395993263,0.718663511,0.742558304,0.866663777,1.068311617,1.465615511,1.654694937,81.07,433.12,103.95,572.61,20597.91,5.33,NA,-2.59,-73.92,-38.255,6.09,0.15,0.6,1.84,0.29,1
117,Tri_lan,Trichostema lanatum,Lamiaceae,Lamiales,asterids,2.497827649,2.211198514,0,0.438851859,0.60152498,0,0.913261169,1.116798373,0,203.84,68.4,38.09,175.32,58.07,NA,NA,34.23,-83.63,-24.7,6.27,12.56,NA,NA,0.55,6
118,Tro_ara,Trochodendron aralioides,Trochodendraceae,Trochodendrales,basal eudicots,2.707729512,2.333997942,0.443257583,0.655876139,0.776262756,0.978968024,0.900567489,0.912189406,1.005800233,193.91,NA,134.48,1408.48,4930.09,4.78,10.68,-72.41,-89.34,-80.875,3.25,16.81,1.48,3.47,0.38,4
119,Ure_car,Urera caracasana,Urticaceae,Rosales,rosids,1.4818758,1.356025116,0.940754814,0.795079641,0.829434883,0.906401892,0.789363609,0.78201208,0.821539706,31.89,99.19,22.9,256.91,8183.11,10.95,NA,-38.22,-86.83,-62.525,1.05,0.47,NA,NA,0.19,5
120,Vio_gla,Viola glabella,Violaceae,Malpighiales,rosids,1.904820332,1.400293572,0,0.742903704,0.855585839,0,0.78968931,0.724133603,0,20.1,49.14,71.39,387.4,3646.37,1.9,NA,-81.52,-57.93,-69.725,1,1.39,NA,NA,0.42,5
