...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_small,VD_medium,VD_large,MST_small,MST_medium,MST_large,ER_small,ER_medium,ER_large,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
86,Phi_var,Philodendron variifolium,Araceae,Alismatales,monocots,1.577512693,1.408984136,0.657872628,0.50762188,0.700374378,0.95268489,0.905565147,1.133789848,0.976642051,27.39,170.27,179.88,232.78,5380.5,15.77,NA,-32.61,-91.55,-62.08,0.8,2.26,NA,NA,0.32,3
87,Phy_pur,Phyllanthus purpusii,Phyllanthaceae,Malpighiales,rosids,0,1.421060159,1.251000635,0,0.516073394,0.671248694,0,0.907242241,1.032547507,53.41,30.59,16.17,89.05,1366.71,2.51,NA,-86.87,-83.78,-85.325,6.26,4.14,NA,NA,0.34,5
88,Pit_vir,Pittosporum viridiflorum,Pittosporaceae,Apiales,asterids,2.258239971,0.379217004,0.283459434,0.680828585,0.967988319,0.988092256,0.868861127,1.808632142,1.240109406,101.35,342.17,154.37,1000.73,4783.9,3.53,2.3,10.85,-87.43,-38.29,2.33,6.23,0.28,0.86,0.57,6
89,Pla_ori,Platanus orientalis,Platanaceae,Proteales,basal eudicots,2.085496899,0.717632371,0.36882833,0.665250124,0.985660909,0.993966467,0.784292963,1.273496837,0.424068089,90.88,349.36,46.33,1103.9,12301.78,5.01,1.03,-78.32,-71.55,-74.935,3.48,5.85,NA,NA,0.32,4
90,Pol_cor,Rhinotropis cornuta,Polygalaceae,Fabales,rosids,2.809819561,2.25450061,0.894902485,0.586077855,0.750611778,0.94344409,0.885631528,0.981726995,2.016979684,64.43,106.45,79.55,701.9,4960.75,NA,NA,-1.56,-65.79,-33.675,3.32,2.06,NA,NA,0.43,5
91,Pol_cri,Pollia crispata,Commelinaceae,Commelinales,monocots,1.443030028,0.455200697,0.22705526,0.653301976,0.872476748,0.913121828,1.411185538,1.526136205,1.534607949,58.79,225.92,94.12,2127.92,3679.12,15.35,241.16,73.74,272.13,172.935,5.54,2.13,NA,NA,0.35,3
92,Pol_vir,Persicaria virginiana,Polygonaceae,Caryophyllales,rosids,2.256141848,0.615591625,0.235561361,0.660577997,0.985014144,0.998644148,0.851380648,0.936639741,0.943254038,33.03,145.69,168.42,676.66,5492.09,NA,NA,-63,-72.36,-67.68,5.85,0.66,NA,NA,0.35,5
93,Pro_hoo,Prosartes hookeri,Liliaceae,Liliales,monocots,2.16703489,1.492837134,0.303173624,0.688625298,0.861368651,1,0.905769424,1.030025105,0.918319682,40.78,13.87,11.93,155.74,1838.76,7.01,NA,-66.9,-81.37,-74.135,4.1,0.5,NA,NA,0.29,3
94,Pte_esc,Pteridium esculentum,Dennstaedtiaceae,Polypodiales,ferns,0,0,1.684044378,0,0,0.775019953,0,0,1.32289675,182.17,1294.39,590.65,858.62,20955,216.75,NA,-64.22,-20.29,-42.255,4.12,0.25,2.17,2.44,0.4,1
95,Puy_alp,Puya alpestris,Bromeliaceae,Commelinales,monocots,0.407356111,0,0,1,1,0,7.576251439,6.905104608,5.395033931,148.21,56.26,70.47,83.6,585.06,26.29,113.05,-57.14,-75.93,-66.535,0.72,0.8,NA,NA,0.21,3
96,Qui_sap,Quillaja saponaria,Quillajaceae,Fabales,rosids,2.157390103,0.348286794,0.196950461,0.74103879,0.964012576,1,0.918965256,0.66542315,0.666162858,159.71,329.92,95.11,400.51,2995.29,8.62,7.75,-72.2,38.52,-16.84,6.17,1.22,NA,NA,0.64,5
97,Ran_lae,Randia laetevirens,Rubiaceae,Gentianales,asterids,1.679300148,1.054441197,0.558348969,0.726947543,0.872067038,0.911287876,0.833651559,1.000498136,0.963331338,72.89,80.74,108.72,365.54,3832.33,15.23,NA,-49.67,137.42,43.875,5.53,1.41,NA,NA,0.64,6
98,Res_lut,Reseda luteola,Resedaceae,Brassicales,rosids,2.081206531,0.822746018,0.454982575,0.658674578,0.970008604,1,1.069602208,3.528517524,3.244697291,60.47,53.33,93.46,428.56,3094.59,26.02,NA,-91.9,-93.48,-92.69,2.76,2.14,NA,NA,0.38,5
99,Rha_pir,Rhamnus pirifolia,Rhamnaceae,Rosales,rosids,1.979820855,0.781126532,0.281218342,0.650479056,0.985029024,0.987593516,0.934449927,1.461293754,0.83406534,138.02,155.68,265.85,35358.86,4178.95,0.67,6.85,-33.86,-22.83,-28.345,3.69,4.77,NA,NA,0.48,5
100,Rib_vib,Ribes viburnifolium,Grossulariaceae,Saxifragales,basal eudicots,0,1.880488159,1.353269075,0,0.723699117,0.857009881,0,1.042299022,1.1003376,109.12,176.16,116.43,657.85,3056.75,1.22,NA,10.89,9.06,9.975,6.64,1.82,NA,NA,0.29,4
101,Rom_cou,Romneya coulteri,Papaveraceae,Ranunculales,basal eudicots,1.267173398,0.358811809,0.197612183,0.729497381,0.984211325,0.995128655,0.983017109,0.512675998,0.506116399,162.72,3.44,145.31,328.25,1077.33,NA,NA,-74.46,-65.36,-69.91,2.71,5.3,NA,NA,0.27,4
102,Rub_odo,Rubus odoratus,Rosaceae,Rosales,rosids,1.852551053,0.747102478,0.225861772,0.773465958,0.934138741,1,0.774386641,0.90616416,0.417024957,57.59,93.04,23.49,255.1,2452.56,NA,NA,-92.44,-89.13,-90.785,6.35,3.37,NA,NA,0.41,5
103,Rub_tin,Rubia tinctorum,Rubiaceae,Gentianales,asterids,2.667542841,2.148464438,0.385170139,0.602568064,0.848606812,0.982846469,0.847966246,0.975207376,1.527094685,76.49,171.85,64.78,923.55,4786.41,49.57,NA,-85.4,-95.57,-90.485,3.68,9.51,NA,NA,0.31,6
104,Sag_lat,Sagittaria latifolia,Alismataceae,Alismatales,monocots,1.348379718,0.277187691,0.158446751,0.708659424,0.978228797,0.996750191,1.414128401,0.843805895,0.843825715,75.24,111.91,29.46,345.07,3711.65,5.6,NA,-77.68,-90.96,-84.32,2.94,5.78,NA,NA,0.09,3
105,Sal_sco,Salix scouleriana,Salicaceae,Malpighiales,rosids,1.505930789,0.381946208,0.245127708,0.698688756,1,1,0.893808245,0.943952811,0.943743868,108.68,205.99,89.07,869.44,5070.25,4.73,27.73,-85.97,-88.54,-87.255,5.58,1.7,NA,NA,0.31,5
106,Sam_nig,Sambucus nigra,Adoxaceae,Dipsacales,asterids,2.297629448,1.473635356,0.222292114,0.693070111,0.901552242,1,0.867723977,1.148998168,0.838769068,69.25,191.61,137.4,26624.59,5343.66,2.11,NA,-96.44,-87.71,-92.075,6.9,3.96,NA,NA,0.34,6
107,Sau_cer,Saururus cernuus,Saururaceae,Piperales,basal angiosperms,1.307965384,0.53071341,0.275832471,0.814551973,0.952516672,0.983240436,0.960890002,0.746173491,0.752619216,35.1,109.74,117.07,215.7,4786.46,1.37,NA,-98.62,-91.74,-95.18,6.38,2.28,NA,NA,0.3,2
108,Sau_mad,Saurauia madrensis,Actinidiaceae,Ericales,asterids,1.655044627,0.643958667,0.382229461,0.680563315,0.938170126,0.984098973,0.820726266,0.996895475,1.323891776,59.97,23.28,4.44,194.13,523.48,0.69,NA,-97.55,-96.25,-96.9,1.18,0.38,NA,NA,0.25,6
109,Sch_pol,Schinus polygama,Anacardiaceae,Sapindales,rosids,3.140281772,3.041034005,2.33450479,0.617635579,0.675913759,0.825865169,1.121088811,0.95590577,1.123419371,193.36,123.33,117.86,789.5,2975.2,NA,NA,-98.34,-97.98,-98.16,6.8,17.25,NA,NA,0.27,5
110,Sim_chi,Simmondsia chinensis,Simmondsiaceae,Caryophyllales,rosids,2.017694757,1.031423243,0.576993225,0.705453449,0.885298677,0.983771858,0.972566338,1.070622773,1.257024692,185.81,160.98,35.24,1594.13,4039.71,4.5,7.81,-89.68,-93.79,-91.735,3.95,1.14,1.29,2.67,0.78,5
111,Smi_his,Smilax tamnoides,Smilacaceae,Liliales,monocots,1.648164952,1.139645763,0.238881739,0.712442728,0.834393495,0.996929089,0.869007662,0.93574364,0.537871117,35.48,192.71,258.66,354.04,6619.92,5.56,26.25,-88.65,-41.28,-64.965,1.87,1.67,0.44,1.35,0.37,3
112,Sol_lig,Solanum ligustrinum,Solanaceae,Solanales,asterids,1.17387599,0.734511415,0.309890736,0.746539855,0.899944349,0.985390581,0.986636488,1.171973162,1.335740328,125.29,39.19,27.15,295.75,993.57,2.49,10.35,-32.39,-66.49,-49.44,3.37,10.68,NA,NA,0.38,6
113,Sta_chi,Stachyurus chinensis,Stachyuraceae,Crossosomatales,rosids,1.644049439,0.87418316,0.302035261,0.779596856,0.942668954,0.996742079,0.864786887,0.710230738,0.70919961,57.69,151.39,51.36,356.33,3553.27,0.88,NA,-92.64,-97.02,-94.83,4.33,0.99,NA,NA,0.3,5
114,Tas_lan,Tasmannia lanceolata,Winteraceae,Canellales,basal angiosperms,1.61178196,0.61782298,0.394545404,0.68772469,0.991197284,1,1.406076596,1.693417726,1.693311903,157.81,146.84,191.15,1127.45,2659.92,11.66,40.11,-74.15,-55.18,-64.665,3.94,9.43,0.34,1.03,0.36,2
115,Tec_spe,Tecomanthe speciosa,Bignoniaceae,Lamiales,asterids,2.442279707,0.500798495,0.26855537,0.672390578,0.939155302,0.965732341,0.853652227,0.804819432,0.81244936,62.84,240.77,217.05,952.71,5792.89,3.56,NA,-87.56,-91.02,-89.29,NA,3.76,1,1.14,0.27,6
116,Tod_bar,Todea barbara,Osmundaceae,Osmundales,ferns,1.861088127,1.581488501,1.366885955,0.726967517,0.76520429,0.878228889,1.211644229,1.483899406,1.914468502,81.07,433.12,103.95,572.61,20597.91,5.33,NA,-2.59,-73.92,-38.255,6.09,0.15,0.6,1.84,0.29,1
117,Tri_lan,Trichostema lanatum,Lamiaceae,Lamiales,asterids,2.497938693,2.222574856,1.212221092,0.438594897,0.595860266,0.893499965,1.202322685,1.111750984,4.189145942,203.84,68.4,38.09,175.32,58.07,NA,NA,34.23,-83.63,-24.7,6.27,12.56,NA,NA,0.55,6
118,Tro_ara,Trochodendron aralioides,Trochodendraceae,Trochodendrales,basal eudicots,2.491523391,0.392721816,0.181372032,0.730700597,0.985266238,0.997887283,0.908337316,1.005805694,1.008003749,193.91,NA,134.48,1408.48,4930.09,4.78,10.68,-72.41,-89.34,-80.875,3.25,16.81,1.48,3.47,0.38,4
119,Ure_car,Urera caracasana,Urticaceae,Rosales,rosids,1.451562485,0.704722513,0.21781699,0.809165529,0.951848141,0.99058552,0.786380579,0.907186692,1.101641116,31.89,99.19,22.9,256.91,8183.11,10.95,NA,-38.22,-86.83,-62.525,1.05,0.47,NA,NA,0.19,5
120,Vio_gla,Viola glabella,Violaceae,Malpighiales,rosids,1.937433962,1.47756983,0.631232768,0.740549166,0.836037741,0.992600635,0.787958432,0.748918809,0.445027309,20.1,49.14,71.39,387.4,3646.37,1.9,NA,-81.52,-57.93,-69.725,1,1.39,NA,NA,0.42,5
