spp_code,rmin_binned,VD.median,MST.median,ER.median,CR.median,spp_name_ucbg,spp_name_WP,canonical_author,genus_WP,family_WP,order_apg4,clade,sampling_date_YYYYMMDD,collectors,accession_number,ucbg_bed,ucbg_area,growth_form,evol_distinct
Asi_tri,1.5,0.2967292585,0.970444205,1.4193686385,0.488554143,Asimina triloba,Asimina triloba,(L.) Dunal,Asimina,Annonaceae,Magnoliales,basal angiosperms,20210707,"Mickey,Adrian,Sonoma,Nguyen, Lisa, James, Jason",822026,305,Eastern North America,tree,0.162
Asp_obl,0.5,0.7376466735,0.998117672,3.3473131185000002,0.295624714,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Asp_obl,1,0.2260481995,0.9983238240000001,3.347405938,0.29563561,Asplenium oblongifolium,Asplenium oblongifolium,Colenso,Asplenium,Aspleniaceae,Polypodiales,ferns,20210421; 20210927,"Mickey, Adrian,Jason; Ilaine, James",720613,508,Australasia,herb,0.1232
Ast_ban,0.5,4.142749123,0.388419949,20.72087064,0.118965892,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Ast_ban,1,2.0676297585,0.51889762,25.92497978,0.08939340000000001,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Ast_ban,1.5,0,0,21.2117369,0.128026552,Astelia banksii,Astelia banksii,A.Cunn.,Astelia,Asteliaceae,Asparagales,monocots,20210504,Mickey Adrian,920973,511B,Australasia,herb,0.1172
Bar_pur,0.5,5.389672797499999,0.635683573,38.45484851,0.0716431445,Barbacenia purpurea,Barbacenia purpurea,Hook.,Barbacenia,Velloziaceae,Pandanales,monocots,20210811,"James, Ilaine, Corina",NA,Greenhouse 2,Tropical house,shrub,0.1224
Bar_pur,1,0.463286306,1,12.585871245,0.1064513165,Barbacenia purpurea,Barbacenia purpurea,Hook.,Barbacenia,Velloziaceae,Pandanales,monocots,20210811,"James, Ilaine, Corina",NA,Greenhouse 2,Tropical house,shrub,0.1224
Beg_for,0.5,2.7012094235,0.7137464895,0.616592319,0.6738233245,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Beg_for,1,1.930062566,0.785375426,0.895594993,0.53906887,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Beg_for,1.5,0.107978808,0.9675226435,0.6392532595,0.390224421,Begonia formosa,Begonia formosa,(Hayata) Masam.,Begonia,Begoniaceae,Cucurbitales,rosids,20210315,"Mickey, Ilaine, Adrian, Eric",20050211,220C,Asia,herb,0.0371
Bei_tar,0.5,6.273463814,0.62841604,0.588033324,0.695244742,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bei_tar,1,4.587047729,0.7195783604999999,0.560670409,0.6983792845,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bei_tar,1.5,1.099812017,0.951341585,0.7749964629999999,0.572345708,Beilschmiedia tarairi,Beilschmiedia tarairi,(A. Cunn.) Kirk,Beilschmiedia,Lauraceae,Laurales,basal angiosperms,20210331,"Mickey, Adrian",20010025,513,Australasia,tree,0.0918
Bux_har,0.5,6.8859994014999995,0.5249604725,2.4434975545000004,0.4692895615,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Bux_har,1,5.318739948,0.665077193,3.846859749,0.317483845,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Bux_har,1.5,0.3032442325,0.9926621824999999,1.6660787225,0.646765534,Buxus harlandii,Buxus harlandii,Hance,Buxus,Buxaceae,Buxales,basal eudicots,20210803; 20210913,"Ilaine, Mickey, Adrian; Ilaine, James",790114,242,Asia,shrub,0.1312
Cal_nut,0.5,0.11821401449999999,0.994976756,90.928612675,0.0312824525,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_nut,1,7.67627e-4,1,50.87532575,0.058148697,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_nut,1.5,0,0,4.364547699,0.425062124,Calamagrostis nutkaensis,Deyeuxia nutkaensis,(J. Presl) Steud.,Deyeuxia,Poaceae,Poales,monocots,20210616,"Mickey, Adrian, Somona, James, Sophia",891820,4,California,herb,0.013
Cal_pan,0.5,2.6707928269999996,0.6692186840000001,0.627775383,0.6988748220000001,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cal_pan,1,1.5232766595,0.803347528,0.7044272975,0.6813435065,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cal_pan,1.5,0.210584919,0.998193785,2.448723394,0.510127917,Caldcluvia paniculosa,Ackama paniculosa,(F.Muell.) Hoogland,Ackama,Cunoniaceae,Oxalidales,rosids,20210331; 20210915,"Mickey, Adrian; Mickey, James",20010597,513,Australasia,tree,0.092
Cam_sin,0.5,5.621098014,0.724368625,0.734422291,0.615786875,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Cam_sin,1,3.4569989525000002,0.7761106365,0.7224289545,0.6249579165,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Cam_sin,1.5,0.328953421,0.971456298,1.237972218,0.495085066,Camellia sinensis,Camellia sinensis,(L.) Kuntze,Camellia,Theaceae,Ericales,asterids,20210224,"Ilaine, Mickey, Eric",820215,235,Asia,tree,0.0496
Can_can,0.5,3.549475451,0.726068171,0.9738258900000001,0.551880271,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Can_can,1,0.923952284,0.960858866,2.350297744,0.377811522,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
Can_can,1.5,0.0588946345,1,0.9345586565,0.441324709,Canarina canariensis,Canarina canariensis,(L.) Vatke,Canarina,Campanulaceae,Asterales,asterids,20210517,"Mickey, Ilaine, Gideon",611429,707B,Mediterranean,climbing,0.0692
